,UKF243,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.03595438375388385,,,,,,,,,0.017060951180185354,
BMP1,-0.010140102131264227,0.05149122593001549,-0.029030479461589886,-0.024425176332742715,0.24634774966489895,-0.01796836411410728,0.016858040326832434,0.027027706317367856,-0.0115492826295273,0.0413390582290953,0.009718392105195128,0.030801406625927463,-0.050551362633491574,0.005898836325662607,0.11918019479504742
NDP,0.036678696759435386,0.04029410789678184,0.009268928965094857,-0.01989792877215602,0.03828644357585814,0.04108109683429056,0.06941314109810046,-0.041573979674812765,0.04407102409046817,0.049342020973680255,-0.008015076865590519,0.016784272777370286,0.007566157800895374,0.12486104758931059,0.02350285924563772
TNFSF18,-0.022596683610259436,0.010529795038115339,,0.011606246060918977,0.0740990199911712,0.005355655428545886,,,0.09976318929399593,,,,,-0.024327493373216415,0.08079256355217534
RTN4,-0.0695604173962029,-0.019915331541403913,0.008321884767046546,0.024901448110056523,-0.2768655833951064,0.030821778464577433,-0.09399231306531855,0.002029175841108669,0.0404282434970688,-0.10350513949127911,-0.0317490498248581,0.024836401450102637,0.0642865518615025,0.022590308235314122,-0.008890639270230158
HEBP1,-0.007072822472665275,0.00038738987717111393,0.0466825843983782,0.02136406460145295,0.12173528725792242,-0.021914649140417745,0.026743829457464428,-0.028957753400692232,-0.0597862559276563,-0.012060693404625074,-0.03726533787886989,-0.0019077296925432735,0.010680198960122681,0.032570868205714434,0.026675227882253925
WNT7B,0.05054002093784639,-0.022633418853548276,0.038488803519047786,0.0331261457875938,-0.1172234207845617,0.023018972382294712,-0.05334668841624028,-0.017598345009178902,,-0.04140118370531495,0.0328183177874326,0.06198000711465908,0.0731189259331988,-0.027429847683934493,0.11327306107983759
PTMA,-0.037681890981056926,0.01678284024938168,0.05454822035443824,-0.0241588549480898,-0.09376213224467406,-0.017915194935850965,0.06555772886575739,-0.016357708522216192,-0.05482342398956527,-0.12311360795157096,0.004320789049499856,-0.03377912388748623,0.0032841041171157086,-0.105117312614967,-0.06132347818301399
FASLG,,,,,,,,,,,,,,-0.01879143618849495,
CEACAM1,,0.061611027402683205,-0.02235767605365088,,-0.003634013073830453,0.01915071233805506,,,-0.08550278171294158,-0.01962888484842006,-0.021321069524296493,0.07489694709661988,-0.01351765251586108,0.10435685722697192,
PDAP1,0.014980064577169746,0.03795457433416875,0.047414924910197144,0.042127388276760866,0.21658349736562513,0.05612100563889003,0.022935502726432737,-0.05226768238046864,0.08985567093236733,0.06061376640300542,0.04664539559394561,-0.009887313322464042,-0.06013421737338787,-0.023046175708995094,-0.006539677555774709
QDPR,0.055962936695157235,0.005237502559637328,-0.03232442017252715,-0.027743952373388333,-0.223902530823023,0.0075838372457274405,0.01854742875098588,0.00176753278387472,0.03612961421305767,-0.08957962769124388,0.02564162618152841,0.02422079400502465,-0.047006098282411556,0.03955552110134219,-0.07996663186780818
POMC,0.04223213956576831,-0.02208647216491053,0.03186343637886973,0.06754078815604085,0.017188221995732254,-0.0022697610623677203,-0.004307693412706599,-0.025151058477764776,-0.0043945063291833085,-0.015987719517645004,0.01631356825936968,0.09990586725207769,-0.02211310376098919,-0.014834039703098507,0.002812611455829377
CCL18,-0.030304010716190745,-0.005351740693794397,,,,,,-0.04220182180100798,,-0.04188440275523898,0.006854197070547353,-0.022686515918111983,-0.04655135785804133,,
CCL17,,,-0.025576017700409553,,,-0.005829740268416797,0.033127412766885654,,,,-0.015126266858715477,-0.024970002347578277,,-0.01703232625791898,
VEGFD,-0.03414376267683316,0.010067115303591919,-0.028494508070741678,,0.05397416262272581,0.016831164437279562,0.02668920537696515,-0.016993071800208225,-0.02185888168969837,,,-0.017297482799723127,,,
TNFSF13,,-0.016322189202674527,-0.017641764601564067,-0.021192853893368783,,,,,,,0.01576683105079862,0.0030926055501034498,-0.015179417787969728,-0.027752754006769968,0.05565706556342279
WNT5A,-0.019341992747323736,-0.013182163907004028,0.020688482409894567,0.004637453180502569,0.1913563375511324,0.0013812425368674702,0.09459255333116515,-0.06350360319017433,-0.049035313707607955,0.04920051381003657,-0.0037435413287127046,0.03945716168984108,-0.004669894774438573,0.015376695448713187,0.02637273559440722
CXCL8,-0.1076243470312892,-0.04158363067703715,0.011190580791378446,-0.030145460112708945,0.10254725709964183,-0.025282680563143162,0.00319878109894997,-0.059085724626314555,-0.007549094955556836,-0.011092755966793846,0.03367251456137274,-0.0011255748556419345,-0.0395983143635534,-0.022445655141137673,-0.005905832943287976
