,MGH258,UKF243,UKF248,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,0.02317598240750564,,0.06612041329484114,
BMP1,-0.007367354607059531,0.1390460068635747,-0.03569224083908851,-0.0771678752808216,0.2621658075703162,-0.08235176651335646,0.037615495208678094,0.06935436372911277,0.058695377488083414,-0.04111117278773578,0.23844060644694656,-0.08014628491432961,0.027452759738104807,0.11610628870456771
NDP,-0.0639040722273417,0.1427662497019008,-0.009543159678956428,-0.0003483683263349716,0.11839400451576988,-0.12034203906355287,0.1319954637409831,-0.05619187866396869,0.03447594193954626,-0.01385140711390727,0.2036314258083934,0.16928284112065342,0.1070880287305816,0.004584393668703786
TNFSF18,0.07631140649229122,0.12772574998593744,-0.02635061856590778,,,0.13293059338384827,,0.01790107681976164,,,0.11304444473658905,,-0.0052458137590416145,0.0035046037606530724
IL36G,,,,,0.09271211397183392,,,,,,,,,
RTN4,0.07185776479358018,0.042782642131105546,0.024776021439187165,-0.06142686147678406,-0.20211060262082525,-0.11753716394718897,-0.10325019779753161,0.07933983227002092,-0.04530042627351329,0.07619899917734513,-0.33546272900805635,0.03166762324903995,-0.053707305214045195,-0.20983894555036356
HEBP1,-0.06889950491385954,-0.045120054306245674,-0.07138892155631119,-0.0868517995620763,0.07939726688210369,-0.058246137073257605,0.019866317789125388,0.07253700557187852,0.015694442121545724,0.061519158849817776,0.005107565079487969,0.04880284471707399,0.1344602281338196,0.06802797485088738
WNT7B,0.054008846379862925,0.22287815103358904,-0.025878913521200586,-0.03424881271887673,-0.033995523382861506,-0.06998386943622194,-0.040370049263772634,,0.01355997363487747,-0.007393403517273466,-0.0015622185800246136,0.046593106229189,0.005625843133150246,0.02138181382667304
PTMA,0.027023361550701005,-0.1979643025985069,0.0027577710482982617,0.0051920849342871845,0.2190609367165159,-0.002160520352966249,-0.04471910319586829,0.0920316418664997,-0.0991319061851276,-0.10271818619146615,-0.3775213466669517,-0.08646208482341043,-0.09615185312650229,-0.0013473584961918666
FASLG,-0.023489371789238607,,,,,,,,,,,,-0.0015146661606750648,
CEACAM1,0.04250024008485629,,0.01246473568171089,,,,-0.009416862893553294,0.016917597976380233,0.027614717802972758,0.02451680508313413,0.020466828393110537,0.024841981296658145,0.03268005060418217,
PDAP1,-0.02761650981085867,-0.03450159197437199,0.04074003956114024,0.03127591971627754,0.13388281680942965,0.005318595079962229,0.011628128780534413,-0.008414126230101899,0.015794571946562,-0.05397422625347705,0.06353855928461626,-0.013064391968731184,-0.0032251011280382143,-0.037045237573895
