,UKF243,UKF248,UKF260,UKF266,UKF269,UKF296,UKF304,UKF313,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.01617970446120097,,,,-0.027143785649356336,,-0.0426744382179193,,
BMP1,0.02220184341050105,0.029130640569873054,-0.004278493336204424,-0.06277490867807616,-0.053170657539707754,-0.014217705021475147,-0.06681536075161114,-0.10464614124064113,-0.013119718692669695,0.14528260639897742,0.08586025815718552,0.06529567980594876,-0.07656740450504947
NDP,0.046095489549944475,-0.004613330216560095,0.0927086224726735,-0.005741079670999964,-0.02526481780258968,-0.005888226942398482,-0.04539863010266693,-0.013435193395737715,-0.047811144264360325,-0.07532838527264459,-0.02178835679700973,-0.025911837205194178,-0.06990404942957476
TNFSF18,-0.025976060522719394,-0.023730651880075587,,-0.017104137505396112,-0.024026375396845094,,,,-0.02799290702422837,,0.025647315856236162,0.06787282753598488,
RTN4,-0.01287539493502556,-0.07213633892157852,0.05316535511863409,0.0029612055905021196,0.09182192355841187,0.008893842320171026,0.17171368761948794,0.046085514883976164,0.07419810122236231,-0.07644909349256783,-0.0806251858980098,-0.06818322990972037,0.04707628605373085
HEBP1,-0.005959117566204966,0.01605270396841409,-0.018843634587384802,-0.03004931201031581,-0.009799202808803493,-0.007960068699370701,-0.10642069297019112,-0.14880692840672324,-0.05325160563929634,0.028591752089182354,0.08126002551405336,0.0006056400531832244,-0.02649950099321164
WNT7B,-0.03984297428614793,-0.035118761780026014,0.06606819520570525,-0.011685490297913173,0.07023646578669791,-0.0045471167731956155,,-0.08524295638598448,-0.05853543315491498,-0.03061285128081341,-0.008002887846231458,-0.0672009722993774,-0.01956070462106947
PTMA,-0.028675506113831645,-0.03857524542926188,-0.018460750383152095,-0.003841910127822359,-0.00580962385698061,0.051742724949136495,-0.16285579239982767,-0.061165284695021936,0.13226926359651373,0.043619975099724824,0.07069779821497613,0.03772697764240383,-0.016170257850417178
FASLG,,,,,,,,,,,0.1542648758650705,,
CEACAM1,,-0.01510390956661186,-0.017528498221212135,,-0.031617341582227496,,,,0.009364640406579122,-0.026613608055335868,-0.05149610201875895,,
PDAP1,0.13117935038858453,-0.040550985562169586,-0.03841775224138402,0.007073906953590344,-0.12191880178783429,-0.03328764996431335,0.023470598965534162,0.04526346193825213,-0.00029031037483236887,-0.03620895181699398,-0.02026090149091224,-0.027046412956211362,0.019383689647130265
QDPR,-0.03031159186037453,-0.04435791170468033,0.07976306901075839,-0.010058051315126371,-0.0186827396776326,-0.061469272294446764,-0.16948877403915516,0.021599358160035605,0.07989679719004344,-0.08305308625831198,-0.03242835978144,-0.013401769551286186,0.02960429130428977
POMC,0.014790172585110591,0.009880594699169716,0.006871847646225489,0.034000736023802304,0.044547696637904,-0.04327599311588584,-0.024054566685581303,0.0033839143860910424,0.06455990203019565,-0.007917847233300057,0.09142598791048215,0.0496148053107995,0.00356084347487597
CCL18,0.04634748435199063,-0.01884825206092976,,,,,-0.06840354578446523,0.00952769075455303,,-0.001784278990752359,,,
CCL17,,,,,,0.10703257702912897,,,0.019452570158509305,,0.01912724154944789,,
VEGFD,0.0037921911191685846,-0.01884825804613259,0.048045037797861734,,-0.027105345077347336,-0.012548821836054831,0.07118105060272502,0.016561080035228017,0.0022364630849164117,,,,
TNFSF13,,-0.014223500358664487,,-0.016587445255872666,,,,,0.10053746320250276,-0.029885298134658123,0.003543881557092552,0.05642648040506286,
WNT5A,-0.007330377663059597,0.0021993531896476026,-0.09697073962469713,-0.012364437822389709,-0.04360666431640839,0.0032910648808455564,0.12207874176691881,-0.036151931443601376,0.05341508613274563,0.05148824809078641,0.23714141408987738,0.13995549554819758,0.003629242950926815
CXCL8,-0.06380595459335418,-0.018242393648727245,-0.017584089119402624,0.04195797628138002,-0.05389587144655858,0.0016259793541111062,-0.02585851905665956,-0.04913139475654146,0.0014202859597071517,-0.0335645977569509,0.03129953790048294,0.07122322634438043,0.06309346798913289
GRN,0.03142762628482791,0.07354350649473694,-0.01062233839064119,-0.0265574956287802,-0.08951888616838624,0.016079774029305226,-0.05944038822795949,-0.022477831080872736,-0.085277989498788,0.12848501383425173,0.19070540958148033,0.08326639627341505,-0.07025991803401933
MIA,0.05290812101885163,-0.037552232951808595,-0.04227100790947442,-0.029993300097424007,-0.037513182308026125,0.0881626417006663,,0.021773971709924147,-0.01997901532859906,-0.03991500409439034,-0.05874090434097403,0.08454019227339245,
COL4A4,-0.03951200230417311,0.0737870229592459,-0.059705965525242655,0.0085851140622378,-0.01594389780524579,0.022918651552385066,,,0.1516212100217143,-0.022873685080926895,0.18919070593471055,0.09975532367366703,
TAC1,-0.03680036855588291,-0.03716913851288482,0.07849365284512161,0.018439175560778603,0.11726928607948835,0.028012794524627484,0.1391058781750462,,,-0.012972217858051067,0.14138046969201232,-0.04391549141784319,0.0636591166462415
RARRES2,-0.044750179750926634,-0.038208749321950376,-0.062233631146302155,-0.01221239220642467,-0.09103193968643726,0.06557593671217583,-0.03691713730525902,0.21273148476948514,-0.016750554868220646,0.049791749627582815,0.08643034105809995,-0.03799592055050703,0.037789066406438795
