,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,,,-0.03183597954143421,,,,,,,,,0.155336367535467
BMP1,-0.019492892004315684,0.044395119989329254,-0.04284020956239501,0.09562333115603203,-0.004425697065415657,0.06884687141396667,0.05549975139304563,0.08997393471675488,0.04859377124455929,0.028539062333188623,-0.021013179417450168,0.0839730315399967,0.07766379324888835,0.0632805558208831,0.044885488638122494,0.05651586936569503,0.09378707233943784
NDP,0.024607465135583612,0.04527551078883515,0.03483416475818315,0.04617407520476058,-0.006489253788448793,-0.020778832366485988,0.002874255043841211,0.029992425311976312,0.03947949807644004,0.016045742068476566,-0.019894007717013454,0.04185142048208365,0.05049250427397613,0.10148748727925977,0.014277545021832708,0.0954829478955687,0.00064358372225305
TNFSF18,-0.021544826492106303,0.002969499434481059,0.019961265580951394,,,,-0.013291553507782472,0.04835788420633317,0.042513926798766755,,,,,,0.11241657238332538,,-0.0018854006744089252
IL36G,,,,,,,,,,,,,-0.013997988166502126,,,,
RTN4,0.03645487234128531,-0.017405348258714905,0.00790065863607533,0.04458358492339963,0.06640744062395072,-0.09637944058156976,-0.03516418619968554,-0.1380491896745062,0.03388325273473522,-0.030100543590386077,-0.005218500647143899,-0.07503963848380416,-0.09145327932464359,-0.11143884135029046,-0.07177828600660029,-0.056542448189830355,-0.033573386837980335
HEBP1,0.06799150672865185,0.01220819708970763,0.013091473617235887,-0.0028946255031639034,0.010417058861902759,-0.009316739664767034,-0.03474443621840823,-0.018786604574951196,0.02826711417816574,-0.02210066909165752,0.0855712889027336,-0.034358086741716316,-0.004720388028567819,0.037720419250596264,-0.03627130326222408,0.04038703519685239,0.01271228487386645
WNT7B,0.018779007396773004,-0.0013463508984447004,-0.026550097470335994,0.027915380182869643,0.05956421187171742,0.045476661637363226,0.020418709815938255,-0.002035965913584323,-0.020625634172113924,0.06828867295593768,,0.024936969231475897,0.040696961886810386,0.0724991549246206,,-0.03401646485610427,0.0019590682257845005
PTMA,-0.013808937934162055,0.024933971441269142,0.06080183883844164,-0.02202762011313243,0.04617224311673916,0.012405117817281836,0.052499833033563884,-0.011267935984736311,-0.006893438185101851,-0.055060713899142195,0.06759722646729992,0.07675563051464117,0.047179177295531574,-0.02348611758696577,0.07411799309917946,-0.052919346812290644,-0.036577046173182075
FASLG,,,,,,,,,,,,,,,,,-0.02183493151299562
