,UKF251,UKF255,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,-0.02456880322201382,,,,,,,,,,,-0.022245076349928606,
BMP1,0.05684535556077454,0.129792533137022,0.05014191214686859,0.043403554510686816,-0.060631318983167745,0.0002043766078951796,0.030407193189175213,0.05167058552420097,-0.006975854935912958,0.05200379399529304,0.01575559033828337,0.15051258154423636,0.051774409933205624,0.03763742732230446,-0.02461699044515448,0.034077637337991275
NDP,0.09220162351108319,0.09016243779961008,0.051393597086337416,0.05353142203640782,0.01091989909115862,0.07640283946605143,0.04635577269313281,0.06761084458816485,0.08941725916405778,0.10303061441304764,0.016436883027225572,0.008689262320444802,-0.013673178609829313,0.06672159411773461,0.030461554572491167,-0.004849967218980384
TNFSF18,0.057066528398600776,,,0.007628450829305067,-0.01710308109494821,,,,0.05336711057754498,,0.18067579337161133,,,,-0.022940954591025485,
IL36G,,,,,,,,-0.024451481073566074,,,,,,,,
RTN4,0.059358661872526405,-0.02330947288754476,0.04419362651123783,-0.08913899346833215,0.0311151144852061,-0.04925923970711156,-0.0728403937459504,-0.014950935956779302,-0.058710525001702235,-0.1239934545370477,0.03613506273342657,0.019605657992958804,-0.010822038319660514,0.029244585931437608,0.011290443758989126,0.03062160169168542
HEBP1,0.04213272267891609,0.013224607944886972,0.02847323132188192,-0.00017076104608123392,0.021668381890248053,0.019303263120415973,0.0052342895562393355,-0.0036305379437187243,0.04843495472956055,-0.06783035297483,-0.07232252275548282,-0.02822879187912253,0.032022146590665566,0.0062467905569438395,0.03915813685914196,0.016046569649943193
WNT7B,0.034187032316709776,0.08460245334078888,0.055212017030728776,-0.013121543484872282,-0.0258429030238927,,-0.025097252879608286,-0.014362870939483133,-0.030160588666408646,0.02182729493389005,,0.10994466137388322,0.035757363502735874,-0.06022520484469648,-0.037670212752512366,-0.0037553737863839118
PTMA,0.0030203447267499327,0.09394535859519262,0.023940790493511565,-0.04408111743564277,-0.002921346819469343,0.04093190062071678,-0.019783325523661535,-0.007364705919733157,-0.052991663932998645,-0.09791862669499168,-0.11772220545281215,0.014403879748249814,-0.027089024649137042,-0.055880504725205574,0.01813432688991744,0.040552047941210125
CEACAM1,0.03711920481716605,,-0.018242955166525698,0.008186270854737186,0.03750300956670695,,,,,-0.03362650723772485,0.09216074852350085,0.01235809078328096,-0.030441301373698607,0.0016908381732794202,-0.03296375667922719,-0.004345307528387722
PDAP1,0.08765958296096031,-0.002580067282573239,-0.011209303973656303,0.056547004909125974,0.021495326406874824,0.04948287051802207,0.04401905474869866,0.07980567628942384,0.04695118023374003,0.06313063990597598,0.0304455713356958,-0.008858043441795206,0.031243379596793245,-0.002123855644522786,0.029828384493165976,0.0752281923952813
QDPR,0.02034748934974761,0.016426491157395147,0.09223979879944025,-0.02671467011400883,0.05461867257262109,0.02359258865452202,-0.017066641745072046,-0.0549315322746288,-0.03726855724298236,-0.0031473071965900166,0.012671093786506582,0.011077597483545492,8.217973589511055e-06,-0.08649122846264908,0.060545137167502344,-0.01602516573190723
POMC,-0.017118876245832887,,0.08235468105309549,-0.023938743211793987,0.022246161234295465,0.0008793872714403568,0.032179725257362575,0.01602956937769106,-0.04145688596725813,-0.06342347941451708,0.02623888665769527,0.0008486480802089555,0.002679405713931636,0.08805749151696879,-0.044866237253392435,0.03363473521381156
CCL18,,,,,,0.08170724772565417,0.07590458841710286,,,-0.04739946342923764,,0.07097644724010789,0.16568850314173342,0.05422474907009611,,-0.03243330293004542
CCL17,,,,,0.13762252781581372,,,0.07032205016784385,,,,,-0.021596629924236433,-0.0247000041778011,-0.02932884818012064,
VEGFD,-0.032963861318537985,,-0.017453826620803924,-0.04115933582514255,-0.022726239918575565,-0.025738950677549114,0.002406876878589594,0.0332960491252818,,-0.05340079392980869,-0.009685414747893802,,,0.06286245799750532,-0.030932882501015196,
TNFSF13,,,,,,,,,,,,,-0.041440688961028045,0.009071838273338316,-0.015411235270962468,0.01953510751787998
WNT5A,0.04132242232394302,0.07605404079558496,0.020283811817387844,0.028671833993637628,0.03705747001577168,-0.04278380250306814,0.0438560259032743,0.04754563478374737,-0.017432440652490836,0.11341976424044911,-0.025208669653691115,-0.01718801528042746,-0.0030176490458717555,0.002854552830469561,0.007880617835945836,-0.002123067587268385
CXCL8,0.04425131788049987,-0.1267358006733678,-0.08561718151718854,0.04114301781199271,0.027661764630504418,-0.012456156289799836,0.12488167507788588,-0.00855433464583732,,-0.06200183101055212,0.07153353298435564,-0.040900808708945385,-0.03663792733067254,-0.04444955413530715,0.051078310815585434,0.03143089175428025
GRN,-0.013591648847212838,0.07637323643829783,-0.0019490468858088814,0.060897156284412064,-0.03887530286809401,0.060682908716200516,-0.04685041122122516,0.029543167363866633,-0.03164686604807368,-0.029632640408311824,0.0708039338007594,-0.0014080804594561337,0.059920904266287045,0.040893387522105515,0.0032084632990308,-0.01506789026609775
MIA,-0.005958170374466438,-0.035255214701338196,-0.008756099425586564,-0.03192913286184273,-0.007220776439246215,,-0.024924787398456955,0.030630089387784065,0.016343764369782986,-0.06637815072993511,0.015365194701090306,0.02251019997519581,0.054041864970705414,-0.024576558951026655,-0.018980189029736107,-0.00771922146921905
COL4A4,0.08225447797575156,-0.03578395163913743,0.0027418157152122734,-0.02421073195176925,-0.022270090309543022,,,-0.031803719494281416,,,0.13147531404275115,0.04668361691231129,0.011725659160108787,0.01683787114748573,-0.02345460016325397,0.02444744120568028
TAC1,-0.0012475852501639872,0.05337239484623045,0.09713632077099632,-0.06911337564605675,0.03183621296122932,-0.006419191777046427,,-0.010984261602881734,,,,,,,,-0.0016898937435983468
RARRES2,0.0525524769456383,-0.04634900537303496,-0.08223436545162299,0.08399680434660145,0.06132555404198288,0.03776640102657869,0.06363848350026476,0.013901977775812757,0.05925797894932358,-0.0931082820676529,-0.02490503157886793,-0.04030142141232712,0.03772016736835232,-0.027288972118421857,-0.010818109266827747,0.025604549735894336
FGF7,-0.028572938430691044,-0.04255339917358413,-0.03341900191782036,0.04828942400189786,0.02224066708572296,0.06616092496580014,0.02283192913373331,0.035455361114886515,-0.05105568489679726,0.00020427159653167544,0.027296788647578285,0.07037694927978462,-0.0010552856734587512,-0.002314694053235069,-0.0301860163876348,0.07107918099507746
EFNA2,,,,,,,,,,,,,,-0.03314195787041721,,
HBEGF,0.011194056097183333,-0.073335074741629,-0.010433090212391548,0.006646569479174022,-0.00038619923803759625,0.05024449036016702,0.05049534976775189,0.012727316312557442,0.009971749070177447,0.048408469242065356,0.08252118612439385,0.05676078005426752,0.0010105125153575395,-0.009740599324062607,0.014751584198208266,0.04677180356635153
CSF3,,-0.025047405907517063,-0.026018809436631322,-0.025614488406248213,,,0.031733573692144273,,,,,,-0.04175714208456126,-0.05475414854917772,,0.002328190301797644
PI3,,-0.05934080767457866,-0.05354130724263441,-0.028842252020089054,,,,,,-0.009349407194130622,,,-0.004646766757813053,0.009120312202009862,-0.024919639956083667,-0.02081921121599053
