,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.015471712327264827,
BMP1,0.0002978585038355366,-0.06367945886952062,-0.049827025774601866,-0.03587713984856029,-0.02778995038058151
NDP,0.03157524106816024,0.007434052962930436,-0.04309763276766642,-0.044562611615842254,0.03169613593334862
TNFSF18,,,,-0.02609801263786114,-0.022478036379740808
RTN4,-0.044298395944507185,-0.041877181413033496,0.0011511383723714216,0.032255820465640066,0.0034184862897098166
HEBP1,0.029030153073576603,0.011976740386830562,-0.005212188134814056,-0.01221814778376726,0.004514231671059984
WNT7B,-0.005635310336196735,-0.007810212255299835,-0.025623809271185075,0.005231859280673864,-0.02742476942921567
PTMA,-0.06814082852653536,-0.02971913648039309,0.023248161600580533,0.08269660175473206,0.057843016448640865
FASLG,,,,-0.013418610823185856,
CEACAM1,-0.017930264743892952,0.0362062000161163,-0.01700689487829189,0.050077618911772905,
PDAP1,0.010870755001603439,0.0452213494084107,0.03099347898052287,0.012494200019170962,0.019482235852121554
QDPR,-0.006266990950901009,0.013796472964567541,-0.007963977619385427,-0.03475998764354694,-0.02700433235927649
POMC,-0.02150967944571213,0.01718390325372997,0.029200867512893837,0.011530752201255608,-0.005234940710247859
CCL18,0.13209011776167467,0.0037397702656241988,0.10133935478924316,,
CCL17,-0.012720654986583818,-0.022865913386578063,,-0.012162463537963854,
VEGFD,,-0.01583991615213656,,,
TNFSF13,0.04666062439886186,-0.02485446609050347,0.0002818560269369375,-0.019817719175528582,-0.024452897321102552
WNT5A,-0.054134396966109964,0.007390195545171419,0.010504325525452,-0.04863028982598869,0.03808393509256599
CXCL8,-0.06845480886383688,-0.006379460347191567,0.08784512205266828,0.055486626838378864,0.03557171793285081
GRN,0.027736172485483317,-0.06202399648589451,-0.017937060523496754,0.03152282325977615,-0.05574872677073215
MIA,0.06943742158638314,-0.0016022282743329962,-0.07733830138363762,-0.028162654201951295,-0.04479400608727611
COL4A4,-0.00553547494666678,-0.02536218247163703,0.057043948932498145,-0.01193518850344044,-0.0075126341406970155
TAC1,,,-0.0041886119956689935,-0.015988795052000154,0.0178771081386212
RARRES2,-0.010911583359161023,0.014351765104850494,0.014152385680077786,-0.0016100462725576184,0.12522652354011413
FGF7,0.0010998245032068689,0.03141639890230121,0.017102428168822546,-0.018784750328485193,-0.07169132085770681
EFNA2,,-0.015054780246674667,,,
HBEGF,-0.0871839465248126,0.049069915810185806,0.042107641410258294,-0.040680909801654855,0.0029570787223816342
CSF3,-0.020550600943787002,0.014466964657244608,0.006757263670598199,-0.012805197824019973,0.10295768789303837
PI3,-0.044689003687916486,-0.006800966823375006,0.027901267799844483,0.14570429284487912,0.12720270299371825
