,MGH258,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.0007761454272246029,,,,,,,,,,,-0.020421759701736666,,0.049885877157258784,,
BMP1,-0.02650761366134022,0.09460339055257908,-0.0019295183641557883,0.0004964977182702626,-0.021518368387633897,-0.010810068695308865,0.022498536132513992,0.07278180722882954,-0.0007690069656690444,0.0014806460606215555,0.07327212987880129,0.16880750408860803,0.0050642939668998485,0.025242076866265513,0.0042621018295495895,0.032870249803909665,0.031704939002950246,0.025702354176499742,0.010002612132694788,0.10051848710334797,-0.05844169854784285
NDP,-0.032781580738540865,0.007964257484160317,-0.05166237172810498,0.09747249483048714,0.0005322958380035251,0.0007845674850898411,0.05818883524823293,-0.024461631761307924,-0.03166640494089958,-0.04009046302968909,0.15496773030496547,0.05219989274933868,-0.03916954355753893,-0.05698574776444139,0.08363001135907336,-0.0016070049179944513,-0.012624465058482609,0.021899209084505298,0.03554809500232819,-0.027914377172787625,0.056292991086777495
TNFSF18,0.04283276895641398,-0.03236771944774821,,,0.05676667940619767,0.10346724075449598,-0.01640118106279007,,,,0.0032728936981912603,,-0.011681529201312964,,,,0.03663340989976899,,-0.02473758458832605,0.09592281899524767,
IL36G,,,,,,,,,,0.008513326377980693,,,,,,,,,,,
RTN4,0.0006195244245087095,-0.020996603548812342,0.001185055883369971,0.06077392387622262,-0.04187545649593449,0.027079983189524866,0.07247975776284103,-0.0397354115463654,-0.05217084056629004,0.00849987073229332,0.01308709985422894,0.04351973122452333,-0.10787921883309474,-0.020703237087130153,0.013375704973076266,-0.004428604966745883,-0.017050484140092723,0.05048810147333172,0.020979196750435424,-0.030937622561193222,-0.05048897437652836
HEBP1,0.003727029195022664,0.006643342970194365,0.04274294548046336,0.021677130370490093,0.0008014451690279604,-0.03417264525375901,0.030853527902399897,0.04639237110231531,0.01408799745030588,-0.010783477600024224,0.04630581043205425,0.1679626602647655,0.037142442338421365,0.015978410461483412,-0.05837738269063905,0.045747681160080336,0.025501289508721606,0.047760788940257363,0.0899613787114342,-0.004378653722421202,0.10801024468319932
WNT7B,0.09782056607350534,0.03444288116366517,0.024330934698800755,-0.009623082108400464,-0.019240083012885566,0.09042136125916717,0.04618368344575243,-0.01247999622779148,,0.004872499441901029,-0.011983756254554062,-0.0312077905647993,,-0.043229204019338274,2.179023657261622e-05,0.05636286480962956,0.025881220949598036,0.027470112138463242,-0.025087262614131686,0.05246561054297565,-0.03929245040383628
PTMA,-0.07626211083896742,0.01545375537954766,0.03973352024635248,-0.03244165622436172,0.02155454336625133,-0.042251928067999656,0.06773208565877172,0.04058723478954082,0.009341792976698448,-0.07134589389128035,0.04778752335796568,-0.012414068675559518,-0.005065189299657939,0.021225704827736547,0.036583498413124325,-0.012007733280309943,-0.0219369271022172,0.006112540872856369,-0.048125609871068134,0.10363744598527894,0.07877397894408494
FASLG,-0.013978095239474917,,,,,,,,,,,,,,,,,,0.003371929126787856,,
CEACAM1,0.016505551644744387,-0.020601166368578314,0.02491577976491983,-0.01561003109348556,,-0.025555081531548122,-0.025795150492185743,,,,,0.023293448621498857,-0.026269250913726366,-0.001487498504519391,-0.03537580219993605,0.028922574194923178,0.005374529021951113,0.041904389432523156,0.009638031549850228,,
PDAP1,0.023687622886288093,-0.0173072481496902,0.0072222382589055235,-0.017010540081037254,-0.002854788287618584,-0.007701676211870233,0.033102980528254174,0.02461108384506189,0.04976330590312315,0.0047791370379004754,-0.027338363540471144,0.053548601848551786,0.058631765866616795,0.07064540298924672,0.007475927588802027,0.007785282701365668,-0.03193761860381886,-0.010854459525945789,0.025433682671379517,0.00950570903533766,0.05678308024678787
QDPR,-0.029455195411357084,-0.007900832807018606,-0.05249319596121656,0.048069998414288585,0.012786898349145523,-0.035164889157405656,-0.0020232463367059355,0.010805327920365393,-0.02709845547069644,0.06145676162144005,-0.011763389555130663,0.06873242769341639,-0.050033533997431184,0.05353454946336169,0.05211247250224094,0.019255295132334448,0.01167545617030418,0.029675527703142524,0.016516242338558064,-0.03534621377629759,0.08760729335116663
POMC,-0.03229268025971032,0.06791484750224536,-0.014351663112928814,0.14354443778677406,0.017806194890682792,0.08315534940807694,0.009553867907494839,-0.005858465197719198,0.04187617416014193,0.022132942007134417,0.04788388726380286,0.13289190173295662,0.0616238821628065,0.012015984858263887,0.12429333452387556,0.036432116761985156,0.04301158148439755,0.003754007639800084,-0.015541769384227494,-0.03048810664804044,0.004777952449023478
CCL18,,-0.02570830914682287,,,,,,,0.025927499618216013,,,-0.05062204496270889,,0.15823949701647486,0.01470030387238464,-0.0498424792702161,,0.03950924569341642,,,
CCL17,,,0.020188373575015288,,,,-0.020455465997169325,0.07559431957847011,,-0.013442177238974007,,,,,-0.02509741942389838,0.018949876203609453,0.08367734078092622,,-0.03069236483565895,,
VEGFD,,0.0013331556377699342,0.07925005864450797,0.10801823591393304,,-0.045896516318125545,0.05560871038387756,0.013639283628784183,0.052871032320705724,-0.014406397696090858,,0.008696602019493502,0.06999363775124796,,,-0.029506335007572073,0.02469925978346962,,,,
TNFSF13,,0.01673747835302239,-0.011094865544605306,,-0.018837222412928314,,,,,,,,,,0.08728719981711598,-0.009854662836463926,0.011029684215307436,0.002506481986821128,-0.04115520180326272,-0.02950988368681758,
WNT5A,0.013124656150522603,-0.008318496287737115,0.004879975276142699,-0.03255885493156084,-0.019106577359622113,-0.009234909492632724,-0.015421859413460892,-0.032309228453798404,0.02094423139740919,0.020376150185644277,0.04410298885341801,0.03223875184384508,0.069690811750716,-0.0007872266176953511,-0.024950394749254055,0.07018836203747239,0.0171977803863324,0.06796615052274298,-0.0011510777354825652,0.061463047309364166,-0.03561271833305149
CXCL8,,-0.030889861843755015,0.051675845134843704,-0.023990693809628896,-0.012718474324651593,0.000977974674719966,-0.029491156752102343,0.04304477494172267,-0.042931491320627915,-0.011230511787731193,,-0.05780586390300185,-0.0023868004341969142,-0.04839625635415702,-0.10071295520451026,-0.06575213998997427,-0.020961484960322765,-0.012893753858409674,0.00918052683293742,0.06184593630822687,-0.08063718620171018
GRN,0.012466850512489844,0.05831624563619264,-0.016799563077941813,-0.056740348307682056,0.010881405533870485,-0.005603495915846551,0.0021077648946391495,0.05580223654373825,0.01008856520380915,0.07960575885453922,0.014290931430112936,0.02434563942524016,0.039802186858519224,0.126673496871365,0.08336141153197858,0.015195144995665185,0.04249066188895286,0.03156650360599823,-0.0833548981179295,0.011821907848126275,-0.06368750091579234
MIA,-0.02184047298976215,-0.043599695635049965,0.008215846165500614,-0.01824632599382189,0.0014145570901492063,-0.027904170905632696,-0.03227859084764335,0.07498534173483642,,-0.019730221854854856,0.08022068717949261,0.08229685228490333,-0.08250640279157993,0.09957589902137841,0.0907808276794242,-0.008919587682120256,-0.027761239977998557,0.02057640701645576,0.046732690151102006,-0.004643521834797734,
COL4A4,0.08755200043339594,0.014942222683170112,0.036278322538810547,-0.020580013603039963,-0.017922784889581513,-0.026997234814935035,-0.02135613936598759,0.0057397710516189715,,0.10980372179910697,,,-0.027963568089288224,-0.03475292132234183,0.004243329023753212,0.03344453456208085,-0.007502666460554527,-0.0054953211451495045,-0.017197009774245032,-0.023557514559825177,
TAC1,-0.03904750122712756,-0.02823716211683138,-0.019673903315209056,0.04009171505906372,0.007483870154499074,0.051548333685488675,0.01929604000732901,-0.028823568126129927,-0.021036700631105017,0.0485137011945513,,,,,,,,-0.00023684440018083286,0.04065809144378713,-0.07264406539083954,-0.042008339784813165
RARRES2,-0.010572969462381671,-0.04244206131072865,-0.0028899996215504624,-0.10950762445473199,0.03006136918247239,-0.013969853930951261,0.053976953590393964,-0.03587126250694889,-0.00924119137308346,-0.06864883715654152,0.024053272014416732,-0.02640578289779181,-0.10056862741208314,0.024692307682587747,-0.029791892717187535,0.010269033965655726,0.031157859480857215,0.01204120957937626,0.05246799507581624,0.012073138538534197,0.07816329216559653
FGF7,0.09301451171875262,,0.01573058631541727,0.021240820822638336,0.02862504321363725,0.0433641932676443,-0.019221409032579424,0.0062626323726397365,0.016214370579017146,-0.008768132692103262,-0.013382940666196018,0.020168735855719176,0.028362103578226168,-0.009004805219003946,0.03373009179258033,0.0023184239570354726,-0.02847398018790352,0.014324119736601144,0.09109073454438804,0.014554412717988099,-0.011457131605656671
EFNA2,,,,,,,,,,,,,,,,-0.028043796769962322,,,,,
HBEGF,0.08015412692604239,0.10646639597363497,0.10832091204974718,-0.0789106621892403,0.09376142050900067,0.00832513443212418,-0.004808234955651869,-0.029097472114791297,0.03449949023052141,0.02361737214155635,0.09921281471664425,0.05337784033642858,0.031471835676638985,0.045344772746810515,0.04329364742851125,0.006580938520236866,-0.045967649554527895,0.013533870411681796,0.046363121677231535,0.139330483521992,-0.10699368633767833
CSF3,,,-0.01917155901174858,-0.03492601922740545,,0.026312251728025836,,,,,,,,,-0.029797424848194688,0.027324730924292186,,-0.03348899529618815,-0.03231432531582363,0.07940617194570644,
