,MGH258,UKF248,UKF255,UKF259,UKF260,UKF269,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.014337205539422285,,,,,,,,0.017885921954628944,
BMP1,0.05232574547513352,0.0030281836929896846,-0.03214721254564526,-0.056050768159356765,0.012548269385826866,0.08035083409971581,-0.052524274644633336,0.012042212854806939,0.014799143636098857,0.02465410816232375,-0.026305489534745312,0.005166028694532188,0.008215013126773616,0.09564287081720144,0.04611351314934705
NDP,0.018394085694730847,0.0929022549247086,0.056573606931899244,-0.11915929007221812,-0.06232087071415651,0.05087286655206293,0.015469656695263392,-0.0428592333751464,0.014514607939132378,-0.012242532819665131,0.0731565159792873,-0.032568878948752,-0.043003766276449196,0.0098981214715162,-0.01777930115131249
TNFSF18,0.17116471949399312,0.029335723192478416,,,,0.015016104211081476,,,-0.06254490065905886,,,,,-0.011699271154048374,0.09994826089086285
IL36G,,,,,,,,-0.015795206350906348,,,,,,,
RTN4,-0.02147973912779584,-0.011529084910930918,0.02566691610186066,-0.03513695100318235,-0.007880888581233538,-0.021799530560642866,0.012504036421504288,-0.031318747223209764,0.08351308860064283,-0.022858787270370745,-0.078122893775183,-0.011724838999946868,-0.05474050016766418,0.004121256984829537,0.01668888578099547
HEBP1,0.040738627614862716,0.05638731946439232,-0.030027837003126726,0.06788504394680885,-0.046638920012141385,0.032466063271445335,0.0801601901132289,-0.019897952757574104,0.04984309768558607,0.02727879235712885,0.04650790452552488,0.03256183617512789,-0.00167834251035303,0.026248383724785555,-0.05891521343802878
WNT7B,-0.01698505066600855,0.02539854567540761,-0.01048844528532778,0.033355463336088464,-0.04411994444202147,-0.059341250926504455,-0.020242467761099964,-0.017360752041331116,,0.09160193148295954,-0.027074005698891113,0.049375287250856145,0.03883675729165289,-0.04547513894822703,-0.048139799121248855
PTMA,0.01812440634921231,-0.020712836652198852,0.002373239522765794,0.06769531713755056,0.020383033736365963,-0.10113791067269634,0.017256431707112538,0.008023518999443901,0.012401473629165074,-0.130886146826767,-0.11187122314989081,-0.044749701534396356,0.002890529872466352,0.05785829154326209,-0.004609604898615548
FASLG,0.06439911192863527,,,,,,,,,,,,,-0.01847839312094184,
CEACAM1,0.054004075629227,-0.018547729267142734,,0.03565779118991355,-0.01697434467353591,0.000500703233879216,,,-0.02257400491256676,0.054846901747928035,-0.02573331998324584,0.06100486892215521,0.03017595900362097,0.07416993302844536,
PDAP1,-0.008363679656496568,0.004089735167330792,0.084794930927885,0.04354292055762232,-0.0168885489877784,0.024706977394827367,-0.003470524048359234,0.008591094046351808,0.03468984800872951,0.0281367394214407,-0.06587966274398616,-0.05465017709923737,-0.06224676314179976,-0.08315231176914102,-0.06845272170658862
QDPR,0.012531812998593617,-0.03729438687127062,-0.029637696980453453,0.010180286034403473,-0.03555876688871388,-0.046099780047106,0.023865960335338,-0.0226002049335943,-0.120960304770806,-0.09141402447965732,-0.004522485841469392,0.01717317558476047,-0.02352264769717598,0.0017254588994592686,0.0004203507609325913
