,UKF266,UKF296,UKF304
BMP1,0.04849601651742686,0.05601385247803688,-0.079210982925291
NDP,0.00844561862206398,0.017536790576757295,0.07036878760040788
TNFSF18,-5.887964210559749e-05,,
RTN4,-0.046584330936012774,-0.01381171084416057,0.046735094306906616
HEBP1,-0.043406010670077565,-0.0012140415249587383,-0.003816441905506031
WNT7B,0.04380416318953346,-0.031112180225538886,
PTMA,0.05252703331542187,0.04865191565243961,-0.02555400267882537
PDAP1,0.10992042969127294,0.0024455815532506337,-0.05875865167205074
QDPR,-0.04594679255551448,0.03391959365668806,-0.004544026472884866
POMC,-0.019773764112632177,-0.014111915865023767,0.007326899950714685
CCL18,,,-0.02502153673327716
CCL17,,0.02992857857623621,
VEGFD,,-0.028246199225647712,-0.022416374432112886
TNFSF13,-0.018479341023164966,,
WNT5A,0.04771126211873508,0.0066672912136170135,0.017891350760129956
CXCL8,0.0300121103586504,0.03079211857387479,-0.028782597866275888
GRN,-0.03483671852829591,-0.005218099373915693,-0.028720163665436827
MIA,0.0005974851624980345,-0.013569753917916505,
COL4A4,0.02483363283068409,-0.016396514952692925,
TAC1,-0.02881493999888353,0.03752333592254094,0.07108573081469842
RARRES2,-0.02582486527145379,0.014371746779779052,-0.007619644204685749
FGF7,0.09453439722022304,-0.030385672746557835,-0.003167287757801656
HBEGF,0.09226438376494386,0.007642327041099707,0.023535713317961986
PCSK1N,-0.04624993454526856,-0.023269389799706563,0.06318614494682673
NTS,-0.02146396484099663,0.019048721508669545,-0.020181937735786797
SFRP1,-0.05922046912630537,0.000692192589395747,-0.04007498889675894
MICA,-0.04555796940545595,-0.044053921677801255,-0.017216322238594404
TG,0.006535627700526523,0.058971505347592934,
ADA,0.013877733178713825,-0.03167629515035771,0.037955409074914556
LAMC3,0.03456562151021674,0.03493845370858061,-0.07128973852517233
NGF,-0.023642065322902854,,0.03282640530293572
TNFSF15,-0.028706650424272513,,
HMGB1,-0.003971607178070617,0.027195576022439515,0.03302723640461743
ITGB3BP,0.04603832890853564,-0.020906294392095112,-0.010006587377655453
AANAT,,-0.023446037777523306,0.06568267488131925
RELN,0.05970346221526975,-0.043822972016879014,-0.06667043911477041
IL15,0.015250219685800601,-0.015810871477423,0.003907691935019889
BSG,-0.020259813997085225,0.012313378997993658,0.015260765873861557
ADAMTS3,0.08194036229395954,0.023593528031877017,0.0052944535743254684
CD34,0.03189064620243916,-0.04099660626197248,-0.036503442321581835
PLAT,0.019415657853176102,-0.026929581354365788,-0.01776432100506786
NTF3,,-0.02711111724591829,
CKLF,0.05443813258280147,0.0031223190807014908,-0.07449293334579332
CD24,0.05788550044939158,0.032676180751506384,-0.04081742140166085
HSP90AA1,-0.0042009448820742225,0.019167908603794626,0.07104707585979736
BMP4,-0.02273737482903759,-0.016356410479991666,-0.030263944977200367
SCGB3A1,0.02973350579991258,0.061729799151021524,-0.0333995534367286
IGFBP4,0.07545628869559289,0.06968085001507766,-0.0208604084563411
RSPO4,,0.10873635263605887,
LEFTY2,-0.004387189892243896,-0.0297121838344942,-0.020181951024253745
ANGPTL2,0.06445245604114061,0.011647401254505587,-0.004341130785744786
LRIG2,0.009103966231601661,0.035696933868414875,0.037583839846765985
ICOSLG,0.009601656814335788,-0.015061983475537881,0.023327062888113204
