,UKF243,ZH1019T1,ZH916T1
GHRL,,0.06278546451335708,0.02841191200459121
NPY,-0.0598177559986462,,-0.02564913693249436
MMP2,0.13073022672475118,0.020946041720349026,-0.02342012500095616
PPY,,,-0.028599076758674197
ALKAL2,-0.026904312974223125,,0.0033468232526949466
CSF1,-0.05920757284552901,-0.02132826099082511,0.08379134878787396
SEMA4C,0.05719226034192701,-0.0203137552858349,0.042063696297163174
BMP8A,,,-0.01823114805597153
ICAM2,-0.01784169936771953,0.039017238782550215,-0.05789139343694984
SYTL3,-0.024144868783903334,-0.01569598331689071,0.09477143095912315
IL1A,0.0012650587432806609,0.05949174196765283,0.00820679835798305
HLA-G,0.08999482770826216,0.11868145185560786,
PGF,-0.05022836543867152,-0.015532556817072532,-0.03273425863690456
LGALS8,-0.00244227076785828,0.0210966123091063,0.018186359285894467
DKK3,0.02961093479071867,-0.037771881941462686,0.09144559959214184
COL16A1,0.036110793971449444,0.07088494221102325,-0.0019027410777077197
TPH1,0.015822670033926366,0.07158429984390842,0.026328283725826324
TNC,0.015750453475704303,0.09625028942257703,-0.017781969781835764
TNFSF9,-0.03863345902672093,-0.03587402077223474,0.10566178526160727
C4A,,,-0.02455102705428913
CNTN2,-0.02146724885959198,-0.0007265692491611125,0.012961413827594147
LUM,0.040768584525161446,0.0091849561465074,-0.07449572237340898
BTC,,-0.004923658030285512,0.1376788310844433
APOC1,-0.014455107635532491,0.007834581723492814,0.104099093324595
PKM,-0.019877705973056443,-0.031137978464759998,-0.07617195468638734
TNF,0.05947570874205823,0.0430608983130209,0.016467106210396217
GNAS,0.04369160545709002,-0.03985320242065569,0.07381595606951642
BMP8B,-0.005798499561848706,0.007960750138295782,-0.04505583275004598
LIPH,-0.028161895356550285,,0.06963425320930196
CCL28,-0.02058346927187806,,-0.014156525887024228
PTPN11,0.049906064433126375,-0.04550006337149262,0.02670333613328695
ADAM12,0.07612685469046959,0.06691559343119914,-0.07848709092021121
EPO,-0.05679370223979448,0.08332786368754139,-0.015054288761404374
EDN3,-0.028407551245857286,,-0.027353533073099952
CCL22,,,-0.023262821125482322
CCL2,0.0275841399472947,0.07584411191107573,0.002920201277342514
DSCAM,-0.0427126159373567,0.06321932058686122,0.06392077925522471
ANG,-0.0015172440965403404,0.05418478082857409,0.06772339071585941
FBLN2,-0.03300385080425747,,0.011800373184801628
VTN,0.06331245967233959,-0.0534612241671811,-0.024551032151376564
VEGFA,-0.0013896549805258777,-0.03866893686266469,-0.024456093055002688
F10,,-0.03321404011297145,0.13216383786229527
