,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.04914389764980167,,,,,,0.03282823367092071,,,,
BMP1,0.01255602845638896,0.09049312747171243,-0.025787901921016456,-0.027713609667136013,-0.06074615068411719,-0.06896289142073314,-0.2886436121385832,-0.05643590401997946,0.03764292652654211,-0.08987979389571889,-0.18521273680186848,0.03900972400250942,0.033223095088814415,-0.011082959128867824,-0.10534382488973737,-0.10399506334172903,-0.025128826197285053
NDP,0.025085752724768255,0.019628608241432834,-0.021427634482648793,-0.013543612159042009,0.10698484092764904,0.0840211626877726,-0.012384809898995175,0.06773745317427574,0.0035638158148018433,-0.08483611539574633,-0.04786008466043975,-0.004421979038435424,-0.031230982990626155,-0.01951761219158993,0.01571557410708427,0.011796773167753466,0.02373367205195588
TNFSF18,-0.008686087666232715,0.05635149679146609,0.04235697027145219,,,0.019999856961553694,-0.07297721266971925,-0.044209813906730885,,,,,0.08288214809442991,,0.07046850737695078,-0.0499862875112652,
IL36G,,,,,,,,,,,-0.014065102191908074,,,,,,
RTN4,0.21547008093251843,0.028208695082967406,0.030552317024711017,0.05344691658303929,0.14465831691479647,0.2669810477224034,0.3694504873626604,0.15061527970039687,0.1458325261483853,0.3448354156320154,0.2786710876096465,0.027458247181438394,-0.08410356078351663,0.0530020383641946,0.0022832209032720104,0.24273036687470284,-0.0172349555119944
HEBP1,-0.06708737898924823,0.07803113963827953,-0.0037512921932151065,-0.011544052774973496,0.018257270756361067,-0.12058827914729416,-0.17304100852553608,0.02505924936076005,0.029332289581517276,-0.16555978291225587,-0.024379149321438857,0.025653234985247356,-0.08226470470292142,0.0461425440456303,-0.013818563711339204,-0.052345496662102135,0.0006688194121759483
WNT7B,0.3448413080948305,0.04570788112454458,0.062459478539736185,-0.024284030627107402,0.10910019750764398,0.05647102590882244,0.1849551141766925,-0.03531992991784783,0.024547617329185194,,0.05290256926935846,0.027413420625382517,-0.005872975573198101,0.06631343957807491,0.001702288118073181,-0.0029717189452647874,0.02840283897804317
PTMA,-0.0513439143442313,0.010823662762942656,-0.04086710291795089,-0.03235353232850679,-0.15390769992333242,-0.31810543326959234,0.026584457664251267,0.08387979069070106,-0.0698751386184469,-0.46798076882507744,-0.28383762138555335,0.0002736533582803833,-0.06747737118418318,-0.011851088544133368,-0.10069672434841677,-0.1717201849765328,-0.24992642917960506
CEACAM1,,0.03833087107001571,0.05346768780350498,0.03011377122334813,-0.03560292002828887,,-0.09603385540210745,-0.005491700552918096,,,,-0.017644162215842425,0.1319673556298898,-0.0028604006260622545,,,
PDAP1,-0.0831495239276011,0.06188126953872881,-0.04515513074262366,0.02010115186245365,-0.076104953427397,-0.07430829311237656,-0.20970796608406844,0.020752226649172072,0.020693965138309584,0.03616711624835825,-0.13917947392405464,0.04334600286604074,-0.03957267593727038,-0.016732468325317492,-0.025226714832537488,-0.07915892641526844,0.013404468589492506
QDPR,0.14549320454561998,-0.00940015031189733,0.04552160267859039,0.03174782244563095,0.20228278810725284,0.13768340128714904,0.14534409205535193,0.12591668589800192,0.062295463968453084,-0.34551625137894354,0.10991130185555417,0.00923954348331387,-0.03145959301420113,-0.04108659474533582,0.00499576386573349,0.22950919434278946,-0.06334991229766083
POMC,0.1857672086561521,0.006919160069725263,0.011403850855563323,-0.001925492602122502,0.027283294214595348,0.009308941393440044,-0.0007856591460973895,-0.026471067959785214,0.017281998565790078,-0.07859053768312212,0.1099025241062179,-0.00045704922840650964,0.18217341576570886,0.011356943681403529,,0.014935655859370324,0.03563682896967387
CCL18,-0.03834423288142064,-0.04334769680250001,,,,,,,,-0.11931895647412713,,0.0767256610116229,,0.01247019111245158,,,
CCL17,,,,0.004580955238692849,,,,0.019562373404707265,0.025225809485413406,,-0.039517091389759555,-0.012517679090683579,0.01278367668619869,,,,
