,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.016494108703078533,,,,,,,,,,,,,0.08666405709541733,,
BMP1,0.004451258072737348,-0.02635194449263166,-0.03526274221737702,-0.03736516490479842,-0.0630007898826496,0.030745925801166866,-0.08954935538574611,-0.0010771443908797749,0.028730607103173045,0.02342661649081848,0.029778031573867752,0.06408042087208145,0.1161615381948568,-0.04081003824034862,0.1075842757584736,0.057695994130457215,0.06558330642614564,-0.009653215643065689,0.05366614120910418,0.1722042344768469,0.13577015236722453,0.0168341486501394
NDP,0.0352638340268578,-0.07183060425560238,0.030780695923173503,0.027135627619230728,0.0200329096678113,-0.007600214729307849,-0.05725720668310732,-0.005656250941492016,-0.02601494498137445,-0.01411526081447645,0.004873973760887576,0.0894590779503406,0.028783969124168654,0.048838150441693214,0.0024692127181405624,0.04139583702928419,0.08429005804764628,-0.010442731147263514,0.0728454163394668,-0.01305904795716819,-0.004115228135079495,-0.06154977483708627
TNFSF18,-0.03684040354588443,0.010817237237354017,,,,0.06487175010023369,-0.024493256257359285,0.03110229416894754,,,,-0.03562834223675586,,0.058555854546799624,,,,,-0.03505050145085646,0.037978290880130154,0.0659103185883067,
IL36G,,,,,,,,,,,-0.0009170324594681084,,,,,,,,,,,
RTN4,0.05972085784504521,0.02833651611291526,-0.029481840440714654,0.020727181021744985,0.07519764384049261,0.05827371650808239,0.1628101233979555,0.05068775121963547,0.04789443359199656,0.06543558777447547,0.04815351057941748,-0.00888924942578124,0.06591546519183855,0.014032411646322643,-0.017997882262358232,0.0769234546811478,-0.012426900556025404,-0.013277210560658689,-0.017996336887473003,0.16412415835194644,-0.19044290098033753,-0.0016313689966853684
HEBP1,0.05704852934117775,0.01584896217138938,0.06336511166235684,-0.026870999528246946,0.010866683754595409,-0.030060800828405322,-0.07167042777736174,-0.01871604424602731,-0.028012027537259676,-0.057867913502983766,0.01812781790681846,0.09313638793938445,0.016364864397407496,0.009715302877329095,0.05495520821197485,0.01173637373867252,0.07291191521219628,0.06671379319424109,-0.011449837245723824,-0.013062093898682002,0.08591310857292565,-0.10035545259179374
WNT7B,-0.007410474637501724,0.003498997401886463,0.06881224991278297,0.01381933896804985,-0.005394531529884739,0.03717982149953986,0.059712575078382804,-0.012837279080761356,-0.016099168819798546,,0.04443200516451177,0.08313102443318413,-0.009301176700258238,,-0.04257898778644461,-0.03799640329742701,-0.02018345665378317,-0.004244058577096476,-0.03505046510611944,0.049425725505378736,0.012136482533325737,0.007740197519254195
PTMA,-0.03259228638850538,0.007711137682760482,0.03505190299721079,0.047210186517593754,-0.03329310025967848,-0.05023581360100011,0.10778593936342178,-0.03895837742397518,0.053702449616935086,-0.08783868257557403,0.02367192282965695,0.02570558114665703,-0.07920669255012873,-0.07346676190644968,-0.09768136073891769,-0.10251224599517827,0.004331803859479174,0.07314432564346872,-0.09381254702085076,-0.0013620753421653292,0.0286490192758969,-0.039317782137410634
FASLG,,,,,,,,,,,,,,,,,,,,0.0533491017754644,,
CEACAM1,-0.008518723921811673,-0.012734206853363466,,-0.039323066107766105,0.00029379165252626567,,0.05990133517305118,-0.039290995100955545,,,,,0.15036413736250645,0.012071666889516611,0.006715828977023394,0.08563240118214878,-0.028105030706670264,-0.021256337332739166,,0.009827200283234768,,
PDAP1,-0.019334803930850096,-0.0436558354240534,0.0319183791704793,0.040020018602145116,-0.020367139103861984,0.013263480946703023,-0.06795770649280641,0.029917523918726978,0.020991194292900535,0.020737003339138884,-0.0034773237410385075,-0.001009661467238094,-0.04069407725904164,-0.1125569893443873,0.10561515214179032,0.00039496145015028645,0.010948232835653944,0.048568819516806756,0.05118904161379004,0.02171823599872756,0.07726624277784071,-0.060466618840418644
QDPR,-0.07014283587989746,-0.03885275609141782,-0.0047392659319225525,0.02230405203947139,0.020330864013131725,-0.04634257886140425,0.0829137183602085,0.04306147301575526,0.07789502112818252,-0.023104439862598452,0.022322621273306434,0.0633491683169117,0.036162736204551224,0.031903962871140605,-0.1660152013666895,-0.007476687856306783,0.02335409718562303,-0.0021353419309917874,0.011765551452992937,0.08268435999862316,-0.17093998588250603,-0.03078885311900576
POMC,-0.010857866177832222,-0.008373891421830221,,0.015353741024464544,-0.014572826970425033,0.003061873238925092,-0.010845551480353521,0.041525051027098775,0.06393237046915717,-0.03698325143798853,-0.004358815746416762,0.15838545888583347,-0.020532133981908736,-0.06452260794057153,-0.030132185880451284,0.03981918037154292,-0.004160863591195171,-0.01165283070950782,,0.08710102810326974,-0.004855213125713587,-0.0452576333398001
CCL18,-0.02926077275787793,,,,,,,,,-0.04267375748791639,,,-0.04880074705192351,,-0.04074696446681167,0.06823035841961175,0.05251844867752834,0.004670624799495905,,,,
CCL17,,,,-0.03226773534187736,,,,-0.03115762455140614,0.022184854845985345,,0.002332764889109002,,,,,0.04955075922189057,-0.040571376242995824,,,0.053813067862258535,,
VEGFD,0.018201557953152887,-0.018239196461594186,,0.054149294661297906,0.05630858482702522,,-0.027632056519469726,0.003038756231101003,-0.014616151184354649,0.08785918735691421,-0.00021564089995274643,,-0.0549794965681619,-0.014035947228058664,,,0.0006662627000447064,,,,,
TNFSF13,-0.022081125107573853,,,-0.02225756166558541,,0.010363148535005263,,,,,,,,,,0.0332502179444777,0.014711964402013417,0.003892250026219448,,0.03998209534353535,-0.023376288272478028,
WNT5A,0.09002402591990248,-0.0209759603355561,-0.02619322322370234,0.033454879761450056,-0.056077319618219226,0.015150285763552635,-0.10584091781595463,0.01270808365363474,-0.04502957866413642,0.013516688234367824,-0.02393911674824686,0.07418261996862427,0.02381321625788834,-0.035471863979881724,0.018461216637466155,0.056869852484124093,0.00042543651616406354,-0.020927653969452717,-0.07668748599711456,0.09926542127059008,0.07183484307559665,-0.001689398406988657
