,UKF248,UKF266,UKF269,UKF296,UKF304,UKF334,ZH8811Abulk,ZH881T1,ZH916bulk
IGFL3,,,-0.018557923239081637,,,,,,
BMP1,0.002930709215603806,-0.04065782364186637,-0.12516844412961112,0.029634484298273242,-0.04457460821289451,-0.11397230682065834,-0.020855266917262416,-0.038574248127253706,-0.008634350639390748
NDP,-0.025177547072320155,0.05068449615520849,-0.03303427813577408,-0.02087679242419643,-0.08486181016482472,-0.007852198608689819,0.08368550074466816,0.07463191443143494,-0.05690160372828932
TNFSF18,0.033124374031519736,-0.023865948185686013,0.027658327809343266,,,,,,-0.02359244066692104
IL36G,,,,,,-0.015795197898457042,,,
RTN4,0.05184227149907087,0.08726664119588856,0.1477427784543774,0.12656425266168878,0.10338649187658781,0.17532818899699748,-0.08214596873967708,0.007664020038629563,-0.01681341202817382
HEBP1,-0.024966257903037654,-0.06707329460409357,-0.09070958135606787,-0.03174754222277914,-0.03924029054855084,-0.027169710059155375,-0.010775113582261887,0.03966768639798099,-0.028248540730985122
WNT7B,-0.014781086329292764,0.012848221758234548,0.08926158324376102,0.0480062879473216,,0.11923947330245982,-0.001522616342323159,0.11031068096245115,0.02029056407286231
PTMA,0.015534804252759337,-0.11631720982730692,-0.0021642868319263894,-0.04444894850863782,-0.16377891871451977,-0.1708904815111469,-0.0296724935914635,0.0722708851582076,-0.07936562543821839
CEACAM1,0.02774691995385904,,-0.03626470430988633,,,,-0.017353587964091366,-0.01351765766452986,
PDAP1,-0.05299515746919526,-0.029117917102602687,-0.09834982938496176,0.05284582919111726,-0.030356397752250217,-0.0784804145991144,-0.05991647651362221,0.04306576537733246,-0.015348916387134688
QDPR,-0.008680677427377931,0.08647713078064091,0.03519244485732256,0.009324569610329703,-0.1280691021000532,0.02753466584088691,0.03131103112794094,0.00827430469486329,0.06840490267975388
POMC,0.08404514282177425,-0.004368016462230862,-0.013188930685759303,0.018506981838658832,-0.058548937860089884,0.061753820803470624,0.015297195756518618,0.06385695416305032,0.060162707271204936
CCL18,-0.01943480342529391,,,,-0.024503731475422688,,0.023648370210851512,0.0010360110979989688,
CCL17,,,,0.0058999216881672365,,-0.014429361705756807,-0.01231153072325532,,
