,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1019T1,ZH8811Abulk,ZH881T1,ZH916bulk
IGFL3,,,,,,-0.023450997840198873,,,,,,
BMP1,-0.05370467875275417,0.08688380516752332,0.0323939985476605,0.028299791536038597,0.03418067727610879,0.0976275819526784,0.0514561333539533,0.016390686698585018,-0.0031684412359187946,-0.006270312522099416,0.07177860002894293,-0.06345189370954252
NDP,0.019109496203978574,-0.0035803199998640377,0.003830650958582477,0.015136451576004283,0.022600657309287023,0.019669685275037777,-0.05218899528011036,0.03592955644036299,0.0036118892972410673,0.021074780092479355,-7.862929340668646e-05,0.018592984498267254
TNFSF18,-0.0387826568410938,-0.01480365333911472,,,-0.011440817265605379,0.031111726997755804,-0.01433915972666538,,-0.063959304362956,,,0.06076333601498437
RTN4,-0.05168576800789552,-0.0313652293826907,-0.029617965693594494,0.008823692800600812,-0.09079941323036902,-0.16611993035457567,0.050336969049333734,0.003934925107377551,0.10518326561623531,-0.0058911609704473174,0.009985302147000363,-0.017261574670591903
HEBP1,0.03350207190900106,-0.0014400206347358194,0.006333326938557019,-0.006712530961130885,0.06791957165890548,0.07515113089688882,0.007177549971568005,0.024901659157550878,0.04515885242835616,0.04339616188644939,0.01949462319963966,0.0030530150116546678
WNT7B,-0.03125618890263303,-0.006252554965653514,-0.014396207493205762,-0.03188329973325099,0.062163933556343004,-0.04651514830735019,0.08804776820567677,-0.019671247927211335,,-0.03491355104320855,-0.026787531801522536,0.0035092232399521633
PTMA,-0.017044357560128967,0.0810486474680403,0.022295676122926305,0.0062128751325605585,0.04932496778841928,-0.07128162872461272,-0.027097564249089916,-0.027138139307008476,-0.09588493664412738,-0.04732205324640607,0.06665001611106744,-0.08552166932822347
CEACAM1,-0.024684098213611984,-0.01624641500411814,0.01028779403950612,-0.014777318353850414,,-0.0013183163525424865,0.027913198456491487,,-0.0037270317993017893,-0.019563784651026137,-0.017779274446508744,
PDAP1,0.023630365737582693,-0.0046660266432953295,-0.007931030844724142,0.04192443333145767,0.09915955146589514,0.12952259867435578,-0.009870148034507838,0.014357346838077907,0.020038982136588033,-0.014948317175980995,0.027683205307406467,-0.0067858858519448855
QDPR,0.016555574617727102,-0.010028635589138555,-0.03300595001855315,-0.022257057634997118,0.019479335374213334,-0.13253529072710407,-0.0059456454922813705,0.050717238165917736,0.007865778535670193,0.024965825917426583,-0.06163510310427277,0.029655810814258398
POMC,-0.031693203779612926,-0.006796049581033126,-0.009941412913547047,0.07494677306947335,-0.00448606649319593,-0.038332124529329034,-0.016638027032781447,0.011045348092059636,-0.003980367667783816,0.012004597218927873,-0.02908455740887252,0.007367956944897941
CCL18,-0.019489681327235747,,,,,,,,,-0.023978621835336125,-0.027667203407246075,
CCL17,,,0.02214774922819305,,,,-0.017883723927799054,-0.0006081657700998117,,-0.013879558296108858,,
VEGFD,-0.007604182634800642,0.018183953444931945,0.013513055005695447,-0.014138101536410722,,-0.008242445206343796,0.010646108250367792,-0.01785917875061091,0.1116632493645452,,,
TNFSF13,0.005505155017223871,,-0.01726438042409805,,0.12093544527524769,,,,,-0.026632787628592905,0.01884692869010475,-0.04042382033276555
WNT5A,-0.02745116067515106,0.051919263363578404,-0.033518468150009285,-0.0021599864256360126,0.06520440990321039,0.07838029904462614,0.01975572777968885,0.012024472429675501,0.04941421580827415,-0.04645875292172286,-0.012517571915058036,-0.03813640322409192
CXCL8,-0.008741777354665364,-0.021788395917497608,0.06732216151729144,0.035917006281947966,-0.015782210992552097,0.03177818862099414,-0.004212609051909339,-0.016631243795477337,0.0007369775362542925,0.06432432101557704,-0.02749187932762656,-0.01962006569408903
GRN,-0.04985235649930679,-0.04770450741123328,-0.06098061002283815,-0.04463158257154432,0.0449927727595546,0.13160024811745913,-0.021933582325864016,0.027334476856290594,0.06428683457478368,0.03126410003978807,0.028596469435060338,-0.04183080130214434
MIA,0.0593682155223154,0.04242397447909078,0.010894042564605974,-0.002553169479088347,0.01763311847422701,0.07091266336472937,0.013845744921741315,0.037511081840048546,-0.023004789386825746,0.028084922410706672,0.03370259283677508,-0.051675999055320124
COL4A4,-0.0369946599328169,0.013671147687024867,0.006132092677220975,0.025232762913587642,-0.01055659837386644,0.012213149414236697,-0.018671161079281965,-0.025433792867800443,-0.007145713269668781,-0.03667371872151331,0.038490677251150254,0.03369259793190533
TAC1,0.02710591633672947,0.022447385349362005,-0.05797393463524484,-0.002827630356058429,-0.06817489121890702,-0.09181672855356175,-0.025149091920707745,-0.016345848823521317,,,-0.030674313424244513,0.029377744580895124
RARRES2,0.008709106226461186,0.009308067884937241,-0.027597213920338447,0.01013972728736955,0.02218568528772454,0.12441513786587971,-0.0019875917134267902,0.06255126138163793,-0.061607748692922154,0.0638863796895634,0.048885618075670885,0.06826976420490634
FGF7,,-0.026264193046239205,-0.03165359848574165,-0.027070352686813053,-0.03025698624458423,0.028615979955471608,-0.007568178143031161,-0.014643773944411848,0.012611051472217142,0.05229074857619724,-0.025281474083125234,-0.033339689204184106
HBEGF,-0.0765297080853547,-0.01466281122771631,0.035499332716328436,0.0023462887662992976,0.00512109399437287,0.03443727497062264,0.026921812495895907,-0.03956825424401066,0.06103633241484294,0.05173628958519411,0.02023897328337679,0.012847381318959258
CSF3,,,0.08032996804875735,-0.01995838262505402,,-0.02444910754767687,,,,0.044148275336511576,-0.025489018544240113,0.023159657907776965
PI3,-0.03240649900441609,,0.08571338068967958,-0.04336999871914973,,-0.027530017791975274,,,,0.059189139436200223,0.003893399206402293,0.06280266245650266
PCSK1N,-0.01300498423163397,0.02344560004767371,-0.040786458398108835,0.041394190847696126,-0.03462556614477741,0.019398448903744165,-0.04850157825374852,0.06408238107709677,0.09607323595311129,-0.08874098956437064,-0.05565921403708033,-0.025302178134496978
NTS,,,,-0.04736091448351653,0.015205222952270272,-0.030050894192609826,-0.021329631149647022,-0.01719397600467597,,-0.03237956469605057,-0.02785503357067571,
SFRP1,-0.0034324198674732793,-0.0032570506863428316,0.07145681119476323,-0.016129125461467674,0.019523608725310993,-0.01088593315280477,0.0753192975936049,0.022207363342526685,0.02303890004920568,-0.014105947354058644,-0.021844933763998497,-0.041195149264600585
CXCL13,,0.10236648773175315,,-0.015984169310655837,,,,,,-0.031176333641231548,-0.041577893405129435,-0.03854835254055968
MICA,-0.026556996182261747,-0.0025663654457512637,0.019339569720056696,-0.04995484035457695,0.09899462331261971,0.08525585477255944,-0.014405499804081925,0.04123812846887002,-0.041160270352687274,0.05126019320276363,-0.0778099390737767,0.06858355017636134
TG,0.028451949790188624,-0.022091851007961745,0.0012643394549600496,0.010981972708604484,-0.014875235350761844,-0.0034158186544851923,-0.018017175074670207,0.015594974792887783,0.025002536501597287,-0.01844246288707755,-0.020977853940973068,-0.018755830686422233
ADA,-0.053263541945514116,0.028185939755133987,-0.03948979479379044,0.03129357056026938,-0.029060233430145143,0.10049642182312035,-0.016596216907657668,-0.008099268165631446,-0.04154448623467766,-0.03646796554762482,0.01584135604472978,-0.013271886907289046
LAMC3,-0.04495410928815152,0.00972177279873369,-0.021738886520065382,-0.016440987298067575,0.03674546737965315,0.1437572179331976,0.03485495144437691,0.04543952396283428,0.015751603065182144,0.021403752800395262,0.008209052163367092,-0.09037841913414214
CCL7,-0.019593578798260486,,-0.017039196856820645,-0.003130448673211213,,,,,,-0.020802258639048762,,0.00033019954957060353
NGF,-0.03364120179739408,,-0.03125620689585936,-0.022620315571704977,-0.01419496431598018,,,,-0.07610613043049187,0.04622953194345369,-0.008413705563581382,-0.05385918455386795
TNFSF15,,,0.041869725513769385,-0.01569052738164423,-0.01723579868502929,,,,-0.008401498759752183,-0.020279866280891505,-0.01582824292351728,-0.04241827150196088
HMGB1,0.02742303555810179,0.07396326273489708,-0.059807330386689346,0.01789310642908694,0.040709934109959295,0.13661968359134669,-0.005534362325658565,-0.01739598462707708,-0.1000963546125279,-0.016296423560896802,0.05670501825742105,-0.010840457284167368
ITGB3BP,0.02900167229895448,0.07079502756324191,0.0396977273497868,-0.009801465942535035,0.01882726557036602,0.12767868997809995,-0.01408562253477169,-0.012900053794828186,0.023937586406029596,0.0023736347567111737,0.07700093031488808,0.04479889045775183
AANAT,0.006999834119660198,,-0.01726438226669251,-0.014138103554704391,,-0.02205375664781088,0.0006804405889393615,-0.020311055850548456,,0.12618214588694693,,-0.029018045380044957
RELN,-0.05523522613686044,0.03563289552803798,-0.01054683297047484,-0.012900574283085858,-0.0026470293152225386,-0.020860566624042665,0.05488448841552875,0.016134364450818985,0.01262437052118418,,0.059304637566720164,0.010626688045971854
IL15,-0.01397519932132746,-0.028144680198525403,-0.008968285802777698,0.0425855104234191,-0.012264295420790185,-0.029150017035002234,-0.005254113574284867,-0.02395796002399447,-0.010704457837301125,-0.033433741016167584,-0.019059183165454966,-0.012809566373253426
UTS2,,,,,,0.040387166929915876,,,,-0.015540742729115646,,
BSG,0.011852238044032307,0.00944903471275109,0.017676618335218146,-0.013232819043665012,0.015130136547086772,0.03334121469201402,-0.024911237687494772,0.03231919424782873,0.03397708039376707,0.05254435468059841,0.03227894911049622,-0.0068900111534518065
ADAMTS3,0.07838149213432338,-0.01344614668332934,-0.0081342388989768,0.051701349458377455,-0.00023948538998264026,0.1737032733091991,-0.0028161855614821625,0.015243581977395396,,-0.0059569114306886545,0.007133651289346547,0.10296411655885251
CD34,-0.06958259589533103,0.03075046066000987,-0.00383594818914259,-0.02901154345645915,0.005394452548909516,0.038185220168006344,-0.03732577773600388,0.047296420510246004,0.1625744002084296,0.003218185098662393,-0.03443359627683517,-0.020809938233936252
CCL23,,,,,,0.021186215696843987,,,,,,
