,MGH258,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.004948259109007437,,,,,,-0.02651423777113805,,0.032285316418617316,,
BMP1,-0.0276637796283668,0.047106984749312124,0.02583563817394569,0.016886886341324667,0.0373749291326342,-0.021455638933892983,-0.0021903489597239565,0.02564023929332556,0.025714056516939785,0.0056173988989796685,0.1117213105723829,0.07768947766542048,0.08581066224356149,0.026935225665124594,-0.005230704706989897,0.10013738272404543,0.1135420886746268
NDP,0.0015434047609323071,0.01827377815181286,-0.009224906339334699,0.01963216586933945,0.030487838452131717,-0.010737867878950343,0.01680789107990579,0.033245706638397564,0.022344184121426785,-0.0070646302995826275,0.015232962325897758,0.02926051527270953,-0.014669333556618359,0.1488377045231849,0.08344999248223425,0.020821922096379595,0.03495128724789879
TNFSF18,-0.022158375269952603,-0.02259668472775633,-0.059097524944704556,,,-0.013633035697090165,-0.025847293257521577,-0.017004424561453155,,,0.050021170583645864,,0.011143861608235148,0.04885337587764866,-0.0006365677307908517,0.007338054034219781,
RTN4,-0.076045467093489,0.10305904092609385,0.055861605560153765,0.010930774618181508,-0.01310045342173312,0.061657693829974644,-0.022483110352336577,0.022626047666090464,0.03562184200838809,0.13124645237211532,-0.07176672117260437,-0.016884357684835472,0.02919116984830313,-0.08397843664252841,-0.01081739999352684,0.02521082237422441,-0.06786444201618928
HEBP1,-0.011666138451194406,-0.005906214714584277,0.053825060393627576,-0.04003618604794729,-0.023358003321539873,-0.027961394380408927,-0.022384175673593614,0.0019830715667858746,0.05250382649277837,0.05309024882918177,-0.020914557655124157,0.013171191400780984,0.05900289679564632,-0.035412946858928124,0.07085750393724437,0.06296708117926188,-0.01829319169744495
WNT7B,-0.019520834593215533,0.017462366790820395,-0.023518492562177792,0.037554621986013184,-0.008203238688638714,-0.029119765985360258,-0.03778196650993226,-0.04874160010324733,-0.01928212267941148,,,-0.025784426974667204,0.06829477826980516,-0.04430784191725526,-0.04507514976360412,0.00997690200124228,0.10214666247458969
PTMA,0.08748884447942334,-0.03130443634099148,0.03023338072193852,0.005747840270279177,0.023740071013937578,-0.009318304439887574,-0.01760209343411526,-0.021917213439793647,-0.048861912833528864,-0.10841509318785089,-0.03078572032087605,-0.12165191710676755,-0.05722826868991918,0.0035636228874406776,-0.12550364206336792,0.004901465424761264,-0.028681357604746858
FASLG,-0.01952084011170547,,,,,,,,,,,,,,0.009910108916750107,,
CEACAM1,0.006586068290610092,,-0.030672898628970484,-0.016655689060198597,-0.018762223407309986,,-0.03401356577515121,-0.02674390880244854,,,-0.024642242599338095,0.067423213686548,0.06112791746476909,,0.02926031501778427,,
PDAP1,-0.07064148737380765,-0.0550761171492474,0.005713562317853739,0.006338204266673704,-0.031827336016431555,0.03225524283142069,-0.012664956305710353,0.029043343016730217,-0.018953199259099766,0.008764343521349359,-0.051823811013068946,0.07778848071465681,0.005173779215556636,0.11235744589725703,0.04159935457213005,-0.04627510503257061,0.1363448048825366
QDPR,0.027267030046746417,-0.009293683407482581,0.03464633262028002,0.0043669965294047194,-0.00979377488321827,-0.011084129144923021,0.03582479078554745,0.0008547089293870434,0.04460286803051463,-0.035617621745196004,0.02718716782811059,-0.04351714920053882,0.07371159790503537,0.02105815899346446,0.047779304258280114,0.044693312080470636,0.07750511669268181
POMC,0.09605743920678704,-0.028752210194866866,-0.035800541839862934,0.0010511016894450842,-0.0269019207733949,-0.03596669782151198,0.031936033277380496,-0.01973058958289074,0.050708196491095044,-0.008643742331792211,0.08274932318959137,-0.07191368682272875,0.06649763046340064,,-0.03689185817693942,0.0011203510482776977,-0.04008182216548974
CCL18,,0.04844230163755273,,,,,,,,-0.0977396827854585,,-0.03958804827468834,,,,,
CCL17,,,,0.0782860085883394,,,,0.0315130986466399,-0.00022616496925426447,,,,-0.03495749090579425,,0.13366343243182777,,
VEGFD,,0.00038087004203286347,0.05589864777632607,-0.01638702329348731,0.06199380385958116,,-0.0018832816610157817,-0.022595147044882417,0.016019431934863312,-0.025564041114850708,-0.04528383281767691,,-0.036869363299857794,,,,
TNFSF13,,,,-0.021005570995751534,,-0.013221200614500314,,,,,,,0.016516700558668076,,-0.023639110323233882,0.002647468112112864,
WNT5A,-0.016256280094379703,0.051300809347588246,0.045450966107268564,-0.011301449292983977,0.08981079900882127,-0.03567194572294566,0.03942334250469585,-0.03429907249532515,-0.02176953416713616,0.09735962702709214,-0.06406636666138658,0.10277418773020433,0.012228565641932454,-0.0687894574447967,-0.008387923926501489,-0.003549305190829443,-0.0452366072971046
CXCL8,,-0.024996211774381303,-0.008579218173391894,-0.03348740546569684,-0.0606607400168568,0.02151712298669967,-0.02069691073811859,0.004744568739751765,-0.01630225415094225,-0.03933871879610849,0.01101945263571943,-0.06970099185790622,0.023176237316223012,-0.006829675090333519,0.059221502372263986,-0.0503405746423566,-0.011930769049028367
GRN,0.04938147287626995,0.09897567622450018,0.04120521864973977,0.005500934187803207,-0.00954526819233998,-0.03516692144504734,0.027809078187080685,0.0097476818381771,-0.048202942066555406,0.04243602439151486,-0.11867797839842602,0.09971005684759919,-0.04543174453469444,0.05008651822863644,-0.03684386869157426,0.06522848944278939,0.06277615576278624
MIA,-0.007270579257639954,0.02121344952525565,0.027653341864079386,-0.044298077263459856,-0.023782161422602355,-0.023906480567799305,-0.04116569783878592,0.027404904261109825,-0.01990927318509697,,0.003936435145011259,0.11598200655649901,-0.022808876691303756,,0.07860322396478664,0.02647258359185655,
COL4A4,0.03763172130787413,-0.0343716576364179,-0.02898455875906435,0.09261551506512289,0.08093946805293814,0.10642713781966884,-0.01715225852561416,-0.022141628665798,-0.01587217847956684,,-0.004689373560502893,-0.001993086810256981,-0.04363634221020039,,0.03332338303119611,-0.0045596875541616235,
TAC1,-0.01952082949121957,0.06762064156628007,0.0011882251924570507,0.04730843962656756,-0.03984237839332493,-0.010868313850022428,-0.004821928332842973,0.06991238904724226,0.04403024884581471,0.09924452145950549,,,,-0.021503311345460734,-0.014403615061462266,0.004180552852578593,0.022854713933652
RARRES2,-0.025466181870739287,0.0463858131182265,0.010686702168986026,-0.003877551742983584,-0.04428216346451516,-0.01217400944710435,0.023009650361643135,0.01582950117343352,0.059388872810768566,-0.06704741433042696,-0.09019345059780016,0.053129336162598635,0.06271475863434209,-0.04383475310083294,0.0981076930557291,-0.09689294856089929,0.1755759699590064
FGF7,-0.0027756330856060847,-0.0022876978919690355,0.008572842041060225,-0.009536506752015107,-0.0343702417896628,0.010838630637019623,-0.03197125567627391,0.012782190027348586,-0.018866381315174506,0.06938140816236926,0.04299054147772571,-0.0012993324353538355,0.02193461511902236,0.0734607781259676,0.10843282412371466,-0.06980134568125966,0.045404954837744115
HBEGF,0.028426694478354827,0.11232165151216258,0.032568441167709114,0.01612080356226982,-0.09529639332816138,-0.000678836349641161,0.030664848187729812,0.04677842682756029,-0.00441354586557295,-0.05664308140524735,-0.008045104706921168,0.08651253984342859,0.03462701840336429,-0.04946367276197758,-0.05245783735766073,0.011793342626802794,0.07205086032611667
CSF3,,-0.01608664957811863,,-0.0019963502623191014,-0.05980677917599823,,-0.01814675938011902,,,,,,,-0.01336225556427117,-0.023188264410547783,0.020090307687493255,
PI3,,0.06016619701838651,,-0.04369672311844365,-0.04791724293488973,,-0.020433490573312993,,,,,,0.03640399234341389,,-0.015841047474055327,-7.025918698379822e-05,
PCSK1N,0.013185941048029146,0.08440511091012533,-0.018325563681417283,0.04655488900377817,0.022466512945693583,0.0025563770813664256,-0.0016170205012329601,-0.012236732010143138,0.018578066044570806,0.09853077318111904,0.06587294812793952,0.10879718336958107,-0.006454386551209508,0.003665025663889175,0.11634656236931516,0.03762983828508518,-0.03315628594996722
NTS,,,,,-0.014279371859457681,-0.015356574933579248,0.03036966876974402,-0.025294236951228996,0.054487879517559526,-0.0357331363083743,,,,,0.055750048126331817,,
SFRP1,0.003992646471254594,-0.01816308075173459,0.0032388245776035153,-0.026571132667500025,-0.020478563703253867,-0.046737058333978614,-0.02425549885244134,0.03295912202411576,0.07213302039266552,-0.02812287634756225,0.08102589147160418,0.07195288359006576,-0.020312034933382635,0.055847365801440944,0.016427005752330626,-0.021097121259166834,0.12680580800596444
CXCL13,,,0.06694329025663255,,0.054711959635154905,,,,,,,,,,,-0.028987829464978188,
MICA,0.012889083794624449,-0.005305833766912229,0.014136249093357487,-0.05972744771613308,0.04757987402537039,-0.020115864185625516,0.07134652714416027,0.09312023194248982,0.07202723379905857,-0.05326714910171964,0.011938679733280354,-0.026965682406459097,0.00048658835774704237,0.04293820355725457,0.04333098688924956,0.002146062822656999,0.11013742913447466
TG,0.03763171282742084,0.014110957223833872,0.0003395702304391397,0.0143937645479364,-0.015467660077922689,-0.017725535670359564,-0.02190151501798239,-0.008431448179283324,0.015182647294729118,,-0.07627207077545965,-0.02900345726700994,,,-0.00868668388084803,0.03257527476856332,
ADA,-0.029549581900306914,0.09288158257965745,0.05517122078461929,-0.018839441077910656,-0.013491912069254819,-0.03462857508527633,0.10778638451609278,0.00809337578455984,0.022320892460805375,-0.015091473624396012,0.02793937875833213,0.08981898859678039,-0.04864604432773115,0.05846536944473672,0.0004820914144576261,0.03233901520057504,0.0282761196082924
LAMC3,-0.005942871125630806,0.0475574388324364,0.006711243632204059,-0.015508701151661704,0.012446150364940019,-0.03053459238164661,-0.014894772218526331,0.0205994059196638,-0.01091095720176639,-0.015880744277937037,-0.0794447586069678,0.07631737864496488,0.011042026787063838,-0.009979416030278025,-0.0040837895731285065,0.07624210657663459,-0.002235949100895031
CCL7,,,,-0.02073159015813516,-0.026906784152872613,,,,,,,,,,-0.007515930302703289,-0.030992248540679338,
NGF,,-0.019802473352523886,,-0.016799167737970657,0.024915314425498207,-0.016914915319944924,,,,-0.005866396308721578,0.08780060998498908,0.025741573290365864,,,0.011855434967889928,-0.02843975085183756,
TNFSF15,,0.16843052417081528,,0.01731296959487368,0.01645762352425962,-0.020538415507017585,,,,,-0.01628282547651673,0.0020146823267365487,,,-0.029689134772851306,-0.039552143172915756,
HMGB1,-0.014210897138943815,0.06880973516577277,0.04306295894727056,0.014930117312017054,0.042292820995380384,-0.0599067744277164,0.046593930022286977,0.004518496191020836,0.017040299071535977,-0.07136546790565278,0.06017546299575964,-0.066420375999878,0.012636318431971896,0.03413932478380344,-0.061565597530421616,0.04272180667328882,0.02786316800124849
ITGB3BP,-0.0039933172423086095,-0.024389206299326813,0.02258111867667971,0.020525453113121952,0.028921849937391143,-0.07734552567990396,0.03150302595693386,-0.02334473312556369,0.03850213643296906,-0.04084220932310277,-0.02638791936949646,0.10856984015008778,0.00451668963616945,-0.03157753956111651,0.01655163847261901,0.02557162886014671,0.10273589621255984
AANAT,,0.031613149311228446,,-0.021005573237636146,-0.017950635636128788,,0.006786440484423007,-0.019214644403066587,-0.019909274292501576,0.03255907226241306,,0.047756609116146174,0.05175194974256188,,0.00748816298524054,0.06846449303422719,
RELN,0.031190834628472948,0.06984048032779634,-0.026156020494726075,0.08465456475977112,0.03059389096486573,-0.05254612644134199,0.033799243020733574,-0.04230444446777041,-0.0193926851433709,-0.030285375485687382,-0.09266364390136282,,-0.02548241595800542,-0.07219935564606379,,0.051784802261434656,0.14132330503344162
