,MGH258,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.001516810262125577,,,,,,,,,,-0.014554042740993854,,-0.020566574781157265,,
BMP1,-0.0302700602460531,0.0283718599696989,0.03329408541370046,-0.03734083648937492,-0.026552019981496647,0.006131160834682547,0.06604143758590732,-5.575538963804508e-05,-0.0058499546263228435,0.022066638873884572,0.001872256470099532,0.04427057441075689,-0.08042906184465218,0.019229158329951743,-0.020457587723766466,-0.017447905056708343,-0.02425202333200037,-0.060070790701466384,0.0063079035961099775,0.12217313784941132,0.012477439906651528
NDP,0.023035712088338017,-0.010463845933579343,0.0626306592786082,0.01195431650240866,-0.022999587382383835,0.004281113543025097,0.006870538034710789,-0.017863611042124212,0.0017305329203596577,0.0014377273801638195,0.08433985054229007,0.04994377217543226,-0.08391063763356145,0.0590306870759095,0.029356080550605863,2.218377810234691e-05,0.004022398258962737,-0.008069460029075005,0.00690361997532639,0.022603358422710117,-0.01479186339159917
TNFSF18,0.08920464735127642,-0.00686377901118991,-0.0024573274682382035,-0.03776082785987831,,-0.017775831901627903,0.020804471973258062,-0.027373654761341255,,,,-0.02939601004856004,,0.1507915390703692,,,-0.015009327384846477,,-0.00911882174446166,-0.041089029251963644,
IL36G,,,,,,,,,,,-0.020358817651414236,,,,,,,,,,
RTN4,-0.033091622946239206,0.0038223944521378586,0.027841781353529754,-0.012269101313320999,-0.046924053724434193,0.04391051577394523,-0.155754863418858,-0.023676790096198497,-0.021364759075769072,-0.010585219524891444,-0.03689547109180513,-0.006053282716506959,-0.08297071506191114,0.06763351064575825,-0.03308896244558647,-0.06005721625132369,0.0031628535769738196,0.024608696548228448,-0.05667308132190797,-0.05299436151535104,0.03324765240815864
HEBP1,-0.008523990436700208,0.0007953342291930183,0.0015043427799967203,0.005189472537140668,-0.003338689634263626,-0.029090592423973057,0.042350252104340305,-0.00812553686465436,-0.032081784769525265,0.012184644213150927,0.04042988620939974,0.010663712409594904,-0.027410757270645347,-0.07437803973100174,0.05530704714868456,0.015826689777911983,0.037422158922138515,0.08422051015054502,0.04670358045122898,0.01500254130517191,-0.047198572131401405
WNT7B,-0.021389024495605806,-0.012222870218428997,-0.007865375380302204,0.04669338133063397,0.0046808164692114405,-0.012601525740714659,-0.050410475986629115,-0.029064872087198556,-6.804277727839292e-05,0.024099217428486763,-0.0340672923524,0.0804141905934613,0.08963859832247359,,0.006366425152102326,-0.007965755426039665,-0.03138571778470492,0.05300967197514937,0.006500224985272004,-0.0036538793279464713,-0.0024903695201824627
PTMA,0.017358498279753845,0.0242202674721225,0.018718629318336344,0.026103929057138073,-0.018675442869673268,-0.012214323217114064,-0.0853054324011789,0.007091776789271422,-0.004570389065402241,0.13119315630116646,0.05051577373021796,0.03150913981513067,-0.04187605400881253,0.052086073095819314,-0.04807208116083157,-0.0021666582041885425,-0.04287665976238441,-0.02447825030812507,-0.002829596179216529,0.08047751036001649,-0.11890622295291191
FASLG,0.02128963033832747,,,,,,,,,,,,,,,,,,0.027678966919660722,,
CEACAM1,-0.02969885609798889,,0.021674555358630783,-0.018000958496398687,0.00919483691045392,,-0.020079983754719408,-0.023813692485843738,,,,,-0.036219957009199416,0.013555080762553864,-0.02511650114411689,-0.019200736039351456,-0.021566836457036206,0.0782826389058604,-0.024818099015119225,,
PDAP1,0.01768942283911837,0.012232703655671421,0.016427477437458704,0.05695541337466615,-0.02304417300321267,0.0065178633331026544,0.0904917938950191,0.02296678578518193,0.0018538040008285537,0.04155408722397121,-0.020861374113948814,0.04400555884762376,-0.04060206192959821,0.0053188287231114096,-0.006409332613322969,-0.006922333374261939,0.036816028338842226,-0.017716461144704904,-0.0017460477045387747,-0.057764054279779715,0.1032049164805723
QDPR,0.05811859162396477,0.00013883809781956063,0.04496110175712508,-0.01198229255029955,0.011135363125967947,0.01871217371424837,-0.11860644339795788,-0.016440717153044612,-0.02126793318512403,0.07492906942424854,-0.013149314701812163,-0.0625897024924658,-0.026282672149481004,-0.08285421498458262,-0.043055825588532014,0.05630753008821792,-0.01700926023391978,0.00024113382912076064,0.01603920514618474,-0.05594279346084358,-0.05719834829734513
POMC,-0.011385509097346369,0.08168358340512294,0.029266315091819973,-0.03198483132842312,0.03710055583189661,0.06059021534319386,-0.05146991077331718,-0.031762224327431865,-0.041334494873532066,0.003908443967565936,0.015894012519350787,-0.028548403678815257,0.08812448456535757,-0.03950111668457136,0.0951345014929455,-0.0237157751212857,0.050625462940852226,-0.012333769819156558,-0.01540979990730386,0.09099091116087023,0.015529376062121611
CCL18,,-0.016718293076607625,0.008247308083765593,,,,,,,0.11594147912841991,,,-0.03477594303828749,,-0.036812392436114845,0.080994265316959,,-0.041925772646607615,,,
CCL17,,,,,-0.02962905189572266,,,-0.01758364805027451,-0.010483562298001249,,-0.028314991514805078,,,,-0.01781894188892386,-0.0277174678841427,-0.019188664639443485,,-0.016167584465478058,,
VEGFD,,-0.026129591195604665,0.0007553244602832565,0.07739584281463138,0.01054173136194522,,0.05909336174743149,0.0011069778643841245,0.0035374931388353955,-0.021563477197722836,0.0668156440280974,,-0.046982817353115006,-0.007325649454421196,,0.00172819899258595,-0.020238118626343168,,,,
TNFSF13,,,0.0073842616166870465,,-0.006624785185684944,-0.017238848696862093,,,,,,,,,0.08021104325866552,0.026345794985722523,-0.020577361288008463,0.06463498699839573,0.06867837360233277,0.0237845197831564,
WNT5A,-0.007603281796916113,0.07408416267195933,0.018903409866125705,0.016597684103185767,-0.03358221033645948,0.01086483009027463,0.035880414884893706,0.003767192568854707,0.012724497312667882,-0.001566361585250186,0.005859435786157447,-0.037474331989414564,0.06875419080678088,0.01865677194132006,0.008296333882032549,-0.06790789555236533,-0.05459960064090593,-0.012849470271955082,0.04488533163901013,0.06164757328277951,-0.08148458802913545
CXCL8,,0.006465903779401278,-0.002343629923804659,-0.024141449699183436,0.023740946819359794,-0.009640812857807459,0.0328802072501786,-0.05353787054841666,0.008050566375194508,0.06325652458587555,0.04136101246371037,,-0.0007306665712241746,0.12485065393735949,0.026401996882031077,-0.078551045351797,-0.027243720954289136,-0.05783093153698107,0.010276011677778116,0.047557468714125604,0.07889818098554416
GRN,-0.09411168890688211,-0.021778168661493357,-0.0028901084716510383,0.014649576622778954,-0.04684236048171806,0.006185494671679002,0.1065278826361637,0.06269765999631559,-0.00819560769416152,-0.01718094427654187,0.025615844912783042,0.023071793695920606,-0.11577939891387486,-0.02913405659919192,-0.00787228381992923,-0.047836264428100746,0.011572815903745448,-0.02013306946518455,0.0007081394372614706,0.0368918143197362,-0.04831916307539644
