,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.030657303453942276,,,,,-0.023507814996974123,,0.11399894187015062,
BMP1,0.03427511583864883,0.013978363367958881,0.012103187728310951,-0.01685886854314571,0.01205977609736424,0.03334243256759731,-0.1690838284132809,-0.006353552306887759,-0.010905141727990873,0.020243127121645794,-0.04218233193735505,0.054177685714270805,-0.018228739320456003,0.02840763638387773,0.06596655888230707
NDP,-0.06642773107020696,-0.028297902427556164,-0.024920115401318676,-0.012563528647005195,0.003024025087259303,0.03211607024231256,-0.02037482161411536,0.050776132140337646,0.025925972282973175,-0.011843794950138922,-0.05361297227470071,0.11635299351676574,-0.03699742053891737,0.08303371969376763,0.04517396960546113
TNFSF18,-0.027484303150480602,0.0643850959432557,0.042045398914100564,,,-0.0229310553345588,-0.04552517527163401,-0.015129094034822618,,,,-0.024243194669077508,0.08914694682268297,-0.04112626663150312,0.013104482003475419
IL36G,,,,,,,,,,,-0.015082907061405967,,,,
RTN4,0.007059497761963761,-0.04928262856183286,0.016516744891965165,-0.017909027644092048,0.05569360874574734,0.0601394531297345,0.23322851710593984,0.03280116858077666,0.010393990447816245,0.104506329703222,0.1143907777460108,-0.08086313103564816,0.04925332604739414,-0.019476486621042545,-0.025660950336658966
HEBP1,-0.019993280414836157,0.01609668497717408,-0.009760269990242463,0.04755214054222572,0.05005278739896039,-0.02673477462870376,-0.07596514460247004,-0.018684258358178718,-0.033478865695671045,-0.02083046744632358,-0.04785164730452655,0.05076599687805773,0.016548000982297154,0.10673787806555254,-0.04054171023075317
WNT7B,0.015087638156255323,0.028700018144517832,-0.029226391437530495,-0.023401679836527425,-0.022092734078173467,0.050271419557289705,0.2852894677762423,-0.01751387441762612,0.042027537670500964,,0.004026248554002022,0.032752470380406885,-0.033626407467199845,-0.036094112847488855,-0.04717297530014103
PTMA,0.007414255825212273,0.052055608130221635,-0.022676030797201055,-0.019488907710435644,-0.037065739625239166,-0.045131750213754276,0.022677035951402823,0.038948596245347696,0.008013266230118738,-0.1865570147872734,-0.09995403736581539,-0.016872264524991545,-0.06256294609500904,-0.06351904848987094,0.08601842936645587
FASLG,-0.024212817088160202,,,,,,,,,,,,,0.061435508619682645,
CEACAM1,0.04974478704280816,-0.01733250514458667,-0.007830537587439033,-0.02702223105263417,-0.021182888143148705,,-0.05317581807832215,0.06012410781089662,,,,-0.03483493971568364,,0.1020574944021673,
PDAP1,0.020076544528274766,-0.0016523035705892893,-0.0008392535743495168,0.022836467539673822,0.033766774768206366,0.022180517300469573,-0.11140043960248733,0.005966045122413662,0.05845915518666991,-0.0033637799365706022,-0.017413824537655758,0.06896704786184013,0.025159559715694,-0.012664324936501227,-0.0679619586722546
QDPR,-0.03217843244881623,-0.02444139042776475,0.008640362416179414,-0.028189953372914817,-0.009759728420610576,0.025550747697023063,-0.022385315639442457,0.03148579219231651,-0.0005695916293625812,-0.16689001986715205,-0.0077350907017724145,-0.029363194553432413,-0.043806414136084576,0.031103807604775543,-0.0036920998852484196
POMC,-0.03547371543095371,-0.004291872873955813,0.04151562481653254,-0.025164197943341262,-0.016450665053545612,0.019556494078015865,0.05680990198529244,-0.01755460433743346,0.03360237962908517,0.06404462922919386,0.09275593328325944,-0.04170328550193574,,0.03473135372311967,0.03470483785890064
CCL18,,-0.021629328775557188,,,,,,,,0.025995459331531984,,,,,
CCL17,,,,-0.01566241934044857,,,,0.07087451603700472,0.014142303888659743,,-0.013778663804180639,-0.03099369614412809,,-0.019166084609545574,
VEGFD,,-0.021629335643882128,0.009532006837852361,-0.01744966474184938,0.10499406489744179,,-0.0209535574952827,-0.020103244490118598,0.008074541034877022,-0.01788827268337316,-0.014767020770134505,0.09088190543856489,,,
TNFSF13,,0.004056729788026298,,-0.01080358632574583,,-0.022238339986531352,,,,,,0.013432627550835314,,-0.018079057101044817,-0.010706512817059139
WNT5A,-0.010901314696965937,-0.02832031763697953,0.007577019874575144,0.09176267789697778,0.0035045447179877895,-0.04354411931731509,-0.13819021469235226,0.02799643396130554,0.009112636323885207,0.07178511121363729,0.04673678638906356,-0.01676238116723962,-0.03965433992140341,0.0039679653657226826,0.03542360311661851
CXCL8,,-0.0022665881035139235,-0.03008065307717958,0.05734850641459749,0.04206143445786013,-0.019310689193682926,-0.038533702178140124,-0.0463343290021919,0.045908131869734116,-0.023183165708971474,-0.029675352346859793,-0.03280337907807744,-0.07332073096040806,-0.0056084018418807256,0.07484044188948119
GRN,-0.026755091646350943,0.00346567444835125,0.04923654032461625,0.007575250035509596,-1.1873508689659727e-05,-0.05209584975434973,-0.17750833203301658,0.0009092667458236446,0.014257470103382304,-0.09222110165658197,0.03216678800076409,0.06640053885206702,0.04187541239010582,0.03267760675894264,0.11148567238431235
MIA,-0.002434420461031533,0.07102281599486003,-0.028570400089130026,-0.03297980061779767,0.047093607183311265,-0.021726663548976295,-0.07881690114364069,0.052546673625532385,-0.022859540283721835,,-0.020224111681233285,-0.002627227395478559,,-0.031029525903591513,0.019178483863855005
COL4A4,-0.028041392504136484,0.031058115693646908,0.0010145475907517433,0.07685122694229296,-0.02730513619978071,-0.021158797998076025,-0.0048657694763022345,0.03774213961756716,-0.030611963998708216,,-0.019618138627105753,-0.02485539857342089,,-0.041555635174658684,0.03400317072929901
TAC1,-0.024212803914962683,-0.01875528865611418,-0.008604533190978267,0.06226045189844877,-0.02098870584351823,0.07597805238383439,0.2995613467496554,0.09277700735884907,-0.008022728388439045,0.11595356312661304,0.09060470876262551,,0.05669184282383757,-0.02519576710875968,-0.016223307023246404
RARRES2,0.033569693757179296,-0.061952490316427994,-0.023531342314373087,0.08505460445007196,-0.04399668003574141,0.00918767812010645,-0.1965751452662895,0.0379310728728541,-0.008073248536438414,-0.01160703622308114,-0.059412885881535316,-0.00951110491358538,-0.018817432383994376,-0.029061205837413125,-0.021492410769372795
FGF7,0.030479139340365207,,-0.018086507986874886,-0.006282680415170175,0.02710550961229921,0.037326763342498806,-0.05970684919254804,-0.038687292000852996,0.017024036324675723,0.00574362439347496,-0.018475427404368538,-0.01177127881399607,0.03644576098252797,0.025247931750087885,-0.005664545989225369
HBEGF,-0.035199980551801326,0.014723319023560711,0.03667696642352631,0.022136865803468884,0.012722489344344737,-0.019564031603470814,-0.07392629307452125,-0.02850024008262213,0.026073511583781763,-0.10580455346352126,0.049501575440426104,0.024275928331355872,-0.13526323800947876,0.0004902116718845906,0.10918421009924907
CSF3,,,,-0.018668238199900097,0.047809925467509555,,0.02091804344709631,,,,,,-0.030222496586515015,7.005896031829719e-05,0.07165071447138745
PI3,,-0.022754965802329552,,-0.012469609172277234,0.09457943474121873,,0.0065593658907590275,,,,,-0.02633419983207651,,-0.043842111915332285,-0.027452122944950825
PCSK1N,-0.03498413694424134,-0.016508773784925337,-0.017373406671779862,-0.016022878780763795,-0.018268008155546422,0.028384399922771145,0.14191458376517102,-0.01956510420384249,-0.02612530421979988,0.1341794216954157,0.10355573960698901,-0.010869282947729778,0.06912363002577564,0.016059752204502096,-0.014605300005316003
NTS,,,,,-0.003913355874134963,-0.02583008490371412,-0.039285295602472264,-0.022504665652827344,-0.034612427753939655,-0.030089276796686333,,,,-0.0011667143923998488,
SFRP1,0.019437368314841528,-0.02257686082582726,0.002902286566986584,-0.013666066283284628,0.08669830568929422,0.08181346107725924,-0.008171811585068037,0.01386775101757051,0.024545040672997558,-0.07280078797199585,-0.002401762732767719,-0.017546860894031922,-0.05085926932084956,-0.014228799370799808,-0.04151493911795115
CXCL13,,,0.01218870575176564,,0.039510351048854135,,,,,,,,,,0.06861970990830012
MICA,0.08308600613286814,-0.02024872965648503,0.023900930160464268,0.05083171737025567,0.047608496005081005,0.01770620635368365,-0.007846537770734435,0.01978964982181574,-0.01683479630573589,0.012362636040176105,-0.002653077001716581,0.06497807565533671,0.13237946719780108,0.03905761436579058,-0.013343251941876542
TG,0.04109867380451103,-0.03406094554449231,0.04359953607527879,0.12278195500481771,-0.012623559766626805,-0.017192594774170913,0.001146029972607802,0.02447170365885381,0.039763688610248295,,0.042878000756019156,,,0.13805145516461545,-0.029744936516330152
ADA,0.022189819725431905,0.0065497152576746,0.06877179824245515,-0.005467570884635936,-0.020898302772138343,0.024884004762149033,-0.1446828622518508,-0.0007512424823085551,0.005267227952884058,-0.10580138830551127,-0.0450742480731626,-0.0023199292544803783,-0.07965947923149226,0.0382330922733806,0.06384131195857413
LAMC3,0.0250983854744217,0.045015160295030346,-0.05423644964929307,5.395007174543307e-05,0.04233311195595688,-0.022516381014802935,-0.0508070851652133,-0.00781842471054854,0.014912119027265587,-0.011936170050966984,-0.0030612923117044034,0.09482138051448585,0.010636547928845302,0.004571645011098399,0.1508950257166973
CCL7,,-0.013758080298612627,,-0.010662672487631773,0.006494529635122459,,,,,,,,,0.03877423396278819,-0.03816474172885308
NGF,,-0.023621940659021918,,-0.012498487765625467,-0.02146215554041955,-0.028451246501453954,,,,0.00491291844920899,,,,0.03392658314508986,0.0701059416957938
TNFSF15,,,,-0.011873407319608963,-0.006182594936300359,0.00813142769467757,,,,,,,,0.008551044610497298,0.01903150245798605
HMGB1,-0.01111541253121389,0.0035152348660544945,-0.03142476563303351,-0.010614121391398976,-0.012475811420599836,-0.02370061460828365,-0.13955591279830032,0.06244857856455251,-0.01319385374873212,-0.06833835748104125,0.0008146350540230066,0.028688454516040116,-0.006650710728139887,-0.03439960479146709,-0.02011155930283036
ITGB3BP,0.09462493481496624,0.037492861294219124,0.021980466303496624,0.024764459700303335,0.046001596026180105,-0.04373674548828483,-0.13193976507672756,0.001396665388757005,0.003268647609366257,-0.019203734270972363,-0.043813283383440975,0.037126194133658155,0.029624894458128766,0.0067944427219830935,0.00603175384321682
AANAT,,-0.019960881367508374,,-0.010803587478792035,-0.020266590932415108,,-0.02883070112660082,-0.017095560097849617,0.029551008932734574,-0.028288363930378927,-0.01848275954988003,-0.03833820778810816,,-0.02237288746582543,-0.02031850479765631
RELN,0.037944383354980384,-0.026445447348303775,-0.029645740376389076,0.04206041227496217,0.0009634038962848854,0.03868566024952312,0.11337217367861799,0.04119272541624128,0.06519968653780533,0.06510063830979533,-0.02046201013412231,-0.036714272517975086,0.05936460657850305,,0.02828639645429118
IL15,-0.022594101049900554,-0.016997305348373615,0.03827399490110651,-0.03749893069285786,0.03276306280722227,-0.024581568816677942,-0.04470322397974116,0.025598767693577114,0.003572068417457522,-0.010457157183793777,0.0028702699561171663,-0.0030665839315561845,-0.031964883108710054,0.04266336537678967,-0.04407094307214042
UTS2,,,,,,,-0.07683329075252515,,,,,,,,
BSG,-0.011396336051713776,-0.054099440796182695,-0.025151141892113264,-0.009535604888935916,0.01651957104386885,-0.007038508701108413,0.13258398831680304,-0.055696131009772006,0.05948030010133706,0.15647105911249384,-0.03832461366750634,-0.014529983069210254,-0.023194262324086275,-0.04863513691204754,0.043855068910069
ADAMTS3,0.04398676123591303,-0.0349003938585923,0.054480769475968735,0.01580574852766504,0.007617191353412847,0.007406077339811041,-0.15231891547359833,-0.00404050060686362,-0.027749826399264176,0.045422385066609186,0.02237864427498878,0.04365494030179073,0.017582341717382148,0.04547767211089333,0.015551637446145312
CD34,0.06809317891922688,0.03125255292410982,0.02168361553618948,0.030313616035472453,0.04631353707962506,-3.458551594123123e-05,-0.04285739140963601,0.007304432956115925,-0.027766589258592943,-0.03400893793732769,0.006896342290413917,0.05561567134636509,-0.012578724104628215,-0.0024330597270845883,0.032287072829776435
CCL23,,,,,,,0.025100994218274948,,,,,,,,
PLAT,0.008756945322039368,0.01134501002764978,-0.04101192618888698,0.026187526087884987,0.040745091978548385,-0.04774295434449828,-0.1621956153860328,-0.05920536529916935,-0.0012347181164091155,0.07936147402440781,-0.054662175862094604,0.06549634924660426,-0.002781295612663616,0.03667089929813742,0.07038547399443712
NTF3,,,,,,,,,0.009625907873489199,,,,,,
LTA,,,-0.00707597213535671,-0.013666065643964567,,,,-0.016464806010225076,,,-0.017141907339268445,,,-0.030110534853939455,
CKLF,0.03532873382460782,0.06452270262506675,0.028233143815599986,0.02953654733996752,-0.02630715251232475,0.0006156864796674676,-0.15924219344552032,-0.03520814620456558,-0.03688174468081643,-0.13323730927131697,-0.044891819090322777,0.04969034821674529,-0.06552786361536586,0.04049288781345951,-0.04598321278725872
CD24,-0.010935594164691035,0.030296122804639874,0.015829552294745586,-0.017324190417311675,-0.001616250345601628,0.06451839999363106,0.027371826118133453,0.06324787495006587,0.014333106075217367,-0.004454899974219368,-0.025926175172696696,-0.04902660410421098,0.08914782415448189,-0.02984552822149055,-0.0491083268353271
HSP90AA1,-0.04924482400097941,-0.035693422507048524,-0.0009338036990178035,-0.00926911467923448,0.03851886776996303,0.09073135463578354,0.19522241318362032,-0.004069825637292642,-0.0018067145087453586,0.13193772345803734,0.08856735477465641,-0.007410889241340503,-0.018328554703637135,-0.07307540666506532,-0.07437631910385113
BMP4,0.15353940214662473,0.01813474642914706,-0.02377658469116015,-0.0021243798327790233,-0.039330593537902456,-0.014122731911928506,0.11465761608842459,-0.04722584497901646,-0.0374349226468055,0.0025808851554795743,-0.014606675545107717,-0.013657644946934977,,0.017851933925218333,0.005712871172628078
SCGB3A1,,-0.013758078922822981,,,0.006371064946647136,0.05399236214013548,,,0.04146935173994574,-0.0053553742510055935,0.12622038663894306,,,-0.005632291902964657,0.049791332086258064
IGFBP4,-0.012240453262240774,0.06104696238831878,-0.09660424564443183,-0.003424405679937693,-0.0008258956319382944,0.016882521623701838,-0.07085729847541905,-0.019715439329955904,-0.001279779612051169,-0.03125719133067895,-0.00653385141218319,0.006405446003189479,-0.004114195499541163,0.03808976122874856,0.16492299489741294
RSPO4,,,0.00999575684279357,-0.0071236048755955175,0.012277459105452863,,,-0.019149571741768314,0.15747044408046462,,-0.023778524161390504,,,0.1325162401914617,-0.025620829715525123
LEFTY2,0.12425117616558608,0.035554527696495905,0.007249066013550108,-0.02108247787426951,-0.0011682654678276641,-0.059268141041191456,-0.11055169362294302,-0.020332771207439034,-0.021143216442596226,0.004658224576647853,0.009928493613882828,0.09180648822691986,-0.006213804381303411,0.016722064670310854,0.04746765937135878
PF4,,-0.014271798387719678,0.046100548777256854,-0.009302971678284887,,,,,,,,,,0.06821933879937522,-0.020070245662850872
ANGPTL2,0.05606570873696915,-0.005244491543474175,0.006463725778297513,0.022246475153723855,-0.01803553719739731,-0.04232849072558222,-0.11583267625455743,0.029156821661643097,-0.003141577386113501,-0.08226701256641172,-0.0472677630479707,0.025240573765298896,-0.023295328516546917,0.03376959098743584,0.06265301168555902
LRIG2,0.039302548884783385,-0.03397021366733572,-0.027388129275359285,0.003012557534837938,0.011628686653813562,0.04285862913834136,-0.05163496001134769,0.020199689079265906,0.004353415471716515,0.03353883361795606,-0.025896677163598312,-0.020290639656073074,-0.03297870769423391,0.10556458358669872,-0.030236364930260103
ICOSLG,-0.050442508472495505,0.05197627712273943,0.052409795913850796,-0.02578923992467529,-0.04638611740728843,0.007851733243133402,-0.09796458618957515,-0.010828563620088683,0.06104209339025917,-0.03756840749934135,0.003397709819850966,-0.003401917142631862,-0.07915633548055298,0.07146975199967187,0.028683593058154166
WIF1,,-0.025679784695850447,,,-0.007741645925902716,0.06212308774748837,0.2932037873759622,-0.014777270942444923,0.01866363991774729,0.05046138695816614,0.14508208456846955,,0.030445803331451513,,-0.021672988939239846
NPPC,-0.04304781515712293,0.04087277672310075,,0.0870639407318782,-0.011150285570235851,0.07242867899907175,0.1141497284559623,0.07112670283604458,-0.005330694146664336,0.0715287865253289,-0.0484165689957356,0.062225781211150515,0.06621128635201287,,0.02224915296803701
LYZ,0.028393060272165253,0.008904082920384136,0.02527414842664905,0.019046401537898428,0.014329716088511232,0.03875992580520569,-0.12452337256719778,-0.007970626049230904,-0.02507539630423107,-0.0587026099846125,0.024927252785105485,-0.013461809112714765,0.17182892187531792,0.00919737731032165,0.02657738085039563
EREG,,,,,0.057185001847889765,,,,,0.043203262854091706,,,,-0.009921073307828288,0.08340636286347602
