,UKF296,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.013991683490891776,
BMP1,0.02602605576528451,0.0352451921728227,0.05164685223354735,0.02637799017608276,-0.04737614680857697,0.06132754369759777,0.10955285214082536
NDP,-0.03111216232233633,0.011489712729912192,0.05190175057178255,0.03290404061913992,-0.013988575015734642,0.09926229979734393,-0.0021813490886964356
TNFSF18,,0.09266568070563447,,,,0.00786773214224831,0.053409271338280065
RTN4,0.05526868072284666,-0.015264381453188963,0.02337201940926425,-0.09454277066127462,-0.012424042395716635,0.020248167886205194,-0.08537332530308071
HEBP1,-0.03686952109555235,0.04298527295550992,0.03075624437855101,0.05558331553868167,-0.0004943919621960215,0.055114396276342306,0.003041774717187595
WNT7B,0.03140209069334791,-0.02780628075997004,-0.016631228643297368,-0.03066975420902121,-0.03003123074396888,-0.03962072598617133,-0.055113740522100066
PTMA,-0.04659206847136099,-0.014448028930364362,-0.08300890802893918,-0.07713348808195102,-0.040458233003500606,-0.013025457025550842,0.0169237339301014
FASLG,,,,,,-0.019703630455408988,
CEACAM1,,,-0.021798925340955084,-0.019915043517238506,-0.019932164609996143,-0.02741470784214808,
PDAP1,-0.03932900177384254,0.050483820848269995,0.024205233831020013,-0.007007414276702909,-0.017673041886085532,0.03790898174046722,-0.0259617767037346
QDPR,0.03221543568895376,-0.00016494616093485668,-0.007962096827714897,0.04644676681886824,0.029670871780393536,0.01874771481405685,-0.047755283299386005
POMC,0.05057344304978544,-0.008676241269054029,0.013624328201944298,-0.018486836721789413,0.06297335733518641,-0.03302403437943117,-0.03364796339026502
CCL18,,,0.03555496525291698,0.10117410737938828,-0.011772134113039017,,
CCL17,-0.01562749069965984,,0.09726992401269377,-0.014051719661421038,,0.005365114180229585,
VEGFD,-0.011462953418095695,,,-0.019915043517238506,,,
TNFSF13,,,0.013710396902074685,0.06250871654297994,0.09708025189544577,0.00034017701186703247,-0.027574667560594148
