,UKF259,UKF296,ZH1019T1,ZH1019inf,ZH881T1,ZH916T1
IGFL3,,,,,,0.0066687403254416236
BMP1,-0.0074018555020223045,0.01937672031356189,0.06962827445952793,0.060624001349125566,-0.05925634728093263,-0.00271933159932796
NDP,0.011440130773677747,0.006617333500956174,0.08482746717018123,0.020099649471236644,0.016015159378679065,0.01592926269341262
TNFSF18,,,0.044951995069509545,,,-8.794690665031826e-05
RTN4,-0.03003544790930441,-0.08087440146453276,0.034178018394383884,-0.07814658189835058,0.0724796754992159,0.00415182513506083
HEBP1,-0.01570543117689037,-0.014826088937044648,0.05801919938137565,-0.014523770538098559,0.02637604101099985,0.014844581051177424
WNT7B,-0.02464809824552836,-0.03292455293269134,,-0.0057481761004956455,-0.0013961517755773705,-0.03650798542515849
PTMA,-0.04479858105672869,-0.005937057053763773,-0.1278014406850989,-0.1274060944897997,-0.026121723551122168,-0.0454587405288345
FASLG,,,,,,-0.014834674996985249
CEACAM1,0.01614851623015424,,-0.0898134832928778,0.009877757786498138,-0.01351765766452986,-0.02064027144114077
PDAP1,0.03486797451658168,0.029321728844660416,0.12507969381224018,-0.018299055219532505,-0.020806857797428326,0.028774728286969264
QDPR,0.02699246824003769,-0.09212930309609829,0.09106176079717472,-0.11150175753979916,0.05118714332433881,-0.03443501432388214
POMC,-0.026504491451475088,-0.028134932775768066,0.037782904499644894,0.003852824916314385,-0.02211311218353496,-0.019081805618698985
CCL18,,,,-0.005666484566868684,-0.011363670963576433,
CCL17,-0.016496629872846152,-0.044682506102179664,,,,-0.013445966659724634
VEGFD,0.04478723460421395,-0.018948559337089922,-0.05042909062305622,,,
TNFSF13,-0.011379006080810666,,,,0.08091428551587251,-0.021909080382785093
WNT5A,-0.014356076093303874,0.052870395192584324,0.014666301382789841,0.05172146673435341,0.00970131776980963,-0.0465606676443873
CXCL8,-0.0018061804629006357,-0.030764701547556932,-0.04586861693852064,0.06081695491408343,-0.022150058240906472,-0.028491140173573345
GRN,-0.00871288873643292,0.05163654548915733,0.08698927987149255,0.035161952150110136,-0.011898932983331655,0.024670028229757376
MIA,-0.018355507211367764,-0.015759164857990622,0.02012372657766963,-0.03951329784625739,-0.059384315780257366,-0.04586496254033517
COL4A4,0.02645888163702809,-0.024828179285299606,-0.048045271245344696,0.0568497539288895,-0.027242752328947763,0.07844760413278898
TAC1,-0.005455276042973399,0.04154991219662593,,,-0.007142206647684727,-0.017676090417645385
RARRES2,0.00529495089822651,-0.001225047487625151,-0.07820942794397709,0.1124519194186612,0.004661110551238262,-0.015826264068362305
FGF7,0.010142146737674952,0.022340797633322123,-0.003755112967427394,0.12547847892462716,0.08868852917960839,-0.0033117801945940183
HBEGF,0.02831788761563057,0.029030763374558802,-0.0021109078407309098,0.06379392647709056,-0.002936938588746021,-0.04685780471498385
CSF3,-0.005030413811385318,,,,-0.019379408756106446,0.04352432422137337
PI3,0.02921859830426297,,,,0.0020879057372890004,-0.002653260187551353
PCSK1N,-0.02056251462698214,-0.08534725606215078,0.0007225217175157319,0.0022477857856337095,0.014133692741943791,0.08485806028957323
NTS,,0.0010819759475727577,,,0.06277245407636839,-0.020963888466242166
SFRP1,-0.014393947218033817,-0.01775394285588553,0.028098297730366567,-0.01645157298832042,0.06871948379105695,-0.02047674080907966
CXCL13,,,,,-0.03161184845612294,
MICA,-0.0164704223451168,0.04342941228843175,-0.04060081583320424,0.02014490927828858,0.026960460451997903,0.008787861854266681
TG,-0.015533349542397741,0.04463786713532341,0.06952759980484492,-0.015364335135975698,-0.01594955120152648,-0.011881678314521422
ADA,0.06452732292814432,-0.03645303322690584,-0.002550782316437165,-0.03483870072782281,-0.014583729330841866,-0.045034268898755066
LAMC3,-0.029992377997537706,0.017342441446262978,0.027990552523936625,0.010051980028203398,0.019107063097132573,-0.010442812240936903
CCL7,-0.011230586901065785,,,,,-0.014834669721951889
NGF,-0.003191388208195737,,0.04755561949354542,-0.016514999422408392,-0.03327020987398998,0.11831293560331856
TNFSF15,-0.012505807795305884,,0.011048617748162305,0.07747978012646464,-0.012034280134144542,-0.039195765778561285
HMGB1,0.011913781741711772,-0.0055511064100387236,0.0032782811414968065,-0.047506738824353446,-0.010055522187509741,0.007688705063268439
ITGB3BP,0.05282096916142664,0.026724134260642653,0.009439857472178704,0.09157244592474122,-0.03629421155488617,-0.024809486774045833
AANAT,-0.011379007295270326,0.004903575431014075,,0.021659651823193578,,-0.015695699203865324
RELN,-0.01975140839232671,-0.013595073579059456,0.016589026999275846,,-0.014536106219093087,
IL15,-0.023989139576265493,0.02189453808925982,0.05396761177058632,0.0670515163379651,0.022262214688208652,-0.04245737158014006
BSG,0.023539200620037743,-0.008766926510794948,0.12916190407056471,0.15823037701517825,-0.08324544934507055,-0.016963572646058744
ADAMTS3,0.024768956640141674,0.07059149117369082,,0.020854170124054706,0.029875006686416756,-0.06346212226315769
CD34,-0.021865278240378212,0.007692392271566696,-0.030266379567554815,0.09401041164140583,-0.0061909152991059405,-0.05684973211916008
PLAT,-0.036097810876315785,0.09147155634555887,-0.062384209939846606,0.07280322198677408,-0.017190403146831856,0.01059783854603647
NTF3,,-0.0072242092387355605,,,0.01519135942768005,
LTA,0.02584369500072389,,,,,-0.021124045729762942
CKLF,0.008832337616970441,0.016896413518089317,-0.044525053214756305,0.05969689022075532,-0.008086570462716179,0.014659743692026652
CD24,-0.035874102574367434,0.1098986250455679,0.01853365719681759,0.09394003760618025,0.07963691858770877,0.08823745641991292
HSP90AA1,0.008797960232003053,0.0006469136202932522,0.05281459455836304,-0.12162027079011241,0.031092433114692796,-0.005283556535728405
BMP4,0.032892398716169224,0.08551249839563399,-0.002699072503300641,-0.013015236333189191,0.055301063788427,0.014104743159927593
