,MGH258,UKF243,UKF251,UKF255,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.02119096033785025,,,,,,,,,,,-0.028964102311027456,,-0.03467268844466669,
BMP1,0.0006734214952837982,0.05584963242403931,-0.07936931133991706,-0.03116722101860432,0.05423887192131673,0.22058755062470706,0.04634133408719108,-0.00809908152685848,-0.0460138719162912,-0.05679304324767428,0.05227834130329573,0.0026783625800615215,0.039809181929923936,-0.035925204529262754,0.10445654541270358,-0.07323540959627005,-0.019084507830820822,0.06713627384889939,0.015582901498020392,-0.05285786616109401
NDP,0.011020800713581936,0.03711768348090354,-0.0015626504879412766,0.011949584234141806,0.005379712774932481,-0.008380269368851405,-0.0012608161519360743,0.003025454566182153,-0.027713203984831524,-0.04114611434119409,-0.05851363755421124,0.06088633356423388,-0.04545965566729788,0.13163438739233674,0.02733880816258054,0.004112883882049397,0.005240094720410277,-0.01814694493194856,0.010577172515757263,-0.007800534797849235
TNFSF18,0.0013457019108302083,0.05674594759444734,-0.04274214858359472,,-0.015682682933143892,0.06263888355202606,0.06329301367706296,,,,,0.07427422220938901,,0.050747821166664916,,,-0.029870167466933856,,0.002888973214431896,0.019210666977789084
IL36G,,,,,,,,,,,-0.013552787509216431,,,,,,,,,
RTN4,-0.006157120401865729,0.027517376790361706,-0.045880915786167084,0.03298806663046022,-0.06619964273007073,-0.2400536078203001,-0.004470108131330852,0.0017977197277898624,0.07737448961215354,-0.028130483472758837,-0.01966044101401556,0.05789546244041541,0.043821788827267484,0.026941707645645855,-0.03096729218661003,0.007828608613490592,-0.045468505196458446,0.023130584522021224,0.014916418869818279,0.013339715706646531
HEBP1,-0.039834450088195236,-0.1002429584646437,0.008988255817893595,0.01992743239474401,0.03686943247422936,0.12109739199913908,-0.02766823906879578,0.02547887897231153,-0.0020002901506541207,-0.030142135181649043,-0.029128539534266248,-0.016197083879478064,0.007053251361121104,0.08511779481778252,-0.011123835866044263,-0.01407700301324684,-0.040079422665794395,-0.02063083784179019,0.0359434118051385,-0.032193732943748866
WNT7B,-0.018635837770224307,0.08575471281268658,-0.02655009774667306,-0.03394590990738452,-0.016402308351794685,-0.08339395578052768,-0.03616567847054281,-0.016668021335871464,,-0.023267573797625393,-0.014896075314828347,0.06363595046185423,0.0508375355639043,,0.012706105007669716,-0.03583566265648011,-0.054610727630165,-0.022067364173399634,0.050915062767704466,0.02536836499616633
PTMA,0.007308465430711862,-0.08067334205692793,0.005673833016739442,0.05029387162792084,0.0981459381084257,-0.19592785190412806,-0.022882213827941752,0.024677059141459273,-0.0543932943150647,-0.00838722919563348,0.017697613955183197,-0.05656201673567318,0.051282944693457316,0.017971714298247746,-0.09622898293567231,0.04530527222020974,-0.04611828187844235,-0.026856120095643025,-0.09556896166126701,-0.059601521259995224
FASLG,-0.018635843038527902,,,,,,,,,,,,,,,,,,-0.015492417327914013,
CEACAM1,0.011089840552755071,,-0.020375603139720838,,,0.06808190813037357,-0.03136584284177784,,,,,,-0.051307625690676234,-0.04330694396903178,-0.03620535052001379,0.06783729034185017,-0.007391047980856199,-0.014646430543019532,0.05080322188417157,
PDAP1,0.00883893212205729,0.03754980023952923,0.05366812297925723,-0.011613196121790568,0.05035855367318461,0.21075826268697037,-0.02435059909606894,0.00010107885112693665,-0.013227411115786125,0.011597673276466677,0.10196322988712614,-0.04285621504396339,0.06943695668056325,-0.019946220928204618,0.05166770212836028,-0.028603349859241928,0.011180801527771796,-0.0035041421317312366,-0.012821982769962194,0.0575881316406151
QDPR,-0.0038275876871292683,0.10219555878483888,-0.003353631374850221,-0.012467155698307461,0.03227919771509761,-0.2081923348663874,0.010814285815931735,0.03516778450159731,-0.009857430385859978,-0.01643918800070597,-0.05176391096532965,0.034469667816481864,-0.05872566629991927,-0.009317676642644386,-0.06480401428708842,0.046784320718581095,0.017319872724674563,-0.031023463112376238,0.01740576942226794,0.07941704947220929
POMC,-0.04086299807938425,0.019969020166010102,0.0012723835024841443,,-0.041374080624417456,-0.04488660027211131,-0.023140468231626247,0.03398914102668408,0.043974115655965824,-0.008628293254828305,-0.029036992499080944,-0.0076757909300694946,-0.008797844800420776,0.0027694808590046594,0.0372792342923641,-0.028625575504856955,0.059358641417106686,0.03690756185147122,0.00956348530493367,0.000502217963804316
CCL18,,0.02976240091141402,,,,,,,-0.059735400240288436,0.0341623004959434,,,0.007294743437608259,,-0.0256701887917546,-0.03674704904160918,,-0.017555017159446226,,
CCL17,,,,,,,-0.013298505326717782,-0.020630337901423754,,,0.014477386529029223,,,,,-0.014246135212793222,0.0559242577032561,,0.05493091734165239,
