,UKF243,UKF251,UKF255,UKF259,UKF275,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1
BMP1,-0.004366989085575105,-0.013428489305846078,0.0558467373068996,0.03927776037553559,0.01428385328701802,0.06422848972193784,0.10151265824685266,0.09471761116086941,0.024022807465420685,0.02634441317139511
NDP,0.0922496847472151,0.017337276702233385,0.013072071401805796,-0.0444570280204033,0.07032003966853173,0.05277788839878611,0.012936972161541159,0.06265682314143566,0.02903421941304673,-0.06050878499921622
TNFSF18,0.009785484594273034,-0.0296772391959636,,,-0.010950445533291699,,-0.06628075078808719,,,
IL36G,,,,,,-0.022883380890780517,,,,
RTN4,-0.1246103166326951,-0.02507917580865812,-0.035332572621881345,-0.0017723092807046086,-0.026959811449730354,-0.06350214300907385,-0.015595779632499947,-0.08094875988494563,-0.002777216717697394,-0.0032939755275712547
HEBP1,0.0941660698148513,0.016160449014909217,-0.02418827986832253,-0.056687098395623345,0.011780861434828573,-0.03517315387849903,0.04401036055250978,0.053944919954393336,0.0037375765819832396,-0.024939207685254976
WNT7B,-0.07804573214915252,0.05372949719707031,-0.023632333277426882,-0.019092532607685456,-0.03138843276978746,-0.025151472711806594,,0.012850827029658764,0.059255800209593174,-0.04120823838345755
PTMA,-0.08608069838717339,0.06427445940943888,-0.04171941910835219,0.0016776282696529656,-0.03958707408549662,0.025150964272603164,-0.016652445134420504,-0.12352948704151252,-0.006723918323443955,0.03749312909199997
CEACAM1,,-0.014147432175920486,,0.0034323815448304876,-0.017222442055016902,,0.07422940493644381,0.05717945828386286,0.06132906485421946,-0.02735050713537578
PDAP1,0.045182031952726014,0.004420453874649856,-0.01080878644218645,0.07565423876498106,0.035774231308925104,0.049094158612650804,-0.1477800249968375,-0.007642806822610349,0.026115122796371567,0.023378851105371853
QDPR,-0.01410428966798681,-0.020589867002169193,-0.006216041683052332,0.02610634200503331,-0.003174068428136297,-0.05001349216221832,0.0030006500035617387,-0.1100221305370303,0.07789683248192816,-0.018458834578967537
POMC,0.010943539675818795,-0.011489560027060296,,0.06583049691204992,-0.012706031055996745,0.02999728217369798,0.057319645126592704,0.01576650943084166,0.05968045465831485,0.04016063442175147
CCL18,-0.04986809262262475,,,,,,,-0.016279787894366522,-0.061749699636476967,-0.02441539921593979
CCL17,,,,-0.0046438639466142885,0.0272132341980013,0.011866298890517537,,,0.03418812168353299,
VEGFD,0.04008253010799275,-0.02026335820165647,,-0.02152515144703332,-0.01455073802336051,-0.0073151674517157395,0.13315644284011482,,-0.027974783159351646,
TNFSF13,,,,-0.013326836662658475,,,,,0.025465343802777606,0.05836300590796754
WNT5A,-0.011851889236843728,0.04608314052635421,-0.03144458633878148,-0.050555515354578466,0.006530061773028627,0.01305478519334256,-0.0804615094732272,0.043368475566300406,-0.008803718825571395,0.030127407469608312
CXCL8,-0.05848645452724255,-0.01897340757248692,-0.009679323958521334,-0.019365277577750757,0.030680107667507176,0.009245138903784958,-0.01652791546055552,-0.1115452027897322,-0.11774828146475955,0.01438392278210877
GRN,-0.0009677333253453555,-0.027755730395077376,0.005038517678514773,-0.001040001352280499,-0.01577162136685217,0.02518541842049603,0.008882430015223097,0.15484520204819424,-0.006020434101002556,0.018773926236110353
MIA,0.06561080797899141,0.017488359112723742,0.026070927773956865,0.013700229939077022,0.015447716225775293,-0.018959974806592325,0.08978069853909694,0.039568673002564676,0.061468617111229924,0.053448004877934066
COL4A4,0.01816387853924696,0.06898175544135356,0.13256724154253227,0.04524018903074138,-0.014258682959070455,0.004823644724959825,0.03188836326666368,-0.06864326051011958,-0.024934208087954154,0.0825702295880784
TAC1,-0.02504239863879278,0.008081771398780411,-0.05865436499001386,-0.020107124236207842,0.0004472202520035307,-0.024956323187915096,,,,-0.04718741648916364
RARRES2,-0.06756406102160126,-0.008155309120485189,-0.005482118223885925,-0.017047021964451223,-0.013511149275840843,0.04660895609903336,-0.005144195125799801,0.0165867395444665,-0.03645447788362348,0.015649802589229305
FGF7,0.007811130351121689,0.03419685989412953,0.04015570943139213,-5.81745951175863e-05,-0.012860300970216386,-0.015413593512042429,0.0478732708893734,0.09607447383268133,0.013192169977198773,0.05184942953659973
EFNA2,,,,,,,,,-0.010041634172161666,
HBEGF,0.04207547153675632,0.0032394270529344507,0.014173779369363005,0.06060412435938395,0.028070201791393776,0.029688134167949014,0.040881314405171565,0.03782542911885495,-0.0012911898969947767,0.02384471944441212
CSF3,-0.0343790971495036,,-0.02714930188747173,0.040845886450837116,,,,,-0.06014443497726355,-0.0392106880213472
PI3,0.017636618264896584,,0.0003874977880070007,0.0393463715280846,,,,,-0.111244116203036,-0.03601319709392278
PCSK1N,0.01080170424076256,0.021290470337159067,-0.004734833043134317,0.017108552258920467,0.02171980613348586,-0.048075548491022115,0.010353537696167989,0.03242777534137981,-0.04645073199884617,-0.031535374030147494
NTS,,,,,0.10368224140449357,,,,-0.006491385432214589,-0.002386030343486422
SFRP1,0.025296189981927238,-0.03146174212522441,,-0.016857868090004387,0.008043615256767424,-0.017544991739341962,-0.0011843214445891516,0.03582383618541908,0.0007471233596165014,0.03155226125324638
CXCL13,,0.03206606462105399,-0.01971360555151122,,,,,,-0.024380918937043257,-0.03193327329284421
MICA,-0.08416434945626312,-0.021293469796956715,0.0642869561541644,-0.003554463700875026,0.03932733885550858,0.06333433211070207,0.054686642516213066,0.010920733936703064,0.011930121776140274,0.025241880381948637
TG,0.024616683303899503,0.11423896271191222,,-0.018192310532693517,-0.013759250756657744,-0.01036263963484332,0.13775987027356026,0.09947480798354331,0.022637132120869947,0.025444107384078617
ADA,0.006580613927870838,0.054559156901295314,-0.0002664512211702316,-0.022098817277498756,0.015744726462561757,0.04061133379887934,-0.07413433777543844,0.06277365662511031,0.027503952951930907,0.10202621217232209
LAMC3,0.01752024367450173,0.051508935967847135,0.01904117500651314,-0.029335398499497917,0.010311617977961299,0.012628435583604889,0.024471164463684473,0.14188251561034942,0.0037516172114972204,0.06549907345457898
CCL7,,,,0.009006006337806695,,,,,,
NGF,0.004618265355834865,,,-0.030136908665940074,,,0.010167050519046563,-0.03845203350915561,-0.026230769642748026,0.05148607473738347
TNFSF15,-0.011166740045503902,,,-0.014646521553732148,,,-0.013911816757710175,0.053142566299494834,,-0.008336412951253877
HMGB1,0.0011857677720420949,0.036685066511030845,0.0020334927004135033,0.014100713526184333,-0.05635605051895781,0.03334910551565311,-0.1687041028653261,-0.09447393068131014,0.004956850334490124,-0.015786835815143004
ITGB3BP,-0.023870118953507147,0.023013677504147165,-0.02922979400664838,0.014541757266547672,0.02742755308123933,-0.024935200087114816,0.0612809854759096,0.03274792378946218,0.026393004502055235,0.03373142155258792
AANAT,0.07415764445676491,,,-0.013326838085006386,-0.012373774614774019,-0.02804154563644114,,-0.06598614904874507,0.009599610687613006,
