,UKF248,UKF251,UKF259,UKF260,UKF269,UKF313,ZH1019T1,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,-0.015031584590455588,,,,,0.01779238205497321
BMP1,0.01846353714819517,-0.007300562079765467,-0.054283482465125585,0.07436358559721419,0.046953605080517574,-0.03111917856735465,0.061689702092332176,-0.05977478829375422,-0.06842606138141188,-0.012921009233351752
NDP,0.013138191298722662,0.045959384275734726,-0.03827459696251297,0.04417385821547408,-0.0414279029053165,0.05597791338850109,0.024837120182682276,0.03774993343078579,0.004677471155393712,0.027521669079100197
TNFSF18,0.06011479954156701,-0.026010531607400866,,,-0.022321451856291235,,0.1412093870766972,,,-0.0011336420080986283
RTN4,-0.04249378006013607,-0.004834470461954997,-0.021027826303794524,-0.046206992028324956,-0.0866425464309626,-0.06534726539651692,-0.050093343196752196,-0.04229369712744201,0.011075374340821923,0.025759072805086436
HEBP1,-0.02277168275006358,0.008117094068625593,0.02036918590686749,-0.05300828059309894,0.05467455516941374,0.023197721172086003,0.03483584792765004,0.043090096548673476,-0.07190621581409035,0.025490956633265123
WNT7B,0.0015900874401186581,-0.016156935940381832,-0.0127914306398067,0.1036980635044123,0.004713732545458769,-0.010008748005776953,,-0.00411312620701907,-0.01946367446481271,-0.045861801222355954
PTMA,0.023722667336126445,-0.02122777937560108,0.007270767812558142,-0.02314843584346411,-0.05811438345350304,0.05737657402491346,-0.006479864933126229,-0.035024663384825044,0.04809403409247592,-0.018961992724500675
FASLG,,,,,,,,,,0.07172097233964875
CEACAM1,-0.01580393313308426,-0.01239947655998234,-0.028461485971597412,-0.014777320781550952,-0.016184927406871247,,0.015491046135175665,-0.0007602873522083585,-0.012918323816147213,0.006702868172529349
PDAP1,0.05071925594501235,-0.015235576984051067,-0.015469862720634293,-0.08369546762869459,0.010551541585291572,-0.03940378883475147,0.05476024733525639,0.005271567934207794,0.08123931978327374,0.003933697774653951
QDPR,-0.037080325552144404,0.024451015902580763,0.036864068219529124,0.04513554187717595,-0.046284589502615124,-0.0207840867811111,0.038977300521763646,0.0415248029495256,-0.016694618080306003,0.08200069497390569
POMC,0.041132229636011035,-0.022031891602389667,0.01807928665265498,-0.01710990706299391,0.04444249312207189,0.013730827068147952,0.03507608485341805,-0.029199446938404663,-0.021132680739450436,0.028454203350491557
CCL18,0.05050969476117282,,,,,0.1193114763756851,,-0.009215460365775786,-0.044487422219642685,
CCL17,,,-0.016496629292791054,,,,,-0.029747132042345987,,-0.016890996394606988
VEGFD,-0.002778455329154688,0.000697458278157507,-0.018379066750330766,-0.014138103859097145,0.08356405973356043,0.0638361756282377,0.11255598178574786,0.05871946295634328,,
TNFSF13,0.03087355681671836,,-0.011379005680701644,,,,,-0.020039483261167588,-0.014506411826719958,-0.027522468790827453
WNT5A,-0.07084009355083147,-0.02857912479835981,0.022670940884468364,0.08033753671364026,0.03413201861149487,0.03391069489191609,0.1263969989224721,-0.007517723755420949,0.06620158783155115,0.023838853122342945
CXCL8,-0.025764665884745894,-0.016629188925073327,0.052726904343604226,-0.029207107385041974,0.03995853898309704,0.04701833421278185,0.02828049656350605,-0.008035409884588889,-0.049928942682129517,-0.009068386983682388
