,MGH258,UKF248,UKF296,ZH916bulk
BMP1,-0.021633164355056755,0.04659541133498254,0.015436710927502952,-0.0006480221570112936
NDP,0.013293269105944056,0.023876853763213354,0.02603104562865461,-0.02867904889126954
TNFSF18,-0.019832194390967773,0.002696991035941474,,-0.023592432261726002
RTN4,0.02159842279346307,0.023379280177991898,0.011983612450103638,0.016351035639878567
HEBP1,-0.07178242484942096,-0.0028919888968998077,0.031889786792388325,-0.01327304634363758
WNT7B,0.009452681441611223,-0.03674642317934705,-0.01172384155592785,0.007009244978623208
PTMA,0.00379427550848158,0.022907109337840174,0.02759073165948113,-0.061426971662673364
FASLG,0.14134987079901454,,,
CEACAM1,-0.02425939596500244,0.11107247411649467,,
PDAP1,-0.04999172883121917,-0.01395045771742648,0.012109590905746235,-0.06562448785362843
QDPR,-0.0069155045718776054,-0.05349282648396383,0.02136424144985414,0.02653770506689447
POMC,0.01528478399826871,0.05319032972884597,-0.004017290065082496,0.10223745629567735
CCL18,,-0.019721818518551773,,
CCL17,,,0.024959147163701907,
VEGFD,,-0.019721824781152864,-0.01064386879601685,
TNFSF13,,0.030872576196207292,,0.11677606972638035
WNT5A,-0.0012431523838571646,-0.007678177507784421,0.03625884517552647,-0.024791863149648537
CXCL8,,-0.026455184444262432,-0.009912033433652413,-0.06403359998022529
GRN,0.007038792934496437,0.018702845838282113,-0.005206606657701658,0.09416101841891678
MIA,-0.022868748111571018,0.0023787887721545644,-0.012105159177572664,0.13414823520010738
COL4A4,0.00314155327654176,-0.023685743805620017,-0.020335704726947953,-0.028684748380447662
TAC1,-0.017471537530451397,-0.014724068215762122,0.00012976733008319876,0.032183888257561064
RARRES2,0.01024185521225865,-0.02524933371911039,-0.03663492342855376,-0.09891267335979544
FGF7,-0.015349771276122567,,-0.026125720957763412,-0.0003443144712464327
HBEGF,0.02285427099566098,-0.003302046834409662,0.005716064685135737,-0.017471027354879362
CSF3,,,,-0.03017307330534261
PI3,,0.04396177428721798,,-0.06272089585255923
PCSK1N,-0.03186540084895043,0.03081563263739151,-0.012946606771173153,0.02862657976144286
NTS,,,0.014319182825783629,
SFRP1,-0.02542152843412241,0.030362614596459666,-0.014510829471811267,0.00589048619341764
CXCL13,,,,0.08107511738813146
