,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.030057523070873393,,,,,,,,,,-0.008022818198711899,,,-0.020953295746391376,
BMP1,-0.018202346404986997,-0.04986864053304117,-0.19557132331121604,0.0348197183804189,-0.08294225316773163,-0.11200576403273094,-0.008398312908577102,0.17350280664231305,0.04858422819112259,0.028887007457256707,-0.04065664736729361,0.08504277973234743,-0.16726502326864556,-0.021778960979816058,-0.03728885957581083,0.04340005692294928,0.08894155121421704,0.012669444074980923,-0.01843162529865515,-0.03900450826365179,0.022444095207724543,-0.014683283526937398
NDP,0.027870782099484036,-0.21597664124195468,-0.1405656864546026,-0.0171665817503004,-0.061645733738753906,-0.1730822843444723,-0.0844686386633225,0.0515113516858929,-0.0872753731449365,0.07244804813363576,-0.03929745618106557,0.034755753338776486,-0.2304079409250706,-0.020227916537240622,0.05464342750692484,0.05658635563065549,-0.01622133100570468,0.004034511711596685,-0.03757501930553804,0.08839111520776038,0.0020765735468384057,-0.1512188733930967
TNFSF18,-0.021153801712839797,-0.014059220728413433,-0.09309080538629179,-0.03920576131331843,,,,0.056432788691332926,-0.0312565642143071,,,,,-0.04878361957209217,,,,0.024885988649108688,,0.09975242378270496,-0.006710665463334849,0.051383176837686804
IL36G,,,,,,,,,,,,0.01348460459165702,,,,,,,,,,
RTN4,-0.02016734438443123,-0.010395252116173212,0.02669464933330694,0.008799984689959508,-0.0629006951912901,-0.07333604336117647,0.008111596306770323,-0.17471842497170129,-0.10886339088292799,-0.11961558395814775,-0.012083622968083208,-0.1038115010721643,-0.024568745332421538,-0.10040759528250245,-0.05506761364512149,-0.08242217876132052,-0.14711199730848917,-0.0204477257389017,-0.026347497054933798,0.06497835782431446,0.029018076669327115,-0.14880388648992526
HEBP1,-0.00859629517770278,0.00936835370145522,0.02544806402782269,-0.0172285838312031,0.13050272706942928,0.08147316794875328,0.004255561391286702,0.05869970464774223,0.053556653296117925,-0.0077125877264727725,-0.02871394879363318,0.03823769337632863,0.08557859674520268,-0.05864777308142885,-0.03905840949559776,0.058177846773844286,0.05548981031014428,0.04072952047742776,0.01824890473789939,0.025247385373197147,0.021978703312904947,0.07222266923437146
WNT7B,0.1629047949899777,-0.12683197018488543,-0.037729652510260246,-0.028708478326417444,-0.023132139528768175,0.12806117996876068,-0.05769527974133365,-0.02791707792024576,0.018692673652419948,,-0.015463378821876773,-0.038889077512910805,0.2611076036109731,,-0.04322922113327692,0.0011148127619781153,0.023155981830585627,-0.0014365817363942318,-0.031760723512782016,-0.03164194151150741,0.025930934443047206,0.04625802537676411
PTMA,0.028067408625875173,0.2813563587292596,-0.2896020988213432,-0.048567786106960956,-0.1538250644462022,0.16539021087478697,0.189170535385784,-0.10126042304365616,0.08486670328514159,0.14918690473577104,-0.045644426355887696,0.06505779713923504,-0.09934880697900941,0.018232730471535032,0.018517960504433974,-0.03327844268819553,0.01236224580152867,0.03431921083810806,-0.006835232383477076,0.09330201987176667,0.06903035568866353,0.236114604765825
FASLG,0.16177374644421283,,,,,,,,,,,,,,,,,,,,0.06792860464317825,
CEACAM1,0.01022697515756419,,0.023231917792258652,0.03987939629215416,,-0.028453823400895542,-0.03241516506176344,0.02590073289172542,0.02294113423957107,,,,0.002160567981092679,0.04157991085822734,-0.03876865792981136,-0.029562598660333873,0.013559517484654605,-0.04068263941373626,-0.02776442916796023,,0.023438226096545015,
PDAP1,0.009686371437734176,-0.0180859834378394,-0.14267219406537518,0.008325646100941322,0.053984082982227614,0.0063343090069721926,0.05996932651109483,0.17683498571217193,-0.04199817614561005,0.007626789919961285,-0.05918145046106319,-0.023729759726055965,-0.1523836328077113,0.025811198440805448,0.03231062942617031,-0.015453683815445325,-0.011670474973557037,-0.04323515461034642,0.0383590775571346,-0.048042253145355804,0.020765828575168625,0.06365367720918319
QDPR,-0.01998731302219281,-0.16385180852655537,-0.17398363771787656,0.010701104972361415,-0.04449784413789273,-0.008836694487962017,-0.12387239222673913,-0.18049870577767035,-0.1423913376167646,0.07044743875265104,-0.09231406319816635,-0.1247193424806852,-0.18926963137257669,-0.00440841558196843,-0.08508023018175688,-0.08589059692559288,-0.08328831789900987,-0.01552410911709698,-0.01541876312204563,-0.07545977426831935,0.009369948025500294,-0.18922770538043096
POMC,0.010381469573941825,-0.09787612857871991,-0.024278004418446165,-0.022227191062883768,,0.0343077647483651,-0.03836351742751755,-0.012524269061885028,-0.028431256146559482,-0.003135733093645078,0.10702543357773173,-0.020162907434903808,0.07074855856626373,-0.004178182637008686,-0.020312312727205704,-0.017057253016527527,-0.07018686141710548,0.01624772189128443,-0.03688607769468827,,-0.019104764464267926,-0.00496359667450013
CCL18,,0.04525407043517043,0.15326435782499634,,,,,,,0.05045951859073529,0.038316951693900585,,-0.09695436519410743,,-0.027487615890117688,-0.0647419482976878,0.1629195468894621,,0.027790955573712292,,,
CCL17,,,,,,-0.02475401985336402,,,-0.0006201735603356298,,,-0.00979942863674162,,,,0.009666268381916927,0.08993445584035695,-0.036196570874580176,,,-0.02348291568529734,
VEGFD,,0.04655272913722537,-0.013567219833084884,-0.03155646329980402,,0.04092780407254893,-0.026189348993651284,-0.020876624990864602,-0.0011248248447150453,-0.02849741804556678,0.017322214956294914,-0.012892685277209435,0.009014833816290629,-0.042078025343454985,,,0.007636700660601442,0.001602917930995046,,,,
TNFSF13,,,-0.03091859484050275,,,-0.04566190230050425,,,,,,,,,,0.013721518468496357,0.011949305627973009,0.01627846089709357,-0.0072367229821579,,-0.044229115798807256,-0.024474870989602722
WNT5A,-0.017103072513207203,-0.016235285613803923,0.07161983443427189,-0.041036143279367276,-0.07269136625074799,-0.030191736556681434,-0.17200623577710392,0.13618605694678104,-0.04114078056752521,-0.020205744531932798,0.03394716540282876,0.07703001444680699,0.044269494104984236,-0.02937740825107762,0.05214339672784263,-0.014210062178875818,0.07879385626655261,0.07623733850302929,-0.01821133577216673,-0.06922992146434012,0.07240569367276505,0.2377455849156484
CXCL8,,0.32954131970047323,0.43017710404052933,-0.007984175134683014,0.23211606562698098,0.45825335210226203,0.3837332062899982,-0.009088225553483658,0.19290637831865273,-0.034104219610046276,0.13814500901220392,0.3310704514487017,0.5129056408874421,0.006868597819051907,0.3887694063954369,0.28436148276428647,0.33146714178393794,-0.01227028979372104,0.13652380652814464,0.15116577721211039,0.05409884462128043,0.39369918671006127
GRN,-0.06954967978237896,0.04125388591365653,-0.14662589987990873,0.04555915956020053,-0.25227743734391794,-0.07313909841274818,0.009197902934624275,0.11801232883564958,-0.056736833288888185,0.12147750307052604,-0.007275648679284026,-0.00974987152984702,0.04002870817629827,-0.032871624354034255,-0.08532032377502055,-0.0692056513707964,-0.029226215547549766,-0.10386172087897448,-0.09345822722345178,-0.00013092865510992143,0.01051178936887007,-0.04715935664371486
MIA,-0.005556257268986404,0.0828661361458402,0.02464387625040423,-0.016455897703078832,0.0422684106768451,0.11722498852544386,-0.003479556215091957,0.0658872281398609,0.033146104739140946,,-0.03364959243572799,0.03733384376487905,0.10629326475307117,0.06113145709476121,0.045691064510479634,0.03023994708098514,-0.016634808521212515,-0.04252378399876393,-0.002337244128695272,,-0.014548406695755679,0.008746786657622102
