,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.01439229696819046,,,,,,,,,,-0.04054966342897054,,,0.11703731571323503,
BMP1,0.024301612363497933,0.06022015501924568,0.02246883022197225,0.0039665580951791036,0.03107944758855602,0.009442868022451676,0.04212557435851476,0.012212474437857964,-0.02008731820375067,-0.026833101855317888,-0.013112475553225098,0.0877520756779692,0.08266590165711502,0.060048416882660785,0.04451258165995054,0.04835240266264999,0.013012741518626395,0.02156587471010868,0.12003724446041679,0.02357435757769215,0.007507914738701615,0.016777390130091108,0.07251067998521887
NDP,-0.008715408995625338,0.012831546483242839,0.009661988210458569,-0.02689110085087725,0.050195596972280355,-0.043233185008575134,0.048728394000475975,0.06960640558331681,0.00275753482878849,0.01905733932330554,-0.007266084663914472,-0.001871475027510678,0.0634642624878417,0.11847184401408198,0.07571882312059645,-0.030158063598024563,0.01672813030022787,0.07635555739265974,0.060033490471365955,0.007893098088581841,0.005014016155946731,0.10572744445851809,0.04452727487112867
TNFSF18,-0.03671927823813615,0.03300992202740539,-0.009173750107864219,0.002451642037556679,,,,-0.04134456891392803,0.01577522212941397,0.019813267225837494,,,,-0.03092058461480488,,,,,-0.028526184853276574,,0.03396927221789451,0.016826110702587976,0.029861494074663913
IL36G,,,,,,,,,,,,,0.042914567912861884,,,,,,,,,,
RTN4,0.018161581655410326,0.04562725637731517,-0.009837699802483809,0.004346656924443013,0.02339240020298044,-0.0018390132736405937,0.0968200039036453,0.09123429564303545,-0.02340615398469286,0.06866358020347582,0.037637637512756006,-0.062067738664246856,-0.007711049185133321,-0.014678320111263786,-0.04168300599832472,0.007656635862401789,0.056964960133565994,-0.014030046427160464,-0.10686331993822851,0.08332222937332467,0.057292672658729796,0.03876284163617753,0.03226319550873124
HEBP1,0.06794368907989462,-0.0005845605400127963,0.0043955849325360615,-0.000987583074774582,0.08884045786945928,-0.04775070309726057,-0.0018191897380770944,-0.0028985922727201388,0.004750025937773183,-0.04352729790743173,-0.016765673088660435,0.03024397895741754,0.04487793078018192,0.09988709754224652,-0.020409682986687123,-0.0609657292622406,0.014203589070555097,0.11795078938122325,0.04400150971597361,-0.006648847421887252,0.017812995307146157,-0.0020857128516949906,0.03891056847492398
WNT7B,-0.032348534048022196,0.08783334630849174,0.03258213348150515,-0.014766405047784386,0.05573847405606198,-0.013107597468657991,0.04235926521539442,0.06675997252371807,0.08632349697969145,-0.03556137074072056,0.056661457690430676,,-0.030317392531101287,0.05727575321563781,-0.05828545893032204,0.011014935850918183,0.0018041069728474037,0.09904261323988525,0.007615124545308526,-0.004140509469523245,0.06439386404587473,0.040513130802920426,0.056336685004188564
PTMA,-0.054734718269153784,-0.11790581247167259,-0.012325715529913859,-0.005163722811209857,-0.014967803490634712,0.010441225115077285,-0.0763434721748768,-0.10746370982492356,0.0019078886076983026,-0.04894505162323603,-0.049369337504155064,0.08356468411400221,0.027013517350744212,-0.03863150025441302,-0.11945842332647048,-0.0570373581057526,-0.10444710949863777,-0.08229770504101751,-0.048160719594133976,0.0829063924912538,-0.13917748927417434,-0.09716758500212228,-0.07686307688285758
FASLG,-0.01730966602964413,,,,,,,,,,,,,,,,,,,,,-0.010314173340849305,
