,UKF243,UKF255,UKF259,UKF266,UKF275,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.024203493968637087,,
BMP1,0.03853309334924787,0.0151725625522401,0.029357679164194687,-0.026225794642239404,0.062239933009807465,0.04788912718905043,0.06024445462341174,0.008574246615219596,0.011094211766424882,-0.015951256876232705,0.011117573398221262,-0.03285617428805491,0.002473506224999516
NDP,0.010903426068028976,0.008775511778054093,-0.011736147488850417,-0.05135123669141841,-0.004749043499922642,-0.0062174237077208495,0.036282819680837096,0.061292292278183724,0.060188297565648814,0.024364689089647503,-0.026937866231181922,0.027351869563700296,0.02209853417566172
TNFSF18,0.02620334460933545,,,-0.013800792995797926,0.04082738112363342,,0.06729556887077416,,,,-0.024960636113098563,,0.014874263459262004
RTN4,-0.0428758170927339,0.0626561431983335,-0.014725012974460206,0.03002776278366058,-0.04956780093086657,0.013025756894525006,-0.09049599306964545,-0.03549813244811048,0.07407520241494316,-0.012130939183633536,0.009785275909429354,0.06674775545379842,-0.0500775288501245
HEBP1,0.057995228510770214,0.061651023170435706,-0.008269969477989306,0.028463094331298944,0.05588309493441842,-0.025237907569145453,-0.12053710185669564,-0.032391681583922166,-0.03686411082249471,0.011031023324547352,0.06142568511174123,-0.012813624636444075,-0.026961971314624904
WNT7B,-0.03267866738967947,0.0131916178344647,0.01789517149799238,-0.005678018719985224,-0.030385701197088867,0.0018274228721487738,,0.11770637108404859,-0.0389023813497639,0.0315806032505042,-0.05219470937540874,-0.031243500550655365,-0.024427532411826207
PTMA,-0.08103530663890808,0.02100379631837684,7.272246983054853e-05,-0.009442130307642141,-0.03951992186956841,0.034302116314546015,-0.05405083905958042,-0.0483610857866556,0.02492365373555511,0.017083019670609576,0.02207088864163273,0.03466676498216768,0.030167685528112796
CEACAM1,,,0.09532967763355699,,0.00732361706895572,,0.01162142274508031,-0.0301540253874818,-0.021798923008346432,-0.018272024017021615,-0.005493826310765197,-0.003010816201714864,
PDAP1,0.0569745056677782,0.001359202010320363,0.04902499457238514,0.016182764300357304,0.0048837124607722495,0.055830150057961415,0.061899509976094995,0.028170517852472893,-0.007516258217938591,-0.01571390324642797,-0.045234483123384496,-0.00022415010670455906,0.060119432061333404
QDPR,0.05733114419190968,-0.026087898246508708,0.0035336568256136374,-0.0024230192176866445,0.028267384877386368,0.046100513926424086,-0.002280840674646635,-0.016895960473782865,0.03529212101194593,0.005996510361489968,-0.05390142021012085,0.029896633488486216,-0.03139770546887448
POMC,-0.0055533215658075605,,-0.028401714115917076,0.029717551171828987,0.003425865272598608,0.027337069334626762,0.02540263539220302,-0.0718100312103055,-0.05234070642926845,-0.04280482855251723,0.037879573524677836,0.10445263711599599,0.04946036981363414
CCL18,0.0925108340797041,,,,,-0.020537734852959847,,-0.02137969977946022,0.03805250129051074,0.024503160518449578,,-0.07141214795435692,
CCL17,,,-0.017677478037353474,,-0.023558239888944982,,,,-0.015465280776890142,0.0040169047863670305,-0.031910908682356624,,
VEGFD,0.06107434935761241,,0.0542060341727655,,-0.01432545678386729,-0.019128429620232913,-0.05363121168017963,,,-0.018272024017021615,-0.03365615937965904,,
