,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.04253966398598854,,,,,,,,,,-0.008568348853519973,,,-0.01776086456254924,,
BMP1,0.012440720006687086,-0.0387254105201434,-0.04139306834892559,0.0072948327340753415,-0.08370408333211926,-0.06925971714890672,-0.27813199491416624,-0.013074707543986095,-0.00698835255405784,-0.13688759711330634,0.0545559492859088,-0.08635811425006691,0.05324850584933224,-0.08149308786044238,-0.03011262101341545,-0.06273962340661682,0.012024566303327176,-0.11235942014855889,-0.006186504532211027,0.010648200943103994,-0.07739831785407363,-0.0569100549464908
NDP,-0.09694282779529018,0.01890624900656595,0.002482435051211692,0.03622282711787904,0.20750447827195154,0.016324063196933268,-0.14419564712316965,-0.000840180091094985,-0.0508668715478986,-0.036479836565860166,-0.032340340298105785,0.005091706960284502,0.06594546032091707,-0.12505638498562904,-0.015171935840166951,0.07344970101957499,-0.046800072363561894,0.08732350823043132,-0.07926421178988237,0.007690642121405351,0.012391231331704859,-0.03880971801214898
TNFSF18,-0.004389012841883576,-0.018263017160725592,-0.025289793548856965,,,-0.05849210936807276,-0.06317012394348438,-0.024798109008914902,,,,,0.1071524346485457,,,,-0.03826887398240108,,-0.046308560434654235,0.02503620247148755,-0.03146615286855303,
IL36G,,,,,,,,,,,,-0.016551537727090938,,,,,,,,,,
RTN4,0.2243103054155311,-0.0033342327542994206,0.0297827824298832,0.05754266973850282,0.21019173451938408,0.17930808333723805,0.38880332883077934,0.033575033755430125,0.09495417409555493,0.38306348598307466,0.05158425530030881,0.15174149605871906,-0.018028759731482717,0.019381497531634023,0.06478742712718205,-0.03566529314302212,-0.024150107216320556,-0.016028939937427288,-0.04731102141516159,-0.002387082939780082,0.3044680058197124,0.10158721047896077
HEBP1,-0.06851266426940693,0.008917062962791983,0.012476207867692556,-0.005560685460306306,-0.0389884011738642,-0.02479083479099706,-0.1157086622015528,-0.008472961302404452,-0.05406873620825444,-0.177990508301168,0.0624422565562678,0.005397800080779347,0.06494788040081843,0.09755499864192416,0.02968594268755572,0.05451752642629092,0.015936988940576956,-0.00108572741931729,-0.011302547482497418,0.03304061363815272,0.04636987463875356,-0.11833416780436373
WNT7B,0.2823122572901317,0.0028972233238658655,-0.015709235800397934,0.016687136825922464,0.019990294999660194,0.0513460746847091,0.2204639153993477,0.045167412455347895,0.03872276545952291,,0.03775283438176146,0.04153263862386211,0.04264821699822791,0.15849516974513345,0.03012281217910146,0.015372649307313966,-0.038587641276346764,0.0028848134958394866,0.034669749542253894,0.134367162297418,0.11553441571922507,0.1165855988145236
PTMA,0.03471197353052687,-0.012419567938275077,-0.011941675886397097,-0.020769951666588172,-0.20203216438208316,-0.19693917821578194,0.0537879514669105,-0.027855755146359008,-0.10238356281109788,-0.47287919494836106,0.09288265005438866,-0.09546200011870272,0.07478025249449428,-0.02743423795474692,0.03551441015749151,0.015356042451973664,-0.0229204888069226,-0.14104967711826524,-0.021567050782370742,-0.007532623552924816,-0.13451794864755795,-0.1978166552754802
FASLG,,,,,,,,,,,,,,,,,,,,0.08941992914853618,,
CEACAM1,,-0.00613062921118771,0.014803283655446671,0.023528009237280375,-0.033574280233150934,,-0.08312828520839043,0.01999326607059646,,,,,,-0.11378359571615193,-0.01818397664163286,-0.002667160673082373,0.01782037046952859,-0.00504150712478522,,-0.021432392121575543,,
