,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,-0.013794947670448351,,,,,,,,-0.0248823280807327,
BMP1,0.010316227839541448,0.049920901503682606,0.00786739531386193,0.019326007208575455,-0.031815282523388624,0.04493050089090352,0.03613434749879913,0.013377748963072809,-0.018934972965462333,0.0037845681260978495,0.029754768096550244
NDP,0.05724512770475749,0.0007522661184478263,0.02777484572017642,-0.0008481740610844837,0.016857966464231395,0.07707044685125099,0.05803620990388366,0.057856583749203425,0.0854050302260467,0.018889364500895456,-0.026706541234039736
TNFSF18,,0.016940746436487207,0.05845380000391031,,,,-0.024507771851444836,,,-0.0056209203246881025,
IL36G,,,,,,-0.018536726306237736,,,,,
RTN4,-0.01802542945219436,-0.04172874595218301,0.04002180145380888,0.008470947313456897,-0.0055190001655806165,-0.06961615679623788,0.08460809538503475,-0.013186906839097859,-0.016955423907887946,-0.09793028407531211,0.0659049416916094
HEBP1,-0.008602275415806267,-0.04021799036281885,-0.01802012580018966,0.01126430736930413,-0.05687466657483739,-0.0009629610222356726,-0.0623139109485051,-0.06068335742517465,0.008723284640123629,0.08269642364147016,-0.025804456707880122
WNT7B,-0.02334263310424251,-0.04351294106617622,0.03612467167042968,-0.010917753240109424,,-0.020373998408836677,0.027585742659036926,-0.017138878764704324,0.14945348949282053,-0.053658611621954476,-0.02452032304857383
PTMA,0.0015470094023871585,-0.0651986258759126,-0.04097185693003045,0.003428888847457858,-0.08819414413065706,-0.006456394428891902,0.08358834986882181,-0.09530244935757651,-0.0016182326217598498,-0.03368846710460098,0.011044356366141787
CEACAM1,-0.015610031656872131,-0.011838941642501377,-0.02379446152535836,,,,,0.05603784401164562,0.03287927707638828,0.03082759601561862,-0.027867140443353818
PDAP1,-0.03037044782135589,0.06606154168811318,0.029052005659112458,-0.07743398063473433,-0.02581303854217799,0.059724395919410846,0.052860846383009086,-0.043316166721851825,0.05117557377834735,-0.016435451373958077,-0.043141404375649284
QDPR,-0.03489844849588573,-0.0668022512216227,-0.011108939118543446,-0.0374742105487158,-0.04358082233852313,-0.03721000281162764,-0.055148036960103126,0.03182681489050215,-0.0009640807185434343,-0.057640816177270335,0.01582667346040948
POMC,-0.03141107503113529,0.047683545046941424,0.014485497366395882,0.011915450518045163,-0.013572785927601843,-0.014165598084095347,-0.0182866842281417,0.046635761421767175,0.08493442510432911,0.02332296739260468,0.005142259727853598
CCL18,,,,,-0.06302506807043125,,,-0.0160385547697319,-0.040241582176931405,,0.020526513647000734
CCL17,,,-0.004134507327620637,0.07135550438068763,,-0.016933825738229574,,0.09729265668214061,-0.023789035838343863,0.09348603464969386,
VEGFD,0.00972079033316456,0.010087937045806782,-0.006133638769997396,-0.009912035443387196,-0.03042254323764821,0.11087095350942437,,,-0.016479391251465327,-0.01985481691477773,
TNFSF13,,,,,,,,-0.029675553611857915,0.006030045891613287,0.052495042462293494,0.043888904076565455
WNT5A,-0.03864053925967113,0.011523937538574761,0.0059761887837393125,-0.0204926258240859,0.012448039356120018,0.028014803758785733,0.006234086171317904,0.0005933740414321493,0.03604096671179704,0.04923338127763711,-0.007179528243808301
CXCL8,-0.011363421573879377,-0.0031928014667667076,-0.009208253030905705,-0.009230518394511602,-0.06043520678824905,0.008854394076862563,,0.01840814307698009,-0.0761777946336093,-0.012793046188609209,-0.03638543730788781
GRN,0.07540460429175706,-0.008622822545886963,0.0893194904425975,0.04588374422567251,-0.028280174020625378,0.03908187091233881,0.027451940872132964,0.021921316679827097,-0.03339626375478903,0.09980468256996658,-0.04259745649040589
MIA,0.012428479753165094,0.0749678812691486,-0.03708712462909677,-0.01127285286162542,,0.03172721097459596,0.04517181080378858,0.062379727732177724,-0.04058531366924462,0.027006476563763034,0.026620081350275698
COL4A4,0.003800383910502259,-0.013593896996930446,-0.01969974304387647,0.04193499811268453,,-0.024110475844474996,,0.08955961257281841,-0.01123458718558009,-0.006387102697607286,0.018889979655007442
TAC1,-0.041931829039844125,-0.0005950191446540903,0.016556007546665925,-0.004156378905183862,-0.0074062977636439155,-0.042728809091151954,,,,,-0.01731890794710481
RARRES2,-0.025208548501251357,0.03036903309587161,-0.015773352894372254,-0.012689295079092115,-0.052225968146685814,0.048652471215616604,-0.047040199945139846,0.07724789826435308,-0.08448305071006913,0.03779939686196775,-0.08821172206459262
FGF7,-0.028595787969455205,-0.01757905676768539,0.0762033086464349,0.014499958674832603,-0.0441300721536451,0.07947346357833994,0.0003920262890214772,-0.04533331237417958,0.032768958150565554,0.053626958104541544,0.02493991087541981
EFNA2,,,,,,,,,-0.015662558532945237,,
HBEGF,0.0036319751421400636,-0.0213799632117349,-0.013436016780055881,0.032375385548844254,-0.02277417810510712,0.008891713796919118,0.09854265691124821,0.017062132844839817,-0.02831698810933358,-0.024076661626372783,-0.05779996598428882
CSF3,-0.03289380418397976,-0.014382081372726186,,,,,,0.023130203191215087,-0.07401600613571999,,0.020423364839739402
PI3,-0.03753396508535636,0.007662132930166676,,,,,,0.015441820369187299,-0.07817082037415923,0.08318449827051073,-0.0875300586300936
PCSK1N,-0.04530029288068294,-0.05905207088305143,-0.013990048011349503,-0.0488035386132474,0.08122053607098116,-0.05519551153848824,-0.06836460163546439,0.010752914127880006,-0.001493581758403572,0.014964179843084876,0.04943015305798243
NTS,0.12516393105807,-0.017677308047277417,-0.02250466647920264,-0.03746382953891003,-0.02739006145913248,,,-0.03607889348521182,-0.019081855391660654,,0.02792537602838303
SFRP1,-0.017038014139119453,-0.042064336932320104,0.01955125241124491,-0.013513118095871829,-0.04356206904963862,-0.018630318944312715,-0.03166743625563121,0.040102891435208406,-0.021405046441126948,-0.052863720612440865,-0.008299894201239982
CXCL13,-0.016884889597247377,,,,,,,0.005011801390655329,-0.040241577797520446,,-0.00481620266888972
MICA,0.040749553975549524,0.05733967993287058,-0.05129698482017446,0.00280260700168282,-0.019417027751702027,0.07350408245579278,0.09553456936426105,0.031012515243770657,0.033842675414388984,0.08451540518008305,-0.0009879373504911265
TG,0.01785964519892616,-0.017357885481178486,0.05255572417754301,0.04865834906849302,,-0.012444935505262827,-0.03140785399811403,-0.020549493495476228,0.04791409534965675,,-0.021712887489086355
ADA,-0.018054347834513877,0.06694690321083291,0.08848619091121163,-0.015882507349721485,-0.05839558950087603,0.0123689013775439,0.093531273622834,0.02387128231691759,-0.011191983318128543,0.09214418333792368,-0.004071623739160242
LAMC3,-0.02868355866674042,0.06025409923697688,0.008898107488787407,-0.019994440142539188,0.014815909585910643,0.021887608874022618,0.1793613812205011,-0.024412083723818548,-0.026827370367312368,0.0318613085569972,0.03282783729436155
CCL7,0.02774501046223716,,,,,,,0.053543402902964506,,,
NGF,-0.023894987825767905,,,,-0.027390079493670647,,,-0.026769766097282637,0.011182301300267216,,-0.02711213837586539
