,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.03021970865158478,,,,,,,,,,,0.025297865811861865,-0.03155197263946847,
BMP1,0.04036924836375389,0.08165287313591124,-0.02042977079345816,0.018801072906240907,0.04925852556521375,0.031083509054710287,0.011710102200518213,0.14379346135169693,0.07507581441338111,0.029817296697259247,0.0937303651675913,0.053568201220499954,0.011713839852132665,0.022453222208825476,0.09702095924782048,0.017391378265077233,0.031918232497842286,0.003962200848154105,-0.005252680770392932,-0.033211939733417656,0.006264416525285072
NDP,0.03328396958069579,0.03407643110576809,0.07063898454888304,0.02777986364746621,-0.036036783546287865,0.05341562788600427,0.05026842480381114,0.0114372357935441,0.036447972483506265,0.00950285109634448,0.02123195570914672,0.033281696234620003,0.03764260326317695,-0.07565640583013429,-0.044814267865758324,0.03327138615082259,0.004498739642333918,0.06122211795736313,0.04184909496290476,0.09838479586661317,0.07599467507545381
TNFSF18,0.09369812233181202,-0.027528054724094732,-0.021079024418349256,0.003174070172162835,,,0.03263454032340852,0.04710652604292069,-0.017004423320810785,,,,,,-0.03714095862599664,,,,0.06596532477834266,-0.045623137135855585,-0.002492184316666966
IL36G,,,,,,,,,,,,,-0.01912875235205538,,,,,,,,
RTN4,0.04214015381950204,0.060702721647911094,-0.04864853287880853,-0.027625568316965037,-0.038901640407511914,0.05854442205074327,0.08174231541980151,-0.07242870740817406,-0.013051958274798074,-0.020043123486956263,0.028674260278655373,-0.011834240654316082,-5.366842731926859e-05,-0.007298072429335888,0.040491399804122204,-0.020913037711636048,-0.05676212735943838,-0.017630903504283535,0.01351117714343262,-0.034956574398250735,-0.027373644235066597
HEBP1,-0.07235315199417564,0.04943800468637944,0.012498916793630507,0.041407541699089744,0.03190379218070144,0.052583613693601414,0.01371605214784876,0.05139641299943186,0.041181935760692276,0.009674153694941618,0.030757659287445366,0.010269247162710509,-0.02363222134750982,-0.11126315212865992,0.023085197841871602,0.004680321064635113,-0.00853175860226419,0.04229189843960058,-0.017692023574312613,0.03898751102952923,0.030276151374482606
WNT7B,-0.018408455224560367,0.09595214625729254,0.012180200763323955,-0.015480750617120726,-0.03455968389672082,0.07452001440044571,0.048813736832886014,-0.0700587608752572,-0.025953622914335357,0.01771745680890545,,0.007623887185104475,-0.02102470325910032,0.11085947454132328,,0.017082824490098545,0.014976206560660626,0.04077816466966454,0.043171858889844615,-0.029240249729173596,-0.06545017554020356
PTMA,0.06409294375197763,-0.04875678992439451,0.017415073175759604,0.015011529082803081,-0.03405949478435767,-0.05537515682400038,-0.1063554627279969,-0.1278126113577383,0.007126907807686057,0.005867721899942191,-0.027824444336593306,0.1032058128791182,0.01303759145040813,-0.11633511478560997,-0.0001598910030386182,-0.09144749348200484,-0.06790976366004639,-0.052768823915416124,0.03536798829274718,-0.065277291409288,-0.012988396044135528
FASLG,-0.018408460428583504,,,,,,,,,,,,,,,,,,,-0.027365015106100003,
