,UKF248,UKF266,UKF269,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,-0.0126448907473242,,,,,-0.018395375106345483
BMP1,0.001987158749152897,0.05248637153672344,-0.027552857429607794,-0.06092077055743032,0.021356307951474886,-0.024710397936236167,-0.04892462279026215,0.04750159124897091
NDP,0.04110261043050639,0.017773927936469147,-0.03764578254809363,0.039574163269408186,0.054424549720092856,0.01568423456490327,0.012735466676082649,0.011850284827043632
TNFSF18,0.0035447755632282856,-0.011239800654529378,-0.018777283149753736,,,,,-0.0045893509790726735
RTN4,0.03617969433665031,0.03547521749294747,-0.02182374815199021,-0.017019635828609925,0.011362143318970437,-0.0658282140023533,0.043706437148522036,-0.06681772279460653
HEBP1,0.01147494706086864,-0.02483835259805805,-0.021956431111632476,0.02859731828245342,0.006615964517520571,0.04168075935168489,0.06028120028948981,0.00918163757801196
WNT7B,0.040481085362285354,0.005994746163915195,0.06207476972193537,-0.012031755630836942,-0.035953948717676175,-0.02737079774434819,0.04465842894285394,0.023928730662408332
PTMA,-0.02208475329126333,-0.04040163910434933,-0.016606168360517964,0.06589827074528735,-0.01230860976257314,0.03338819820985305,-0.005232143550699233,-0.028376425633815643
FASLG,,,,,,,,-0.015954302554060534
CEACAM1,-0.01580393568753256,,0.05602783315946202,,0.040700828424886294,0.032882248117016816,0.0879455551072654,-0.022198068743455222
PDAP1,0.02961540277273862,0.0011885655246741038,0.009179127400150049,0.03657728399086408,0.01621291594685421,-0.013604204453395757,0.027088575298676556,0.030127042905713514
QDPR,0.017291561778328163,0.05123575353197046,-0.07379661200562736,0.011447954113624327,-0.016194864245579855,0.06649789977919607,-0.06343623573453089,-0.022795226116744366
POMC,0.010331664327063974,-0.002802225726591612,-0.0079562907172134,-0.032360648687683756,-0.03369919650045194,-0.035914914810080675,-0.023959635403177398,0.07218956788285973
CCL18,0.015005170645421022,,,,0.11903666473575869,0.10853977776675065,0.042905530611905336,
CCL17,,,,-0.01489194063348889,-0.018256548355487724,-0.03234923590765991,,-0.014460783284072838
VEGFD,0.048834361211584215,,-0.021183583914865776,-0.010923418549239346,,0.014940264002288407,,
TNFSF13,-0.01488272184950288,-0.010900261880209323,,,0.0526325116840073,-0.035162513446437685,-0.01644695922215449,0.0127700153675469
WNT5A,-0.00833140543722692,-0.04064230418189666,0.01389405366827589,-0.002105056970963659,-0.0013028572625383556,0.013348129205071927,0.0077130400682681325,0.05442297681702596
CXCL8,0.002534147666795122,-0.015504915542816465,0.010225754065300907,0.10138444192353142,-0.061482101270484465,-0.063800560594373,-0.030928988356084177,0.005086627754098777
GRN,0.037847246493105245,-0.03989860185000677,-0.017874263726156157,-0.03408320905243492,0.08852530066141809,-0.062008317736960465,-0.08157137932843754,0.06126004782533153
MIA,0.05972400476838315,-4.2389068384395847e-05,0.02892534132591948,-0.012423088149233406,0.043514549707540665,0.034957634362304105,-0.06249232653659952,-0.019469258631597146
COL4A4,0.03326748502935639,-0.010371117600916364,-0.012460601262358923,-0.02086980011528563,-0.010284405354775,0.009079746687397377,0.04650945003229288,0.03125760483014035
TAC1,0.052024669397286116,0.022202667370250485,0.021528006194477183,0.020716307037623324,,,-0.01043821781339133,-0.019010170061248773
RARRES2,0.005270353319163835,0.01429931676875824,0.0022336601655544622,0.037325150099112143,0.0009272494473449878,-0.05664438500644536,0.010545218564079991,-0.016327167468621024
FGF7,,-0.01571260923886371,-0.010179699759556573,0.09131532620798763,0.003393671673361699,0.002317426594590811,-0.021535300873841513,0.04424256323105406
EFNA2,,,,,,-0.021298542923001054,,
