,ZH8812bulk,ZH881inf,ZH916inf
IGFL3,-0.016603060600992346,,
BMP1,-0.010452117544773659,0.009405746636688585,-0.05401063399619472
NDP,0.016604502366725792,0.047034983259006645,0.10894488806595011
TNFSF18,0.04226971311922551,0.030431390626407408,
RTN4,-0.022588697293847954,-0.028429040644429263,0.13154648941315442
HEBP1,0.00864932536516213,0.09326448020245491,0.004934105444804087
WNT7B,0.02578034032098402,-0.03314007571016341,-0.04256289995707841
PTMA,-0.07602136726077272,0.10131231903316319,0.0830147774703608
CEACAM1,-0.024603163467376985,,
PDAP1,0.02542481438958259,-0.014180250411885515,0.0003614426217079552
QDPR,-0.013835224468459034,0.08429134007144015,0.01490304857036023
POMC,-0.05321161835081396,,0.061647463409325365
CCL17,-0.02189017632629568,,
VEGFD,-0.023087379636230344,,
TNFSF13,0.063056755782183,,
WNT5A,0.09209828492243424,-0.05638807579053828,0.028808176772009222
CXCL8,-0.03107927866162768,0.0779548344884866,0.017962117180593436
GRN,0.05846857617978074,-0.055663378500355465,0.07183208112946422
MIA,0.007106490930798457,,
COL4A4,0.04105766678140179,,
TAC1,,-0.061888492735978635,0.06723356202547266
RARRES2,-0.02172018426482473,0.028794244249747806,0.05581983301210267
FGF7,-0.04633046651167599,-0.03167738542599535,-0.013625103662858469
HBEGF,-0.020342860273915443,0.05326497830059683,0.05600202698052062
CSF3,,-0.029785394886570275,
PI3,-0.01859927499628902,,
PCSK1N,0.03849410543801932,-0.07912961499152228,0.03190717051617603
SFRP1,0.06379899694057209,0.04766982073018433,0.04870632014758387
MICA,0.002591701851828834,-0.049548506798390284,-0.04510513073675728
ADA,0.04923822209164002,-0.05860908040192339,0.0219215401825178
LAMC3,0.012127399792761664,-0.023496231907257362,0.005014008575748559
HMGB1,0.03311160073615093,-0.03807156398063181,0.10056429267011689
ITGB3BP,0.03225666244212674,0.09237983055393531,-0.00624830406968288
AANAT,-0.027077445833282657,,
RELN,0.02825648283733366,0.058315310527656615,-0.09252673905355037
IL15,0.09020356732706494,-0.03150258163386809,
BSG,0.07005184185347473,0.02438580839593952,-0.11734607556782341
ADAMTS3,-0.04195472032149963,0.07105762387792655,
CD34,-0.04105809136368479,-0.0197554654403851,-0.042796173485428676
PLAT,0.06929012160466712,0.0555455742572305,0.007958143148686118
CKLF,0.004750022175539061,0.07994596509791652,0.0459221968780663
CD24,-0.018196278648165806,-0.016118736113541823,-0.06059010779061575
HSP90AA1,-0.012948787565512645,-0.08359464866684835,-0.006302580104055903
BMP4,-0.024907844557424706,,
IGFBP4,0.05436961976858754,0.11597261824221357,0.03153073228734236
LEFTY2,0.08613695685922186,-0.04877719620396617,
ANGPTL2,-0.008700938605074666,-0.005161352452299089,-0.02527495800648207
LRIG2,0.008512467485578552,0.01647675377899959,0.020016709569290775
ICOSLG,-0.05629296310342748,0.026718716333825436,0.07080183172409298
WIF1,,-0.0320566064608404,-0.07618673001594542
NPPC,0.05480263644405553,0.022145778047941187,-0.0006508725638761075
LYZ,0.02154231935652328,-0.06415974451464569,0.009049843039608969
SPTAN1,0.018777560989645295,0.03951027055196899,-0.10566865778268697
LIPC,0.0546338654349474,,
COL8A1,0.010518107010782594,0.04978112382110062,
GSTM2,-0.04538926300710984,-0.036899313325182016,
SPX,-0.07821666598843455,0.051635515639447696,0.08627334469253302
MFGE8,0.0325795462921105,0.060880896406756965,-0.04168093708542348
TGFA,-0.03125339943860687,0.010696919039168152,0.00688199063039614
SLIT2,0.01458022754311593,-0.04317966958541792,-0.015015655458791398
PLTP,0.09901085224893234,0.030749352969202635,-0.028575143357365232
APOD,-0.09973816220387108,0.07455199793206971,0.02178165564448413
B2M,0.09671401607673662,0.006234605730409936,0.07092855608414178
OMG,-0.1017038643258374,-0.08525040516180941,0.045847678976603995
CXCL3,-0.019067950395652504,0.003388460756786107,
CXCL10,-0.02568859647466693,,
RSPO3,,-0.055073794037718164,-0.03253888047801388
CORT,,0.008916084011737211,-0.034746254063021315
NCAN,0.058425939237211635,-0.05011947427918569,-0.035163508814993125
TGM2,-0.005819074433499599,0.034509650195564304,-0.007400695010199893
VEGFC,0.054153499900456696,,
NRG4,0.0824998569055235,,
COL9A1,-0.011340924097141124,,0.11457884802785438
GDF11,-0.03996749132180176,0.012428779589752957,0.007879629711965203
SORBS1,-0.026333674371070172,-0.10163852507257248,-0.01732957081219667
DLL1,0.05373924217342446,-0.06700985619327793,0.06363432526885346
TLN1,-0.006359239083926279,0.06121741602213769,0.14365612553321538
SHH,-0.050860090804642294,,
PON2,0.02539239174384591,0.029636919562020313,-0.03012887622058187
ICAM5,,0.06804511712004284,0.051258898064813097
HPX,-0.008350065854607368,,
SFRP2,-0.0038483819417209695,0.02548714036990815,0.0117742682644459
HP,0.1296661304015712,,
CXCL2,-0.007784292604512247,-0.012345586086543958,0.025046298569140337
CCK,-0.0565416291325734,-0.053045169396970064,-0.07405902374771567
SEMA6A,-0.059216743457680715,0.07192827441711584,0.08865771386791274
IRAK4,-0.0023763616370350575,0.051756001453470285,0.0864948648966867
GSTP1,-0.03230652023081583,0.0020116529596890887,0.08221211177063763
VCAM1,0.007542374583132174,0.0200216162958427,0.02741173985062632
NXPH3,-0.007290952138632828,0.08516878498750828,-0.04335418929668517
MTMR4,0.02052855999931066,0.004115295829808968,0.12109275743948318
LAMC2,0.08368358950652613,,
IL10,-0.01883495057562388,,
SEMA4D,-0.07303915381709843,0.0706614634558511,0.04035673242476857
TRH,0.03224203213014106,-0.03314011301944202,
SEMA6D,-0.04348717053374858,0.007444519655621857,-0.04319899088235588
CEL,0.04631346233862214,,
PDCD1LG2,0.012656189142771845,,
SPINT1,0.0003477850626831726,,
CTHRC1,0.07251825606541136,,-0.06149767293322496
PODXL,0.020604354174257596,0.1145029242220778,-0.04749755497244924
JAM3,0.029271758248214225,0.006114800907113705,0.05128699920073125
TGFB2,0.03179424648494822,-0.0031138346984579423,0.0775577635412078
COL18A1,0.017675025690770847,0.06323399807328589,-0.11337783476087358
NODAL,-0.01153302475745573,,
INHBB,0.029831765611235336,0.039293108685597725,0.03777664771845101
ARF4,0.02703076506757286,-0.02998803919493432,-0.0478067215328368
CXCL14,0.034484933022580336,0.039964927523603734,-0.06611648130791908
LIF,-0.008756086790621545,0.027794635582912484,
MATN1,-0.019751753114484356,,
ADAM28,-0.020232923104550972,-0.031903358441509044,-0.07004735717420145
TCN2,0.03401178426121736,0.013720032772142041,-0.02749438703143134
CUBN,0.051848788195120746,-0.04134876577299991,
TIMP3,0.09616105849904841,0.06072644224030658,-0.09663572224132225
PIGF,0.005149223719766272,0.10874718596169318,-0.03506066829041688
CRH,-0.018432956830471282,-0.011860751147320301,-0.04124377641981814
BDNF,0.03199784408861032,-0.03572158263162788,0.06243107953551145
CCL5,0.023359366853388432,-0.04760280899993463,
GAD1,0.04600595255494881,-0.057058440008511555,0.02772766139126269
COL14A1,0.013169775417793026,,
HLA-A,0.04747451028109995,-0.11549108630242573,-0.1285871716229675
ADM,-0.029323714565403072,0.0930375266265906,0.010243392813181125
GNAI2,-0.006007821988667214,0.046240733257677594,0.10522865392967518
COL11A1,0.09230529460053877,,-0.05589901294232863
NUCB2,0.028870596236217395,0.010078718192310186,0.026964784686220346
CXCL1,-0.011979599214680772,-0.01983876097479276,0.02924047049747133
VCAN,-0.020326433882062497,-0.029626288551132623,-0.013861194487767002
PTPN6,0.05386526230915551,-0.02989848188375727,-0.04683775742344383
PTGS2,-0.0027240153508393344,-0.012984705913088333,0.026915775144445403
CD58,-0.00710541532275929,0.09766863301918857,0.09161880106682187
TNFSF14,-0.04109811165066015,-0.040004467638652015,-0.04073066759999664
