,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.01964879361213604,,,,,,0.025605563375044743,,,,
BMP1,0.007107956958430149,0.04198448633130856,-0.026163458643853412,-0.04908603630759594,0.017761455633348567,-0.0285112034805056,-0.03805527109785592,-0.023904403231535438,-0.09103925865126161,-0.07900283281878148,-0.011677645370432569,-0.03180149793398811,-0.0030575585664844676,-0.01528006238137124,-0.030487875621682325,-0.0028414147372445558
NDP,0.02146368175681059,0.055164494913340474,-0.02776211947546798,0.0898571549531868,0.021543664379343578,-0.05600447465678684,-0.038981437018730525,-0.018467513317484297,-0.005983506555652217,-0.03243029934052554,0.07400969969521538,0.00913049105200781,-0.04975073381810107,-0.12105881758421809,0.03402721416283269,0.09288584056637311
TNFSF18,0.03587731939525105,-0.022869838882122673,,,-0.026317495524498774,-0.02917786864107348,-0.0055842475468911995,,,,,0.07035100351823317,,-0.03551419046685748,-0.018246559279286628,
IL36G,,,,,,,,,,-0.020126427249928077,,,,,,
RTN4,-0.03736309889965509,0.019545832674004057,0.008125518468369397,0.11210999265397573,0.01756364021185982,0.10650653810362848,0.03733626061746319,-0.026793883541784958,0.1298268551270236,0.15562629365392674,-0.03453648827393002,0.05363035182820186,0.06691377586783008,0.1330850597571468,0.020286305500785598,0.1072608164746252
HEBP1,-0.017055729485885216,0.023032567047924314,-0.014579505072074886,0.00559599511726249,-0.0008928160254449962,-0.028242460625382753,-0.027112419179015124,-0.03230080830096343,-0.06126590491629368,-0.00936553571719518,-0.006179222954027315,-0.056546981273086924,0.06384660397753124,0.023163055829651585,-0.008135496181950287,0.021387461158864696
WNT7B,-0.0325188886127074,-0.020649631660810165,0.026993431751789733,0.00769565349948257,0.015802354184176685,0.12719892133224792,-0.03942759765113249,0.05210165258637121,,-0.006662730762786567,-0.03139837175171816,-0.045939862441850055,0.02498832420097885,-0.03551415364130978,0.01340378409986526,-0.009165429498553812
PTMA,0.02954661422935766,0.05358105503005906,0.03166185612988389,-0.10056563274337797,-0.025180586539224004,0.09597111953472386,0.049498001346161696,-0.029282966045793283,-0.1773101158573014,-0.14240278512721438,-0.0945847606407598,0.08981394770139485,-0.05923822699107888,-0.12011933085147755,-0.04677188883706591,0.10924822025812772
CEACAM1,-0.004479705909730566,0.025861357170376822,-0.013314157964576025,-0.014122252070878865,,-0.01820422360557792,0.006039876138932055,,,,-0.028158562705595063,0.00016190269518799987,-0.01837571512561392,,,
PDAP1,0.03838089508654083,-0.041528205730824545,0.009976209979137542,-0.043849772622963,-0.0006462371055835452,-0.032975783671771806,0.008615012368385038,0.02012781749891092,-0.02412512155924359,-0.059486839883719445,0.08059890186047881,-0.029139513509402203,0.026010430480106674,0.009199777603372114,-0.05000989392041774,-0.0047480373515125275
QDPR,0.0586124678739173,-0.003741672062530051,0.02256968213485696,0.0958245519718314,0.00975248415600009,-0.009633101459223558,-0.02301518972464481,0.004999891811563057,-0.11068868812744778,0.09605330935159047,-0.03305673925508242,-0.030879707715724073,0.09454798908106989,0.008660039923197358,-0.06652274512208903,0.1233721996181813
POMC,0.030377133792195088,0.018738362751962022,-0.011646316773449357,0.025771029626503444,-0.035262008994839535,-0.014112471753478184,-0.02284008332411016,0.015608161451260436,-0.02823630814837314,-0.00829998753472023,-0.022619481546646787,-0.02107569010860758,-0.0300602560080821,,0.021403532040518283,-0.006653871896275381
CCL18,-0.035403412693737986,,,,,,,,-0.0773223234379292,,-0.019964883929448833,,-0.027214908139378012,,,
CCL17,,,-0.025166681666635632,,,,-0.02455013108534589,0.03095744575139036,,-0.018386062681885196,,-0.028086807509892796,,,,
VEGFD,-0.02497760263468806,-0.022698149872304448,0.03552670165234004,-0.013511371205510206,,0.05979705505434758,0.027415435267120248,-0.018462959766672362,0.012166668774299068,-0.019704912853887507,,-0.02962291294893161,,,,
TNFSF13,-0.013251726444968786,,0.017125678587252852,,0.005784266406516056,,,,,,,-0.030119468781052983,0.08990963169758176,,-0.007957065616863958,
