,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007nec,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,-0.017990296869736938,,,,,,,-0.01419736499046638
BMP1,0.0346511605669827,-0.01311837603433091,0.007182774562745055,0.05910683283786832,-0.019683813318791724,-0.011942471260705875,0.027120024409724903,-0.033768174270863635,-0.023959102515763636,-0.0029159464764139044,0.005680899399265379
NDP,-0.020241887692492404,0.05468405592594295,0.06169794511487938,-0.030013700960633962,0.01645456418572847,0.07318523968854805,-0.02736428552109489,0.005621863706176694,0.019956474084665204,-0.01078355949915552,0.00198201294082317
TNFSF18,,,-0.015533974462536253,0.03315241617671976,-0.013749101328902244,,,,,,0.01226853722975169
IL36G,,,,,,,-0.0011989353292135717,,,,
RTN4,-0.003036657347040526,0.02857463864202817,0.03286267827257739,-0.055584035472440084,0.036752647252260885,0.06327924668881912,-0.036690035436781884,-0.001929037895654799,-0.04542609271939698,0.022205277322078377,0.05932764986785178
HEBP1,0.05533583017680876,-0.05454927650575255,0.00234666710756814,0.03806827423165746,-0.013673158999528203,0.0005660433790216761,0.048696418780045395,0.1185352846233045,-0.00599696081479141,0.005473791595085584,-0.01900943957331745
WNT7B,-0.017737386702166055,0.0067676615904763236,-0.002914660419478903,-0.040283246275260295,-0.003045833393411587,,0.011552016977752632,0.004403422495998302,-0.02471013965366971,-0.021792635918144197,-0.014750475252115945
PTMA,0.00843018629525469,-0.0006639243845459737,-0.025203363422516313,-0.04945656878461785,0.08458908968011279,-0.03382587182952764,-0.03852705588246983,-0.007022129739091327,0.015107575541743658,-0.010481970334641004,-0.020541832097930604
FASLG,,,,,,,,,,,0.021219492375044696
CEACAM1,0.11291308917236592,-0.019762966912714085,,0.010028613271349346,-0.02162406088644276,,,0.04014655004066507,-0.021606672446405475,-0.014464089404441046,-0.017132245589576742
PDAP1,0.004978423689459519,-0.040736908978774154,-0.04108128805112653,0.07222209480435153,0.023127449873472247,-0.010995593514770237,0.001999475060927045,-0.04406666022820763,-0.060110359287496466,-0.019784718899936146,0.02141112576585595
QDPR,-0.017774666723700663,0.044268028231807706,0.0736005459877821,-0.06952234104135747,0.014085168497309297,0.028953462817680523,-0.04786756698816126,0.07718427279805572,-0.05350426604313981,-0.028940857696421594,0.014954410123672943
POMC,0.00882778528776573,0.023542902821629377,-0.0009974050958651373,-0.03669259283423846,0.03515593354174551,0.01326027116498484,0.04801651842558237,0.17942125231467448,-2.4043357975312143e-05,0.00973235073045597,-0.01084699590633042
CCL18,,,,,,-0.025788431242806872,,-0.04142336785136349,0.0481705775651777,0.013254722440566158,
CCL17,0.012741024455923075,,,,-0.017147806224947066,,0.11849171859361432,,-0.031190588131050797,,-0.01116068670223513
VEGFD,0.006269351698817892,-0.01890808779929095,,0.07168660439804878,-0.018269537151275765,0.07483283368118188,-0.018584776285228508,0.1397400359310014,0.13279258785068257,,
TNFSF13,-0.012959456767839354,,-0.015064714658786693,,,,,,0.003030613299703038,-0.016242202981245304,-0.01818540743662366
WNT5A,-0.02518327220903163,0.007747249564828346,-0.034087902591529266,0.05057835215890822,0.007946642931832676,-0.012797822571253833,-0.01810087446327848,0.04263501273616221,-0.03938589746487253,0.004527753650927525,-0.0019171812979200235
CXCL8,0.04449113622887172,-0.04741220099384152,-0.021428579517452046,0.07905689500514959,0.006272791043687794,0.026261953681557135,0.009891545469938574,0.06247243770908501,0.01726243997869039,-0.012079822565991265,-0.020866159541730996
GRN,-0.029247932111681224,-0.04131189092851538,-0.033571957791792326,-0.021844065287297387,-0.04627084074513479,-0.07004692259756672,0.01747575641078302,0.07859975811338776,0.013897746278516549,0.0391224296882194,-0.025640102131031565
MIA,-0.0034176503081291276,0.036296260461932385,0.05273931562634191,-0.019084643883010288,-0.00848814568163484,,-0.02545270281757541,0.04388822206232708,0.04233014770586092,0.013811928701319942,0.07372298844329775
COL4A4,0.03681365860352008,0.023245308767850272,-0.014333410432477163,0.0037002482587005807,-0.017902840229188435,,0.0439993596532371,,0.011776246526508861,0.11868268544867407,-0.032775428334661946
TAC1,0.061218606210492486,0.012014740455463097,0.03365561558684552,0.010042328368612269,0.022853640576326637,0.0016201882493403386,0.04020291540807284,,,-0.02495467478850027,0.013720731108204293
RARRES2,-0.01365140599749808,-0.015404920445714435,0.00884749868572751,0.04810122284044307,0.0262752181070974,0.034018078041280306,0.03236795530566791,0.08824898363977868,0.02565706019503669,0.012351074420271155,0.021470651957717815
FGF7,0.0031028903531797225,-0.026079437334498565,-0.04108196475173856,-0.034100218791358335,0.005212648996596934,0.005888938945912502,0.04888770989446381,0.11071733852350213,0.052654067005358456,0.01114484538828128,-0.0036188263665817683
EFNA2,,,,,,,,,-0.020535696175300728,,
HBEGF,0.0149662669537909,-0.013328625709963892,0.043415341693942316,0.015053831085206238,-0.02987635994182073,0.05333465804628743,-0.0022337761922642013,-0.14776665871654535,-0.03922764732560302,-0.031805049679366044,0.03573583055510528
CSF3,0.0029477847622823255,-0.008212644347144351,,-0.01875599093821344,,,,,-0.04639560220559461,-0.020736247936582155,-0.011750481358314982
PI3,0.036956628237338286,-0.00987711520773258,,0.014854769104276412,,,,0.0010854401669865455,-0.03001801342318598,0.0002476738252107483,-0.025529892276884552
PCSK1N,-0.035329266504279526,0.03545082881232243,-0.010936132658581035,-0.023741600833811903,-0.057321667836324516,0.06715952053017234,0.024251765117761035,-0.02257947946660238,-0.025192281445880912,0.028566822865064612,0.04385430640166607
NTS,,-0.03799371009340101,-0.017497837469989185,-0.023053369046812374,0.03439502945578445,0.08487756185609555,,,0.09328355875321655,-0.0307424508520002,-0.017400860581720422
SFRP1,-0.016393148519820586,-0.021570853736323767,-0.00887782283651417,0.0038574439600873862,-0.02975519328663062,0.020817332434515605,0.026948281619306742,0.038018796527676244,0.007083020655676982,-0.01661705534079603,-0.016996508665870144
CXCL13,,-0.0037485980956005267,,,,,,,-0.03725803514699412,-0.0338251355121077,
MICA,-0.004878423978938584,-0.044358126074262136,-0.037139733969224736,0.022938439441653784,-0.015309386452904942,-0.035066376245331606,-0.0305422818677992,-0.0036396970700604465,-0.003368519650402258,0.019321517879181037,0.07194233359977496
TG,0.04642603489124114,0.048408045379923756,-0.020197117102606223,-0.022636803001888323,-0.017275765838743514,,0.03924896268309386,-0.03276004182663447,-0.017348459590012813,0.04966058180039916,0.05007731168399675
ADA,-0.03897886863100056,-0.03872180975690821,0.017374698324201875,0.04713693231415872,-0.016808521002679818,0.021226481755626265,0.017577179806614905,-0.01830300743000602,-0.0014956185518256592,0.054152137093104555,-0.005522457283924101
LAMC3,-0.02674955829448975,0.0076502281660216845,0.010649512514479329,0.04801878313781331,-0.026571931842523443,-0.03525136978475535,0.028578059379904357,-0.022032283907302472,-0.023416631132410135,0.10158748010090331,0.0015251613203135519
CCL7,-0.012790423380409706,0.024701948155948058,,,,,,,,,-0.012313365434243105
NGF,0.029409196758936527,-0.030252075342362343,-0.019273466926523954,,,0.005756015075848948,,,-0.020259661869747574,-0.035599606238337536,-0.01313806373821937
TNFSF15,-0.014242762005680277,0.013877987670194443,0.10404711576454745,,,,,,,-0.012876853971165378,-0.0187862995425548
HMGB1,-0.06612782123664412,-0.03730508659126242,-0.05076698233500887,0.04848784226483819,-0.002579843613244048,-0.016065641334350608,-0.02452989988560204,-0.1038771356908963,0.0197696648377009,0.03275191807799821,0.012384706361439988
ITGB3BP,0.011404181420421001,-0.010885941143626173,-0.03538015831190553,0.05493339380629511,-0.008707916577382421,0.030791860423963775,0.008363253869755363,-0.06103957655480584,0.013256095101134251,0.034347429493379475,0.06564640241760519
AANAT,-0.012959458150977507,0.000908968756759743,,0.16550815740072822,0.0025794186197591273,0.009487424271182111,0.03644189561881454,-0.05641293353836822,-0.02763548504829917,,0.11359500010218451
RELN,0.030861528242474633,-0.029357852814603656,0.0014581522542867487,-0.015775103769644576,0.017854002084507527,0.012605101881220366,0.026247436821937097,,,0.07802352243225281,
IL15,0.03443268905805742,-0.04928051874926973,0.027577567270788198,0.03762143377951623,0.06444000660416482,0.01967536439134195,0.009067628636875944,-0.0650217690117269,-0.03413280399724909,0.05201524435574355,-0.008748958914223396
UTS2,,,,-0.018469676113843696,,,,0.11870960732325092,,,
BSG,0.0049040890948583386,0.020721343833338735,-0.005974073071948425,-0.025184799442632202,-0.03219548607317002,0.020491346352129354,-0.018474029387206933,0.04207273387030006,-0.025108417281038513,0.003478633444566455,0.027614818767265018
