,UKF243,UKF251,UKF260,UKF269,UKF275,ZH1019T1,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,,0.10940125954414982,,,,,0.07209063790396297
BMP1,-0.028419721382398157,-0.021163488700130503,0.00744523679028962,0.0669120871877891,-0.03721342444930363,0.06513590125505707,0.03987188285180892,-0.09154654725702713,-0.01845078345832966
NDP,0.061674603966686684,0.015014759684767525,-0.03509417403980433,0.006361247759813435,0.06522524947966277,-0.04100069366318253,0.040383148211317214,0.028543662414300855,0.07975121148015489
TNFSF18,-0.041101254449235396,0.0011523655127023997,,0.06294935083302682,-0.014795352887901486,-0.031479407833205096,,,0.005743912840963019
RTN4,0.008036817739441607,0.011208245076256495,0.008189775146546065,-0.06714026360468711,0.01622034098096631,0.021598430214205967,-0.019501691814818912,0.005155996063194328,-0.01903832041933723
HEBP1,0.03791428302468724,0.028954975996913615,0.025681171671403474,0.07382076574366336,0.00039258059505209973,-0.018499907360883534,-0.023291977480759684,0.032518692136112595,0.06197576671141779
WNT7B,0.005506002237559702,-0.01615693449866366,0.01981840447896868,-0.051502923738585296,0.03692657026808583,,0.07191488133762358,0.007270098967973874,0.00956253130025307
PTMA,-0.047325600424580526,0.006268693321882901,0.05066408717436035,-0.014914308247665667,-0.011370024218188944,0.04843707380251221,-0.06836760725996856,0.02328186311946367,-0.08920642919539806
FASLG,,,,,,,,,-0.019403850873171112
CEACAM1,,-0.012399475453550357,-0.02849925140247523,0.05544128206079695,0.0005229737221093592,0.01963277820286298,0.06306797345091641,-0.01603498306079712,0.03525775677552246
PDAP1,-0.034811366157986,-0.026239249829511604,0.021600036292585032,0.03723318122152115,-0.011959695824524417,0.04180406073203832,-0.03972150807549348,0.030511025677383865,0.09386955156907309
QDPR,0.09647349603918162,0.03252123003807275,-0.03801070366403271,-0.031056180276150612,-0.023225314362926987,0.019545459260709535,0.016483002435681883,-0.03505233219674002,0.05027979297140521
POMC,-0.03927349020484893,-0.022031889636436555,-0.0170342117089711,-0.03134484025253715,-0.0008688114526933331,0.03325967473856111,0.08756479480764862,-0.02623112584178775,-0.002925069221325552
CCL18,0.062221669850456955,,,,,,-0.0004688353036397178,-0.04119404452380965,
CCL17,,,,,-0.018452685617940834,,-0.01442616164399801,,-0.01758741138339392
VEGFD,-0.014227661756465889,-0.017759760888310466,-0.027266470166754122,-0.0015473020670912548,-0.019659775776293083,0.03520954523436772,,,
TNFSF13,,,,,,,-0.02768163735210975,-0.018006211272057714,0.031412272628496406
WNT5A,0.14520180016873144,-0.008443203624260978,0.0025243057864837485,0.05614155229666983,0.05640205565214966,-0.054304289735630853,0.0024084714692813947,0.043752045477341704,-0.04028735834576177
