,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.014513716440451793,,,,,,,,,-0.01860240980224192,
BMP1,0.004480225339606676,0.04989039661661897,0.016820003031119794,0.05324497254048961,-0.023971003061885147,0.046507502351384136,0.007550816354749438,-0.04534721273668679,0.06107219538213446,-0.06201785502327598,-0.005863135253871688,0.01833261962116333,-0.06478009549629071,0.07235718939748563
NDP,0.028577446317887684,-0.00036595268054352047,-0.024574689426891172,0.03359031868166709,-0.012429383103440196,0.06403158279311384,0.012419925546439088,0.017155354015171174,0.009568315436203623,0.01916082150336277,0.006413731041082054,0.03065483830913304,0.045565190771650825,-0.02148472555470042
TNFSF18,0.11187243844360442,,,-0.0031470816319876245,-0.015882541429127862,,,,0.17030279058278616,,,,-0.0053783833471195835,-0.013655522455095116
IL36G,,,,,,,,-0.017771282742363566,,,,,,
RTN4,-0.0006416760441950608,0.03554415313498121,-0.00863340102928862,-0.0681898308841376,-0.04813485448094584,-0.0786209064978665,0.00436265497427304,0.05089997057103463,0.028745407901893855,-0.0478585193291029,0.021800651032222593,0.021247403587020663,0.021680843550165644,0.015870564627159914
HEBP1,-0.023230044339112337,-0.013151939242719499,-0.00033023006812325225,0.035291713052095074,0.014969403882216521,0.03613889935006013,0.02870042556317328,0.012953064960182174,0.03230725877559193,-0.04616555104623755,0.050497722793217736,-0.03249421233409075,0.013528048469685567,0.005976522387937277
WNT7B,-0.015013795030536974,0.027324646384483123,-0.005796308754336255,0.017840477089633412,-0.0003176291960110355,-0.021964930983710957,0.05820032419133761,-0.019532687721351437,,0.11629471845183574,0.048892557552025685,-0.03124350241437172,0.002210763433667198,-0.0037185972337939652
PTMA,-0.007744463577075602,0.021877908282690525,-0.053417723204652774,-0.07900257813949459,-0.011046641755336518,0.041527145404193555,-0.02489401257461947,-0.04313393119032298,0.07281344622146872,0.022702833648685857,-0.013351126823792928,-0.023760444480132,-0.08263797069396006,-0.0238636637973695
FASLG,,,,,,,,,,,,,-0.01613386367518061,
CEACAM1,-0.011522184666972383,-0.009556284277531543,0.004022470285455434,0.012319510560025464,0.02178524279557546,,,,-0.012853034045910152,0.010864882929012422,0.04569272889668998,-0.02073676694855854,-0.022447901670765533,
PDAP1,-0.020618141960014526,-0.03135266615400719,-0.028485718930012054,0.03843203472307974,-0.06215485395142653,0.04321992641666067,-0.02752899012573274,-0.007422827069897034,0.04824868643206673,-0.030946596329737768,-0.00027776603324131886,0.03864323656858446,-0.02151020713576503,0.00462145236496516
QDPR,0.016179003050951116,0.041396726826802954,0.08545717765627861,-0.06539773212601684,0.0017585285694127631,0.017517004510853546,0.05610389074388679,0.05341327614460897,0.02445265292476258,0.025399138905120522,0.01905057894043575,0.033811497589627246,0.04604652120190266,-0.0017616767780418902
POMC,-0.020473083873938418,0.009771577987652982,-0.04311981539479069,0.0513756984048855,-0.018428845112568797,0.031232793394931894,-0.02720186277387065,-0.01862090469034322,-0.03318889510401213,-0.05930069242385089,0.026737746147184487,0.012378374570945448,-0.027714620483570956,-0.028556607451211382
CCL18,,,,,,,0.0061606283926754525,,,-0.03555428985777944,0.09435329808424564,0.0003209649828494672,,
CCL17,,-0.006407041086568864,,,0.023198512790661135,-0.016810627150946937,,-0.01623457131169511,,-0.017521770743354374,-0.02149707715932086,,-0.014623535272131487,
VEGFD,-0.01650321784683193,0.00791850704961127,0.03782484814879508,-0.024314368251693908,0.09869603815040943,-0.019941573108856463,-0.018378678083248428,-0.01739909291358805,0.025282589808605763,,-0.023491958542414728,,,
TNFSF13,,-0.01890955562455871,,,,,,,,0.023110811359929002,0.05490363806978635,-0.023285999452537433,-0.006218906831184865,-0.01783691621887673
WNT5A,0.0338532324678236,-0.009314554204364936,0.06035715966354039,0.016072774077170567,-0.009573334374757195,0.06397172881014976,-0.008523108820632381,-0.027338636216474293,-0.006371828354357713,-0.004372880240810316,0.03315318802336055,0.02024337441299559,0.04256194398683307,-0.00609634932236087
CXCL8,-0.015452635014855798,0.014492750200372528,-0.0538677782167709,0.0028706740711874866,-0.04400546112705914,0.057269828962313515,-0.014940889730316778,-0.02402044853215653,-0.040906819377154145,-0.1045364138999321,-0.028684707519517412,0.005553952526355991,0.015908979389610337,0.023925898427533995
GRN,0.052507748564784816,0.024608982783551475,-0.029546031343111078,0.05462703398394244,0.006817332047618151,0.04168337383258157,-0.016356158631146474,0.0028090157187408383,0.048777618115769,-0.0019212214096144865,0.01932070827789437,-0.0751599633020686,-0.0034917257864424266,-0.023653627678712624
MIA,-0.014676807836351821,-0.011813062228134386,0.010100990316212978,0.02387131055984043,-0.03182300907674889,-0.022679339755131638,-0.024924789264055024,-0.009329884661356008,0.04350199412932203,0.09360679790289148,-0.014073128922563372,-0.0004803341814464733,-0.018974096918215184,0.059041494171449396
COL4A4,-0.024682019344392007,0.010129974718663354,-0.01539245598818025,-0.014302190269036756,0.03416978572453955,-0.022594516245910263,,-0.02311487347908393,-0.0404198795359626,-0.005171964922984144,0.029336428779152976,-0.041791752691374154,-0.032423943924190096,-0.03648566644291834
TAC1,-0.01237367343429056,-0.01593160406337104,0.029691370201171786,-0.03316316222656661,0.009537377542094213,-0.02690412147059167,,0.05621544394722084,,,,0.09247197352629787,0.023942998468592297,0.06793059383183986
RARRES2,0.0025063213128858307,-0.04191480151426008,-0.019168186936881087,0.0545014565632018,-0.023159847757678674,-0.015799613645120184,-0.014935052334283277,-0.016997181688996825,0.02796611245471869,-0.05981602118170891,0.053284698043329484,-0.007584419348312056,0.04710798760595195,0.09468938045184191
FGF7,-0.01862693291603543,-0.042521901069955174,0.05664748139728668,0.02860866564188287,-0.008988063807976827,-0.008391121828218877,-0.04004363895065671,-0.0031877440718915077,-0.03524735310117229,0.04427877802310294,0.007410297008826052,0.006438457027287523,0.04722963874067116,-0.04189418438098391
EFNA2,,,,,,,,,,,0.05287132218180359,,,
HBEGF,-0.02321197235821749,0.06219247083329408,-0.05825453698794877,0.0066496068269207955,-0.008532896476543407,0.016797956742911808,-0.04077766329296464,-0.04203407309096013,-0.01920722693136494,-0.0024533558992870168,0.060098481963795865,0.012441611096202258,0.030604508761885016,0.03283331594608406
CSF3,,-0.03267508381103741,-0.01642431234813072,0.035335321029961037,,,-0.012979442713146246,,,-0.06452569059033578,-0.0021406948398667333,-0.0029586542326497382,-0.015396326694972083,0.12990961487798516
PI3,,-0.012507721390405133,-0.014725212967232566,0.07212578969468487,,,,,,-0.0809325712960916,-0.03897222027025318,0.008226095493796316,0.016372437005788,0.07357066331259685
PCSK1N,-0.03932483402800011,0.005945887982835234,0.009096432355296866,0.027005323730991997,-0.05465138267083646,-0.06024180340826901,0.05567803815047016,0.012252277124279353,0.0556457382693285,-0.017230790533104168,-0.04048176016990434,-0.012841037715405394,0.027893026352126767,0.025409869472638985
NTS,,,-0.05636026405478169,0.0428088854770786,0.02457041510343843,0.012230907593253905,,,,-0.018437287733677542,-0.02720186376625929,-0.01476222040252561,-0.02279986037340071,
SFRP1,-0.016206303899872765,-0.011970450170873052,-0.013625460650752085,0.051051536577829223,0.026779762648050556,-0.027186427447373367,-0.04573319905360472,0.0020986664371964356,0.028923153388600083,0.03378869871867878,0.04687121024515416,-0.03224681236870557,-0.02227004938044396,0.01308141666279503
CXCL13,0.01885022925374442,,-0.02733443651916818,,,,-0.018927335055120918,,,-0.0393574895559271,-0.043396460653318036,-0.04849416596544432,,-0.014429446976386592
MICA,0.02171389535773667,-0.04771995473285392,0.02442250903054988,0.021910428965370744,-0.022737001903639146,-0.01332419811590834,0.029849861643037264,-0.015094787581077853,-0.07670655394606599,0.01764180234658409,-0.026998776522754633,-0.005799631472449131,-0.01917752285410766,0.024220354207596422
TG,-0.015667849607710553,-0.0037576994138904334,-0.025640980480470928,-0.01826229674066402,-0.01995643643101021,-0.01967469928516948,-0.00660502565768018,-0.024386616855888145,0.04988330301062258,0.1795485039351326,0.01542440600778338,0.035140846195894145,0.030041013308516502,0.014497671263171523
ADA,-0.021937353957186354,-0.018992269291214406,-0.03322003131692022,-0.002620023921278907,-0.004848537660368269,-0.02258360008184896,0.05555882902528474,-0.03697354567878129,-0.015508685109455729,0.00947746292286636,0.025132485058435794,-0.018460965986659358,-0.02480171620296596,0.0756801167263949
LAMC3,-0.027861631154808393,0.012124238530837491,0.06757603138327671,0.11181677159604501,-0.017949217114255563,0.016528277786204835,-0.04850003627710451,-0.02827787133527148,0.059070987283617114,-0.03497249595949519,0.05958941515460216,-0.0324677330770184,-0.036904816122401984,0.006303399262660049
CCL7,,-0.01866291363182174,-0.03624041614647735,,,,,,,0.006180805783357068,,,-0.016133857938171264,0.08021370430605901
NGF,,-0.012826548126910942,-0.011081310590052698,,,,0.04791855483615321,,0.03411547038448538,0.029326784788863525,-0.003252061574658343,-0.05103817581480058,0.012242075124548077,0.10303172098187767
TNFSF15,,-0.0061679208081306305,0.002053833633552401,,,,-0.01758308125182641,,0.10672208159944799,-0.025601619309404335,,0.08206751642059316,-0.042628445978367,0.08518481655575501
