,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH8811Abulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,-0.013038932398280814,,,,,,
BMP1,-0.04452330854175524,-0.00605092553422923,0.03590958860111976,-0.01256859987840287,-0.034766070620747505,0.09105503478888045,-0.10806970357538317,-0.02319442621641034,-0.04483065465502968,-0.05326939013093283,0.06810653597632131,-0.10062911647206,-0.017002202111469602
NDP,-0.07484760361737712,0.011145677976972064,-0.009037862995438841,-0.021589217434330416,0.0841163442313126,0.009516061409316259,-0.07122029777568253,-0.014407059192590272,-0.020247738486739796,-0.0653213331571452,-0.02053293559737993,-0.010692549567428563,0.03301796533311256
TNFSF18,-0.018058820027721675,-0.009741078354736537,,,,-0.031740397561541754,-0.019362423171969786,-0.011674764661574738,,,,,0.032630882057083976
RTN4,0.13191762310723076,-0.0006219537621397762,0.028579972143375387,-0.013655361968625355,0.042115176644626835,-0.09344826369475592,0.10830272695898888,-0.0061116054630439235,0.019568381510181438,0.15751506020458456,-0.04802304185002097,0.057585586622604414,0.09539261651403393
HEBP1,-0.03580833816106747,0.028047397410877046,-0.0463170556992599,0.013034682966136036,0.05292771777564664,0.08369315272433209,-0.07187412055383466,0.001986906934388509,-0.049246171487085176,-0.17959435729358703,0.0161972061244214,0.07617148814882797,-0.057682795738630395
WNT7B,0.07139529390627682,-0.01067109422086819,-0.021464734975212126,-0.026695715522078375,0.039919381580692144,0.04049442054080048,0.05107401324426824,0.039042090711056014,-0.0016376582819018863,,0.11854099324227498,0.04506042894640425,0.012067723567615325
PTMA,0.003114313469716159,0.06657143785118233,0.0514096916003135,-0.02088609617942736,-0.055399942884045685,0.15821484249077253,0.01456234036817354,0.03255402278089207,0.010270800162252102,-0.2052413275711753,-0.020643164236779116,0.07616702108622656,0.010077408362641342
CEACAM1,,-0.05430657247218573,,-0.030825897883920438,-0.0051832662164089036,,-0.025479846093147785,-0.01836162348633581,,,-0.022267306254361366,-0.028477124320018934,
PDAP1,0.06447931102355213,0.05602514706941702,0.02259035869083057,-0.015209642740128851,-0.05228942050309191,0.057878580166431486,-0.0563659938485368,0.015103808015027514,0.013087238507505306,0.07756535366627976,-0.002649890578405543,0.09326441771695705,-0.00741093207968058
QDPR,0.08693604715370903,-0.018740397718067722,0.06899867183569271,-0.053691191309913504,0.07552672946016499,-0.08249139254758367,0.004068882606318959,0.0075831101451072115,-0.026184383378821535,-0.18124551042964868,0.035005650479709965,-0.002448280014038597,0.04306462134467061
POMC,0.1309116702403451,0.0068753669201926295,,0.014967750297273779,-0.036279100345764655,0.028210892507327858,-0.007442468456764189,-0.013546473694648937,0.009526269713519104,-0.0704646345035456,-0.020490352815618,-0.003950018384997027,-0.029605684093540304
CCL18,-0.024218362529684262,,,,,,,,,-0.05686406644933339,0.02649623302137503,0.012600670677110248,
