,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,,-0.016337612020732778,,,,,,,,,,-0.018219022763878358,,
BMP1,-0.006312239112227887,-0.06332789217829064,-0.04941581916134956,-0.06392294367558322,-0.0331084275110958,-0.0009704702834679599,0.01247373187361045,0.06506569996802451,-0.02835765494772792,-0.009484864360032137,0.046579989867530903,-0.002584144104272494,0.026026916013303734,0.0653434112094726,0.08131058910554687,0.0964821811893779,-0.04305069184962179,-0.06607614176937585,0.057141036248595435,-0.04272255834990587
NDP,0.004070633581316129,-0.010145226484865436,-0.01875660853942442,0.00723658341396723,-0.03180073279034484,-0.001799616696099548,0.0011881781005800421,0.030375019166586727,0.04141384857986432,0.0256656682735176,0.009571270360808523,-0.0251267505955658,-0.0406917734310331,-0.008549155260102543,0.023205368602607097,0.043685483621993974,0.007700931164168074,-0.05724090711594803,-0.01281528827074327,0.014775564057387646
TNFSF18,-0.019279979555661613,-0.023357420067075543,-0.03830536689840298,-0.07932355802865444,,,,0.0397487973414969,,,,-0.02525770571746491,,0.017611574618018967,,,,-0.018788956591750897,,0.0678203671400756
IL36G,,,,,,,,,,,0.03167189585310448,,,,,,,,,
RTN4,0.04966659210492411,-0.02761343710876313,0.009214977332270209,-0.05814440951120339,-0.10268126444104297,0.015302638880592363,0.007084336928812938,-0.08504187421667732,0.039336355411018015,-0.05038701202593204,-0.040364474602791384,-0.01575489435158015,-0.061640819547680074,-0.012914657750024611,-0.01874839476990704,-0.08155069145146839,-0.06451198899678832,0.02284490998929869,0.05114625547496789,-0.027563594513475304
HEBP1,-0.03416373371116357,0.0016042075448026146,-0.0016628270128950925,0.019473386555641868,0.0803173145826703,-0.03185584843270557,0.037258372186810766,0.006938713423610506,0.007925822992528107,-0.024125612200782732,0.0065552842410713215,0.03927629589080652,0.053603633730125215,-0.007135596449495491,0.04804502021975074,0.039354436744539,0.06821944405595222,-0.03798551193432482,0.031033412927415755,0.0756300862929347
WNT7B,0.03815341627508987,-0.010050966865377564,-0.02515683202093667,-0.010934835109221006,-0.01226349043651477,-0.002239826412023283,0.023701990946841715,-0.04818669227721401,,-0.03835364747636324,-0.026355144872510252,0.10455777103638549,-0.0067121751758093115,,-0.014052920383628984,-0.021813850507224387,-0.025623545363317884,-0.03928922822038882,-0.03896192926743435,0.05778644093254936
PTMA,0.03639026758857626,0.15636372270149188,-0.11142550920504739,0.007894329131187178,0.019538911003973206,0.0023657485145517796,0.07834003820906253,0.05289487617131321,0.0051213220322684815,0.07603392300963963,0.026231591827617293,-0.039108495195539966,-0.13887006090587053,-0.004154077245942971,-0.03150183802034646,-0.07427413768778933,-0.01733387621066086,-0.0457296122442473,-0.05147059580795764,0.11038164227659907
FASLG,-0.01698506292441836,,,,,,,,,,,,,,,,,,,
