,MGH258,UKF313,ZH916bulk
BMP1,0.0060571843942498335,0.016333017394873216,0.041117359351650395
NDP,0.04482708379023458,-0.015251110311042964,0.016934972028407734
TNFSF18,-0.018422630140444506,,0.10249620113171139
RTN4,-0.021855520175933348,-0.004439962518247578,-0.04555176360558241
HEBP1,-0.01611566208316763,-0.01796489725328484,-0.025582666652872614
WNT7B,-0.016229760140910078,-0.02876378743917621,-0.043033612236503344
PTMA,0.02965447621980178,-0.006036979097068252,0.02072364277339321
FASLG,-0.01622976472902169,,
CEACAM1,-0.022535170364070982,,
PDAP1,0.03628525248778661,-0.03236311552869097,0.009039185551235103
QDPR,-0.025571801142780872,0.07325434617150486,-0.08645189109944973
POMC,0.05533653946496938,0.06485079460797313,0.0017126336619715378
CCL18,,-0.018003980003668256,
VEGFD,,-0.01818676941173701,
TNFSF13,,,-0.026444435395783682
WNT5A,0.042261605234410214,0.010944349330517562,0.025774477584063576
CXCL8,,0.041904609619922824,0.05390732650505823
GRN,0.06328395240424244,-0.003761973017816583,-0.04210064809962541
MIA,-0.021243362178132767,-0.008871197077599563,0.048944305874463176
COL4A4,-0.018796045142505494,,0.005655238976496437
TAC1,-0.016229755899074494,,0.0036892915432008735
RARRES2,0.013109276558112162,0.009685870722207893,0.08387326245128274
FGF7,-0.008475309181998658,0.0013131596637335798,-0.01756984584987689
HBEGF,-0.0429517886801274,0.060321076545628786,0.03234776299451166
CSF3,,0.0020300325025692637,0.0684174692447977
PI3,,,0.02309590653866205
PCSK1N,0.004734990762336567,-0.02865075831266359,-0.05019816352410498
SFRP1,-0.023614704793329576,-0.017228052674758614,0.1451291654014739
CXCL13,,0.010500541616343765,0.014308975673965205
MICA,0.03911906479241425,-0.05757983642321695,0.04045277060563675
TG,-0.018796040906744353,0.073084544846434,-0.0277898626373589
ADA,-0.04159542193454015,-0.007307051744347133,0.024945952131849313
LAMC3,0.014019627955883568,-0.003233890471150412,-0.026007107718807737
CCL7,,,0.049352622961311036
NGF,,0.005023272281188434,0.0515893664066676
TNFSF15,,-0.01739948013814289,0.04000236497056612
HMGB1,0.022346231976376935,0.00900941988729686,-0.03908480819015626
ITGB3BP,-0.03690531942468255,-0.029176994138267992,0.0723977337746813
AANAT,,,-0.018983011008054804
RELN,-0.01558241623519058,,-0.03559895454653933
IL15,0.016854905365623205,0.010502151224029813,-0.017821524237163835
BSG,0.02701840358563885,-0.016845562077531677,0.06109414963695643
ADAMTS3,-0.07146074911871869,0.0032145292162612748,-0.020510260252235277
CD34,-0.050495184279381274,-0.01451307539498092,0.012004968889684756
PLAT,-0.006375458965754989,0.024694376216886305,-0.027494889536913505
NTF3,,0.020126571263718553,
CKLF,-0.019067463344603772,0.042028754447271645,0.01081402273226117
APELA,,0.01646392458456502,
CD24,-0.019042548405141392,0.011628869384576444,-0.041460129850149616
HSP90AA1,-0.01988487928708905,-0.021807720374848797,-0.0466223172253708
BMP4,-0.019343854815518948,-0.02946383733505449,-0.042699489603265625
SCGB3A1,,0.0060598035617347975,-0.03814647067451114
IGFBP4,-0.02571262348387796,-0.014362312102329411,-0.005013442498243936
RSPO4,,,-0.023936824946952373
LEFTY2,-0.018610199218267502,0.05847530341873383,-0.046785315716350265
PF4,,,-0.018751069438741823
ANGPTL2,-0.03923212488159475,-0.021346612451968075,0.009277538904775994
