,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,-0.017553682747888034,,,,,,,-0.017996416698503635,,
BMP1,-0.027904469902742795,0.06341940118932494,-0.00815935034286578,0.04619806330843651,0.03494066702825463,0.02660688720462374,0.038660268241503024,0.00510977221963582,0.04695289932901535,-0.06008193397774588,0.02421791695070169,0.00938902984565349,0.09901101003223867,0.006577782474655919,0.02803101482910956
NDP,0.0682776015475518,-0.012167115580010003,0.09953023714063343,-0.005207615111538505,0.01317153504537634,-0.028022537706565893,0.06762470048500381,0.008584887501186701,-0.0018810458542104734,0.08126868300374894,0.037694882560739676,0.03389244073330052,0.030509412969171746,-0.04241137113301764,-0.0035205910385869045
TNFSF18,-0.036591118939702516,0.10456858807975837,,,-0.017240376019402422,0.003584770167943244,-0.016401180237526666,,,,,,-0.018559386885757742,,0.10226177428864783
IL36G,,,,,,,,,,0.0038623938646211685,,,,,
RTN4,0.05775963948685967,-0.044278776773483346,0.019861257261001,0.033055637098862736,-0.0404330496210198,-0.010081359566696717,0.01007900987841846,-0.020491466494713808,-0.021214525793394036,0.06709068755708018,0.020859292427648154,-0.03340520921990375,-0.1459011112347258,0.09683758065262017,0.024283289253782352
HEBP1,0.017369595801389505,0.04572560321135869,0.06243706278983273,-0.056049843598782324,0.10974864676133987,0.018688591799161502,0.012661794581464832,-0.0022918231403531125,0.02809303435879757,0.05645136004949413,0.08855518787452481,0.008666133546377066,0.004795729909180727,-0.014597082819046788,0.0881403168536849
WNT7B,-0.027907305285314758,-0.001310745149711001,-0.03348780924052367,-0.00880243298639603,0.009778779074972231,0.02684936000879848,-0.009585172522577233,-0.017435752800046913,0.023358648457323054,0.058350315658211874,-0.021613608815477487,-0.007131651930054542,-0.03880917939345115,-0.0277974998631257,-0.04009946715406069
PTMA,0.018500307035858907,-0.020761333488651834,-0.0474116050382775,0.0037727677377439074,0.09796380036620814,0.017038171286989118,-0.005723636496481092,0.027502500779091277,0.0525514990554163,-0.09472756276903041,-0.010748380275680704,-0.046612624124971316,-0.049037261038279524,-0.04614202795410407,-0.009304764198128819
CEACAM1,-0.023289244400000225,-0.01429630056714587,,-0.033933070300470984,,0.05743502569969039,0.0473041228904335,,,,-0.02789062907872479,0.015179905977848551,0.06955907603923779,-0.030344184767089777,
PDAP1,0.1007699080247595,-0.004087800461494786,0.02035572521885834,0.07008862525154957,0.03617194865841754,0.031918380345098654,0.04291938053009348,0.07440781108459177,0.04362572211084279,-0.060083352602650957,0.07308522057727448,-0.007464710718346328,0.020541340325432287,0.027166825547025403,0.013109375536214423
QDPR,0.05171810006762085,0.02731509260305153,-0.05752382022022225,0.002236583923765403,-0.001231534635371503,-0.07328667900113092,-0.002234870014652497,0.04792053757521927,-0.009986941220106715,-0.007027482150328874,-0.019440320400719576,0.043592488694175174,-0.15402745758435368,0.03201321760751109,-0.027485111850515942
POMC,0.011913215388456671,-0.025402245238890016,,0.047554741921423165,0.012372953685155683,0.05484016469093416,0.04087276759291091,0.05605816889258589,0.09182223344534392,-0.024609341186390646,-0.05236812071601003,-0.006068964563117138,-0.018302448937260185,0.0660765544088753,-0.01728183277055707
CCL18,-0.029062776549599666,,,,,,,,0.03461739371332094,,-0.017163674509199815,-0.03705947575384687,,-0.029429731546520906,
CCL17,,,,-0.019668027244667083,,,-0.020455464967905186,-0.02158057423747931,,-0.014899814937242085,-0.019787051386961848,-0.005671155914423371,-0.0023571459102512803,,
VEGFD,0.01899774006063164,-0.020476582304715867,,-0.021912354285309982,,-0.0028038111988689268,0.02822334785460866,-0.015829612186258786,-0.017599375989122687,-0.015968593165228064,,-0.0028496911449860537,0.015515593994683793,,
TNFSF13,0.00940684342416937,,,0.04911388691169371,0.0488377032560885,,,,,,0.031449280815989474,0.050639368881414626,0.0941173331907176,0.05519866631553966,0.023467917341239167
WNT5A,0.035255833986320345,-0.006467624118460334,-0.020503548307323514,0.005269151253317399,0.0413036331618179,0.024450381611549804,0.030195223259251343,0.03759263814584676,-0.004025490761170199,0.02493681158262274,-0.021413841781595076,0.016218853282857007,0.006707333176406019,-0.056534612544783765,0.04719738635907305
