,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.04928670981375231,,,,,,,,,,-0.026194752068824313,,,0.021057695178423798,
BMP1,0.042717602207499816,-0.04128395474842395,0.015145052996831143,0.021389017601431436,-0.04050322490194635,0.0035295219216055153,0.13965377497859824,-0.03418684443604323,-0.03393910644037157,0.04212308839435892,0.02557646875585478,-0.05987582320522936,0.05723863818143903,0.06776463482383813,0.03988775634196761,0.02908565840707241,0.04176433737466855,-0.025127664132974795,-0.025009963091021697,0.11025178557565223,0.053485755682367936
NDP,-0.0016896148441710624,0.043763789084400484,-0.002380856260234008,0.062175706906851654,-0.014060396400317577,0.03346644734034279,-0.040201906835604664,0.0007614475927892488,-0.00441350873827396,-0.06339265371977909,0.007435276843837179,0.08808403216606243,-0.03814253292872426,-0.018531539681610473,-0.009838795924225156,0.06809504195930256,0.0044837390762638854,-0.09165830917964195,-0.03771430933919694,-0.026568646321757834,0.06841301422754603
TNFSF18,0.059205774734637555,-0.019872593381385046,0.021515426523650467,,,-0.012399099739836949,-0.007180100864389178,-0.016905245338883608,,,,-0.023342039010287564,,-0.0246503620347933,,,-0.02701418544405212,,-0.033140132580972814,0.1110216747930826,-0.030413537337910898
IL36G,,,,,,,,,,,-0.016810361199244644,,,,,,,,,,
RTN4,0.042511310354109474,0.012488932366628848,-0.0012442667698105887,0.01872277027708248,0.022456409345209285,-0.026064345802583964,-0.07280661223584248,0.015911298809509606,-0.05284786563682879,0.044892839213273465,0.0061367061741433235,-0.04435503424925731,0.002820713345716188,-0.08363669938484271,-0.04148763653606798,0.014736994254543855,0.008799889640336477,0.027708562799644055,-0.05460948153091375,0.01121687268500153,-0.13820753577100656
HEBP1,-0.03439325714756733,0.04863074758807689,-0.005149913210502263,0.0035264019642399845,0.009678553603897863,-0.011820731201439406,0.012523490314197364,0.02000668264715783,0.025580324479061046,-0.029600333082706095,0.04114498228811028,-0.047655581662713484,0.12588525833259379,0.026184537661638578,0.0027798426075523936,0.11650097628497641,-0.007364949472226739,-0.011472668921341828,-0.042525063717098015,0.00491660909529807,0.09712981262245904
WNT7B,0.05779905700099211,-0.04638285385923646,-0.027940830380598546,-0.03760228252547154,0.15075478062139297,-0.003599059293339987,-0.048263190678668,-0.0364426816503612,-0.02510332777025575,,8.344474977553492e-05,-0.02569730664104196,-0.010674190901045651,,-0.031854573502233516,-0.0437797564334358,0.002314057893029578,0.019281200793618513,-0.03314009821714481,0.13953989931719532,-0.004685575065553054
PTMA,-0.05393927332430698,0.059019540832089545,0.02453292523219417,-0.001932347226797633,-0.05686360831326311,-0.03133126960577492,-0.09133767216174442,-0.03880848588263679,0.07005734843281484,0.013104316835665777,0.004552140008460505,-0.029560253502992108,-0.0620417843167392,0.018921397524704807,-0.08593813464424896,-0.062988417529855,0.09842833613288936,0.044319706006880795,-0.06286357490109562,0.06342013405498821,-0.028617051870254935
FASLG,0.007902539109810107,,,,,,,,,,,,,,,,,,,-0.023159867397916895,
