,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.058583392907770926,,,,,,,,,-0.02032217291683725,,-0.021486821682151325,
BMP1,-0.006248262207262184,-0.030321430388095514,0.002960274985196201,0.04489099818495494,0.13142726001372387,0.0762836816640527,0.034260904215799165,0.019232506014666258,0.0050664634793167115,-0.05057554618199725,0.04186669453237905,-0.00803880364557986,0.0007431855062410785,-0.006383004028224836,-0.068665169550518,0.0022020873130862086,0.033936161037739936
NDP,-0.06061801032225407,-0.000538376794726067,-0.054254553895353184,0.001531869456198729,0.03436488288545203,-0.005902611480156536,-0.01838409707783408,0.009883391420381048,-0.036373315620685784,-0.035812577798165955,0.0396559722297784,0.0531392159280378,0.007094093687444366,0.021990614704089348,-0.017432788078954833,0.043191079047606974,-0.055991573325984895
TNFSF18,-0.007758664107983219,,,-0.01413067783850153,0.08489199778409076,-0.0032325887725386778,,,,0.05256833245570286,,,,-0.020957898221717168,,-0.024153124093478764,0.08078080587476781
IL36G,,,,,,,,0.030482234204213397,,,,,,,,,
RTN4,0.013114483770199728,-0.054812657671572944,-0.017888120652155847,-0.03432080890428378,-0.12312701225825592,-0.02837603166545642,-0.05455315740476245,0.04745356318260442,0.05315088356696879,0.07028766389496202,-0.0027364080378644547,0.014813735286752835,-0.020455341968865327,0.014026115313066436,-0.04458660583020762,0.01925625227767696,0.0015796757687693995
HEBP1,0.023700370495738678,0.031135289081866694,0.043929234995825,0.025828256590946973,0.08730834394147528,-0.028942880670379704,-0.01080750056812314,0.019849077334690587,-0.062444504222952,0.05489980058743724,0.05358132738086682,0.006176811970064173,0.017597481427229066,0.014245426301023757,-0.09361297769539577,0.03205558577823779,-0.023324658319494908
WNT7B,-0.0007753264023034845,-0.03453143177247682,-0.0005581498510566664,0.017008344140496772,-0.058085824116823316,0.03691433618199148,-0.011723841987057835,0.004062318660994763,0.015232620055390833,,-0.040001619298460904,0.052635575045940734,-0.025695044163303905,0.005331641746216968,-0.027906701856779844,0.041705364165465005,-0.06075706828664721
PTMA,-0.010621019516535771,-0.009052228750445477,-0.02799692443072648,0.03408034729306326,-0.12670312202423054,-0.03193320374186949,0.047966412329627534,-0.047838863222169,-0.07668791735507033,0.08886766968246491,-0.046011627549558065,-0.01988476217114933,0.04905738405190142,-0.019701553388860045,-0.06634491948940702,-0.03409900575765047,0.07452035551995144
FASLG,,,,,,,,,,,,,,,,0.02603511543632363,
CEACAM1,-0.014296301592682489,0.015068732625058465,-0.014777320781550952,,0.16075203376607144,-0.01866318356893775,,,0.16964733670757218,-0.004648611154151639,-0.03587409290672582,-0.028824026809339334,0.07776218808467274,0.035055724752977,-0.018522083889057052,-0.025928579440287133,
PDAP1,0.02412177142628151,0.02315665554765293,-0.04852191350095537,-0.016320851918880178,0.13967262388699866,-0.00821014714623929,0.023112709545784618,-0.059574466909333386,0.004340477104660198,-0.015475512333961135,0.038180947257622305,0.08069228219526169,0.1263931197455488,-0.011687024899155343,-0.04864512930615119,-0.008753879747495577,-0.002764015358166425
QDPR,0.029973079637531142,-0.014249006179113002,0.07816864006129078,-0.01976876736587021,-0.08872607010844362,0.01681016275632982,-0.011181605067934202,0.07393201808035745,-0.0012514139802394973,0.0024352485045381063,-0.07608182431089881,0.07629563678849484,0.06055132838887859,0.01377947900110487,0.017456173691016184,0.03268154676874479,-0.10767039794482071
POMC,0.027540881375941746,0.1361239351503318,-0.029735463837070805,-0.017806386067747777,-0.025827104645047564,-0.021282463575706054,0.005832793246335315,-0.031923022397127424,0.0008963116340550965,-0.03839232876787093,0.021462021849807156,0.05191752026915371,0.0384064296707267,0.035116899032827206,-0.004176494625077428,0.07039744283560953,0.15968509146173243
CCL18,,,,,,,,,-0.040893325921606376,,-0.02543532169753581,0.0342729622709273,-0.03689644327534424,,-0.03479553890193652,,
CCL17,,0.01720156810735176,,,,-0.022875891615121272,-0.01451082985929336,-0.013611407871733427,,,,-0.020449251899112793,-0.03095421256382873,0.012286506651737916,,-0.016890999504648653,
VEGFD,-0.0043273867940746055,-0.0309653953137251,-0.014138103859097145,,-0.020600225228865964,-0.0009238361070090364,-0.010643869187432152,-0.014587767406856507,-0.04607090276252373,-0.04572200803147665,,,0.016340422847721935,-0.028258989859742942,,,
TNFSF13,,-0.019171561536099693,,0.01284874853876138,,,,,,,,0.016792980038882115,0.029405421671959187,-0.02873268285033116,-0.02079905881039068,-0.027522473858380758,-0.030398153783244182
WNT5A,0.019183042707269934,0.016062528559080073,0.04138164908578308,0.06983181600285836,0.18036159573664842,0.0555084105596592,0.04526728274714907,0.013235024614475564,0.09010264649676906,-0.004419932665838756,0.043188715477445204,-0.017834527060902376,-0.05483930186947852,0.022590070695525245,0.034869445805911184,-0.014217042066339143,-0.04521329502473647
CXCL8,-0.01917305935976401,0.03857832945200451,-0.050579474435194116,-0.019492780448950784,0.07676970426651707,0.010047816676227119,-0.009912033798155362,-0.04385983478692429,0.03411055991560135,0.08866037457246478,-0.04478288846779795,-0.04996465246889415,-0.0020127841035645477,0.031344574399850826,0.035569104994197395,0.0037884427402217528,0.03680996068665228
GRN,-0.011750474598212697,-0.02798714084971336,0.016903542330305832,0.035651756696280956,0.10607876135156352,0.009070342104352886,-0.07223715215732207,0.03407518107756024,-0.08477629447913483,0.023563587396683374,0.018087157154509387,0.03669732923887116,-0.030445527545511303,-0.03409262519170123,0.015150944728704843,-0.003422492927340299,0.06751423246033883
MIA,0.016940924458693656,0.020254324870899305,0.02180580902472293,0.004452729789496196,0.08988690489960317,0.026320490868969725,-0.01210515962272514,0.015235989948720226,0.052848253590938955,0.01036699007057151,0.07680492960424877,0.019181594736236162,0.01631021208609893,0.0018592277979685352,0.02046457124378783,0.03383111595883066,0.004237433512474221
COL4A4,-0.007898745500732031,-0.043096467714992814,0.02808745376410696,-0.013038569468285492,0.009487364480766867,-0.023883138595882498,-0.020335705474768713,0.016060029439850722,,-0.009314210413951479,-0.03215819397516083,0.044184897465723814,0.07473457347237053,-0.04127339200671491,-0.027366809778869173,-0.011251764669773038,0.028608581043352056
TAC1,0.0032145566400967698,0.020712639706912457,0.039185396513700656,0.032701456225405205,-0.10598653215021302,-0.002421306622564403,0.026135616172055974,0.029261082803533765,,,,,,,-0.031955871326045694,-0.022204936397982072,0.03143869462093958
