,UKF248,UKF334,ZH1007nec,ZH1019T1,ZH8811Bbulk
BMP1,0.006528562981026968,0.05722360230908844,0.05578913260945552,0.00403304257379906,-0.019461478534385953
NDP,0.04563434132776532,0.012321448708556717,0.04537447288347302,0.026767497321652196,0.04857249786729652
TNFSF18,0.011914834313238783,,,-0.042876821569321114,
IL36G,,0.007846694310641215,,,
RTN4,0.03328275605009612,-0.05956909065025609,-0.022849872920636043,-0.012840915891853405,-0.021939136888280693
HEBP1,0.005785684106566294,0.04874132879388673,0.10304950665913742,0.007193609681116534,0.005432012867799525
WNT7B,-0.000491661071791696,0.045885145238976015,0.04361314415253879,,0.059452260565211815
PTMA,-0.012637170094461305,-0.0063394627274428504,0.057967263531274946,-0.06978886343470178,0.010604042557214996
CEACAM1,-0.019877315258942273,,0.04291289847659893,-0.03014968237608616,-0.015399746388770199
PDAP1,0.06670442993361864,0.017695895274447183,0.14396624390067872,0.06123598208946063,-0.03538842019682289
QDPR,0.06071356235071283,-0.0677596116539247,0.007826058694221866,-0.04859405046617742,0.009978272347102003
POMC,-0.03095782425045434,-0.010879223470606176,-0.051895669383520485,-0.06487907198993545,0.05774574294442869
CCL18,-0.024805011354365008,,-0.04142336785136349,,-0.0036453302080800124
CCL17,,-0.013611407980034518,,,-0.003778677946770388
VEGFD,-0.024805019231117904,0.009018716822000722,0.19059316852594552,-0.040987832495340895,-0.015399746388770199
TNFSF13,-0.01871866350019957,,,,-0.007292693492159638
WNT5A,0.0023326666242315824,-0.0366414518398504,-0.035362468724394684,-0.06122189294072747,-0.01727204450447319
CXCL8,-0.025501301782639495,0.07966079875796189,-0.12529863897004528,-0.06000746343108068,-0.013202567188841264
GRN,0.00798878596895476,0.004950770440947989,-0.06751262916862445,-0.021308637090252953,-0.03309953667833331
MIA,0.05247955970229081,-0.019978616144442442,0.005105235834848227,0.1256348513789537,0.03780369637800537
COL4A4,-0.029790617101679354,-0.019379998848755558,,-0.0030185953119431686,0.02603416518259398
TAC1,0.04355900530600812,0.019376715392777726,,,
RARRES2,-0.018579502935004075,0.017403423163132686,-0.08007331393425836,0.07939194468800125,0.02639320858702833
FGF7,,-0.03853320172734294,-0.04961569522616606,-0.06868092325347487,-0.008783003617825582
EFNA2,,,,,-0.014636428344109985
HBEGF,0.0038877910671531114,-0.045933068550974544,-0.046481344628076564,-0.041134584508500965,0.02984614570539573
CSF3,,,,,0.011529846754875544
PI3,-0.02609591776758369,,0.002958449017830057,,-0.05087594789169372
PCSK1N,0.06085120754637429,-0.03837334279676448,0.019900573505257244,-0.0473474345433507,-0.04014029051155176
NTS,,,,,-0.017831710478542828
SFRP1,0.034914710216678475,0.021110316885470912,-0.014614909584409544,-0.023683401983889064,-0.05260764005970604
CXCL13,,,,,0.020916373609453004
MICA,0.030101013750799207,0.06244531408993133,0.04791196156076459,0.039511867389661955,0.052875455302712426
TG,-0.03027665772041234,-0.020446255395678906,0.012260948246387187,-0.06546222940088159,0.016007333927304464
