,UKF248,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,,,,0.03783687867861774
BMP1,0.11500895031847827,0.1461014923873035,0.22094035491202574,0.047732048995376294,0.13180284873722553,0.26321731325428527
NDP,0.043307466825939576,0.19093832912227532,0.03836783610561612,-0.033925506742105475,0.011238218629515146,-0.0788568577614581
TNFSF18,0.035690159656063244,-0.039577525852605946,,0.03925732590134654,,0.17533600569844962
RTN4,0.022105389310303813,-0.004773495109804566,-0.028207138559391418,0.04413025479142177,-0.051974358062759116,-0.07808538495934354
HEBP1,0.0011384909983788497,-0.005067593530411285,-0.0009634576203097152,-0.071287884400437,0.0033727546952490753,0.06098344456608793
WNT7B,-0.006454045620300011,0.04656065706229667,0.04635308462673118,,0.03277784725422331,0.1926704600662728
PTMA,0.09320617358161137,0.10722973448198758,-0.03715864333408948,-0.020848631532628007,-0.08068219037291997,0.18079000478379584
FASLG,,,,,,0.021039331105762005
CEACAM1,-0.002780292215461895,,-0.05691391093533636,-0.03149471186910501,-0.03587408896256832,0.010722501118098504
PDAP1,0.04278531869468136,0.013205374170050205,0.022078532153158543,-0.07348047980579919,-0.020815142464496957,-0.06670106646710332
QDPR,-0.04560272624684411,-0.03610027575368493,0.06619461812510707,0.044179743606046463,-0.12546995630035168,-0.02725301424211589
POMC,0.023806693869846247,0.01730501679041862,-0.011274108793052313,0.07646047505320544,0.1511334540820506,0.10959969598967129
CCL18,-0.03556992820585608,,0.020254912417942864,,-0.025435318901063292,
CCL17,,,,,,-0.0002925428498689864
VEGFD,0.004934368461615691,,-0.014350643354026492,-0.04281637061635531,,
TNFSF13,0.05272249333495127,,,,,0.0957960179695194
WNT5A,0.045963630975035016,0.06038067125908538,0.004755186810378472,-0.052346249549519476,0.04458649786571742,0.03702371984536304
CXCL8,0.006145153329577462,,-0.05600355571591556,0.04160237002079798,-0.044782883544167804,-0.024763801893964835
GRN,0.17102377334559912,0.08219414391102489,-0.006326969011252884,0.13343592937004975,0.1023588913685117,0.17169729024868602
MIA,0.01523827142164419,0.08641584775393822,-0.09725648642172524,0.11613686219076151,-0.032091362643473176,0.06457259429714168
COL4A4,0.057342589035003576,,,0.07964038383271989,-0.0321581904395458,-0.0029700216388143974
TAC1,-0.00922475970985413,,,,,0.014172597319799881
RARRES2,-0.0307085477375482,-0.035611083195146304,-0.09239903350238943,0.0377220007672551,-0.0028303530920786536,-0.05753053221420096
FGF7,,0.015775312769134648,-0.09564304359597438,0.0012020295365476913,-0.008597540491558564,-0.0004502604461375517
