,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.02204686091327946,,,,,,,,,0.09512548888974955,,-0.005523234689182469,
BMP1,0.0782152853358271,-0.024706142397577457,0.00467069077260798,-0.0060262943740169465,-0.017485942565076625,0.01826647934370122,0.0956321221095126,-0.005232174465250736,0.002792799836276661,0.0006327652503290927,0.00794211831688055,0.1014387715445794,0.043708645717293264,-0.09594444175841085,-0.02091999493191503,-0.0002213604067041647,0.05431109495680456,-0.02671547786437298,0.0507645178469726,0.05644249507158984
NDP,0.026014001171899177,-0.018300734579718526,0.04272981063713546,-0.013977291226441651,0.007369824826602502,0.02565700897680979,0.012880036361324426,0.0038209713228578414,0.02926891327703188,0.010747442771252386,0.06385413840843453,0.07556342483108436,-0.03825167085076607,0.03427241000907538,0.0773979405696851,0.07722530056908226,-0.020063603798340695,-0.027314294836419426,0.007447464578160529,-0.008518006246595593
TNFSF18,-0.02551762593340897,0.08691868060680788,-0.03180275707572841,,,,0.13007431784102277,0.13482804005888194,0.14275030503374792,,,-0.0321918910970156,,0.04972806006900538,,,-0.018327150344035592,,0.04783000976069215,0.030540115486676248
RTN4,-0.029921796682031012,-0.03093716702517525,-0.05335514828592629,-0.010228992074532746,-0.00925068397684578,0.0216758521071367,-0.12596469024615267,-0.05056252786919527,-0.021987112093609883,0.029151933182471047,-0.012222051016483335,-0.03231580530388531,0.011630684698871538,0.022401283435772995,0.011413684865419558,-0.04886771853717787,-0.041402322451025333,0.11394207324068155,-0.020790772209037935,-0.15931963379330003
HEBP1,-0.02072818821930796,0.01568093369739665,-0.023994573458907122,0.04123897279652422,0.02914617332934679,-0.014919249783751495,-0.011645380407703753,0.03662830524992336,-0.03406699173295813,-0.03390296286692984,0.004785189565385328,0.06991623721023305,-0.05282190678601317,-0.0329397597042809,0.010897078536536445,0.09717365390262467,-0.022639184686529045,0.030745107194955178,-0.002169644105102396,0.04465793473009348
WNT7B,-0.0595584225867897,0.020583926068151185,0.09596293510758971,-0.043623865209126145,-0.006326125538841843,0.002709093757619354,-0.01126818872925318,-0.0023416643972709304,0.026419723114481885,-0.011246855396774986,-0.011831858082064025,-0.014882230546500615,0.0599965424331192,,0.013542490195849768,0.014575501686646926,-0.024529792540801176,0.006171942400154671,0.07161860354676702,0.04327618138374786
PTMA,-0.11336392554588934,0.01177349678287365,0.019370945409653843,-0.00027970377400278934,0.013938100871304968,-0.0009070906532077803,0.1391562317437945,-0.059421413143687145,-0.07186351303446299,0.006657813458322486,0.018916564400845468,0.01781330083262493,-0.1641906899930134,0.012996996951287823,-0.043345260392219566,-0.03975254148077559,0.028638777373837902,0.0702588632304245,0.051784085300047536,0.028611836766847316
FASLG,,,,,,,,,,,,,,,,,,,0.016861472826281854,
CEACAM1,,-0.003609722955446653,-0.015160687480570553,,0.04818384696641728,-0.014777320781550952,,-0.03412656744525474,-0.024813364262946752,,,,0.0862864687644661,0.05276861371423764,-0.0313087211432287,0.014436261880507612,0.011667246593736573,0.059824644581488375,-0.006302923282041652,
PDAP1,-0.0037581267803857656,-0.04306780299098496,0.0032396015691264326,-0.00432053353642383,0.024367143273768162,-0.005272098729674649,0.06577249788002824,0.027667616682137443,0.011061514525187988,0.007434883124232501,0.04615469902314409,0.038560565394015964,-0.05750079603772012,0.008919747018069402,-0.03532210100651139,-0.012685775425544553,0.010867870516371026,5.1181353304378676e-05,0.002131016616300569,0.066079943675082
QDPR,0.006951226339836156,0.01925069941971538,-0.07621747393020671,0.07559786901642672,0.04082325057952132,-0.05758450084663185,-0.04782039538955508,-0.05030804326368253,0.009861854138463919,0.008368969758593447,0.03171651376599358,-0.028576522287495305,0.1211258602960533,0.04715206341685969,-0.003054069753587481,0.09757068934368669,0.02697481259401627,-0.06552056476441502,-0.011129013911457467,-0.10922681712114399
POMC,-0.04818153631431416,-0.019897267994633216,-0.026938122877512204,,-0.009253345872937099,0.04668246402649896,-0.03406908566186824,0.10478259631537375,-0.003370987631202358,-0.019983842507639973,-0.026630968938181614,-0.007504624864546437,-0.03175742525458678,-0.03556448756066569,-0.015383782442055014,0.13233455409375733,0.013334247842208621,-0.025120971209447552,0.011808579506237215,-0.04853300877031104
CCL18,0.00025267492744025555,-0.02650833420075597,,,,,,,,,0.032631754040742256,,-0.07042112580395021,,0.046964836143731745,0.09546536606060138,,-0.030762641981383097,,
CCL17,,,,,-0.022112119377833424,,,,0.00835203528488241,-0.013920454173200043,,,,,-0.022212022266421036,-0.04970164915692636,-0.023430333200900953,,-0.025608488437621573,
