,UKF243,UKF248,UKF260,UKF266,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.07469130222696702,
BMP1,-0.012612516298518355,0.04337198118474333,-0.01220868280419109,0.004133242223142968,-0.02495891904508221,0.04552771649340354,0.03762586143174098,-0.010646591275996898
NDP,-0.05830351750785247,-0.002471387713230033,0.025322072974990832,-0.022857600399221845,0.036010501782641056,0.008065551540640217,-0.06747311033066981,-0.03905268166998352
TNFSF18,-0.0195811466710045,-0.026228443440523,,0.09784016465721437,,,0.15542041603662668,0.013866326733567991
RTN4,-0.05151673792976425,0.07864140475596625,0.058530674305703946,-0.048680614582662415,-0.026999178368913294,-0.04693717484386467,0.03827135008868653,0.013927877872377502
HEBP1,0.021015301015660574,0.023000892356932028,-0.051793226567700135,0.0409502957879151,-0.02726526163592305,-0.018061563586118653,-0.013239182883894448,-0.037309294472705805
WNT7B,0.010143086029900855,-0.012193274980034391,0.021258602507107694,-0.02110884635606761,-0.00344499351701216,0.13027265887394202,0.10846150800989535,0.0977802366900179
PTMA,0.05256650033984526,0.005994407288093761,0.04495642129348565,0.011721905229243351,-0.028290026999648662,0.007655073023123653,0.06744577931337031,-0.03624005808484037
FASLG,,,,,,,-0.015772854096882317,
CEACAM1,,-0.016693685441117836,-0.017345621969358228,,0.030437161066554027,-0.0009824786563382994,-0.021945609865219217,
PDAP1,0.01576293637306479,-0.0060508404093865134,-0.02273262226254981,0.05521529914653783,0.04629039919521729,-0.0423408160006497,-0.005009336323726988,0.04771651183805209
QDPR,-0.04660615478395576,0.024053984515852757,-0.0036992766171401598,-0.023622531552195188,-9.346619834246523e-05,-0.09059775355580096,0.00820949311037357,-0.07548317042040296
POMC,-0.020002844212508232,-0.02050961298684437,0.04899755670448762,0.09208747105170109,0.02244323193562078,-0.010551747475428305,-0.007476112513119477,0.013822635798882653
CCL18,-0.0038671850598373746,-0.020832142143886304,,,-0.03332794012853319,0.08413626377457901,,
CCL17,,,,,-0.01292061141827593,0.12720719978438183,-0.01429632063786235,
VEGFD,-0.02958726317571179,-0.02083214875906715,-0.016595309023107314,,,-0.0008793183504677001,,
TNFSF13,,-0.01572060795332445,,-0.012721404133893565,-0.024792712606062355,-0.007466443244534225,0.047307637553486076,-0.002054134648056614
WNT5A,0.01742719403303102,0.025332399822011423,-0.04989870836067323,0.02253315575510158,0.02807988778993506,0.006561043830457182,0.0014878137488149883,0.020601917240681677
CXCL8,0.04118091000267226,0.04388366527662329,0.017424118595732417,0.06318634323052764,0.007374108335349303,0.11409619021342737,0.056185902567533724,0.019427544748234823
GRN,-0.004808972341855672,-0.007132901189637523,-0.034487600870683505,-0.0018206393624743938,-0.001501590416716634,-0.06302866799162543,0.03700902242177644,0.01694643993375385
MIA,0.012706788063470942,0.04294328527959658,0.009633976343539186,0.05803561046883602,0.024355244414220757,0.01526463425847761,-0.003434200176670016,0.11521993536320553
COL4A4,-0.029784743984038305,-0.01173148193951266,-0.06323831574048706,0.1093305204901354,0.08248538899190044,-0.03299461758481894,0.05507098218167701,0.010244616129611047
TAC1,-0.0373030697926201,-0.002833322703596876,0.08522849533959762,-0.0206409491312701,,,0.07115571124711108,0.056255812549303716
RARRES2,-0.07563363370294318,0.003216045235642604,0.0036365345831069593,0.019829062512485392,0.04467341520641426,0.017732327377037692,0.045126420801474026,0.09844745187758522
FGF7,-0.011138329343464091,,0.18333095847124392,0.05362686012813451,0.041243441823154994,-0.05880111488130864,0.017644149006029283,0.08278749185114155
EFNA2,,,,,,-0.019585330151220815,,
HBEGF,0.06011313886762224,0.003160605683385656,0.007239717126886583,0.006275963393874919,0.04294455230379961,-0.02523919450649454,0.05473836438063277,0.06732315015054063
CSF3,0.008636048580240828,,0.1353355790463602,,0.022660301814893535,0.07501897396535687,-0.015051820163901967,0.01791038076893418
PI3,0.015445640309589951,-0.02191629185502497,0.04765372043577842,,-0.018413855948001188,0.05197687636297704,-0.03270260473912709,0.06776266048917222
PCSK1N,-0.023918073503871533,-0.024384168258428783,-0.005382972376405653,0.0029465019158937886,-0.03282798360370324,-0.07991275115002855,-0.01808977920877321,-0.05093575020147184
NTS,,,-0.04876513670629176,-0.014776055635085356,0.04577007443600493,-0.023861008209956267,-0.022289693178215886,
SFRP1,0.022985793835722614,0.05787406366711222,-0.01893237367239039,-0.0024464522189296747,-0.015656237239783793,-0.014555259502160467,-0.0031424846005823626,0.03543413658240787
CXCL13,,,-0.018762224086795228,,0.07601441339950313,0.06871963972099418,,0.011890010066489098
MICA,0.08470532526688933,-0.02425210180466294,0.001112203211188214,-0.03136266274862556,0.05160736486085701,0.04475228465037006,-0.0036510381969963685,0.046236229060359214
TG,-0.023743176153779123,0.05962647343729296,-0.001558258534590526,-0.01705546336730421,-0.01716826223689758,0.026124770039311764,0.027832827058485752,0.13638791415107765
ADA,-0.03511227870125629,0.03648981558680626,-0.00043083833426025143,0.02360193395086929,0.032305608334996794,-0.06473744962358956,0.08693759311850457,-0.009700088964763843
LAMC3,-0.027092746697974925,0.01848269992534498,-0.004965665714417787,0.012983816406625296,-0.03546272797494346,-0.03950348633586999,0.03940084195296867,-0.02221364964454881
CCL7,,-0.013251002256324836,0.13857135615012864,,-0.019365018307028876,,-0.01577284848824367,0.028319703813226762
NGF,0.22152341579424753,-0.02275131284144601,0.05888285647598378,0.07642132486108809,-0.022365045857686613,-0.0193220703639133,0.05758921766992587,0.02316004706883104
