,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.03165677588040766,,,,,,,,,,,0.016354889625097846,,-0.014258219201114074,,
BMP1,-0.016253047159111522,0.03168005040650273,-0.008027851364167502,0.06588001823437166,0.10943612218176131,-0.004874216703481556,0.054629685442344034,0.06934977564320456,0.08330991903105874,-0.0023095247779765515,0.008383839502754096,-0.047856530627301865,0.056604217277967786,0.04405965660659891,0.01752011249882431,0.0318826317284735,0.07792324893876902,-0.006041571699048537,-0.09437665553916823,0.03311738750451718,-0.006885705374545549,0.03170407828041353,0.055248634333504285,-0.0432179754773617
NDP,0.010014951566001474,-0.034264567320090644,0.009432296942913157,0.003861351920597163,0.05097293713339435,-0.03926101910199473,0.06050083912844539,0.0022524987356394755,0.01211052202549819,0.021839734089395893,-0.030750708582845617,-0.016154624096233746,0.07199045794417543,-0.04387097751580377,0.09434099889316135,0.08129961024896593,0.013638195005407115,0.013316988683918927,0.03744951675660377,0.006836852337453587,-0.038338816083425833,0.09516332673306814,0.05643372530467681,0.115125102719026
TNFSF18,-0.021153798145691443,-0.02481609578690391,-0.04681216190367712,-0.00979186768394333,,,,0.004252645082972926,0.04902225852795772,-0.025614070837714515,,,,0.09578092059887897,,0.008738917961177496,,,,0.055497953417462616,,0.04175728820096466,-0.021354950350690904,
IL36G,,,,,,,,,,,,,-0.021303044305900524,,,,,,,,,,,
RTN4,-0.09584115496690161,0.018183489735875434,0.045312920106264296,-0.029427599218820134,0.022346225154642366,-0.02994368810054452,0.022273276423582924,-0.058721485318116044,-0.12316094922578981,-6.879174074190316e-05,-0.01364612294266284,-0.04007137954035531,-0.04909862137275106,-0.07240223063998358,-0.000499007432038132,0.010838888470652,-0.03950044786609552,-0.03252545701535534,-0.027189198638124402,-0.045825485325930664,0.05421547028209278,-0.029219968108899368,-0.12709930700203956,0.00902337865614537
HEBP1,0.029955171137522378,0.0056411411696233975,0.00948064275770134,-0.018902147023704307,-0.0043201691014218046,-0.0363958204636871,-0.018421562152445236,0.07821094807584174,0.03145634663837523,0.027662195189711837,-0.014422006953043333,0.11402359578569962,0.06645064377544088,0.07440971792143836,0.05070101624908095,-0.016934818221863473,0.013565969845277187,0.02124479623522509,0.001609421206604668,0.0051653232936175976,0.04266572654154588,0.07045447359494647,-0.000793084917582996,-0.009741340407494128
WNT7B,-0.018635833610971948,0.010090636905770726,0.03005728429572861,-0.014532454146844285,0.0181924274739291,-0.010954253828016708,0.09747958821721377,-0.03874022913113814,-0.03909352994876012,-0.004824830890340385,-0.012332312690747553,,-0.015468939669112643,-0.042161371529815,0.07407721944701888,,-0.034959697535188114,0.028790017104583863,0.02041616724664562,-0.03426919442142285,0.015269623761540837,0.013766522028787675,0.05239652693207748,-0.042562779282233704
PTMA,-0.022892990408561874,0.024133016173449748,0.0018626798068617208,-0.007237692228418638,0.04387101328713718,0.0022472274031836237,-0.0008878743308079892,0.0989017285869705,-0.07958300466596402,0.03619690017939284,-0.004278743269996399,0.08323157283510856,0.027331816570626083,0.11328848264159866,-0.05569867674136376,-0.06636110778688593,-0.2134023482803883,-0.04085400514787469,-0.04022022628686324,0.03410207800769984,0.03762248797723059,-0.09668840301834232,-0.008313394674290625,0.14984013895348303
FASLG,-0.018635838879274367,,,,,,,,,,,,,,,,,,,,,0.0362295623696288,,
CEACAM1,0.011423314518406174,,-0.001183279583759922,0.017817036566845877,,0.01616240307798328,0.013103636312105978,,-0.03480150871301655,0.03690847659379071,,,,,-0.0752632351881413,0.06126052214704228,0.05459482058628406,-0.02652738408291825,0.056318212594685446,0.031185085611907713,0.05695681131683748,0.03849690257471295,,
PDAP1,0.014601616428134121,-0.02717916017871984,0.03419464629296388,-0.105506330751681,-0.10046370181685571,0.02547559232677261,0.04681469340320533,0.04755161532749398,0.053262708280164085,-0.00788118709643992,-0.03445604580408969,0.012227431262728723,0.07551368183084467,-0.021588439029753267,-0.0604085287582841,0.07334581275202483,0.059637639323720106,0.00499031415718949,-0.06793242913967759,0.020485075012727113,-0.0341492000757395,0.028335727454474522,0.03459565916695396,0.07781331926222695
QDPR,-0.12451107351119509,0.009021668833750886,0.027888347665539014,0.030460413411042258,0.0994690352647512,-0.005192353697188681,0.07528660293096864,-0.02415504134836974,-0.12833148533737332,0.01567243512778962,0.06445366330662534,-0.012496290132950056,-0.021494594438498913,-0.006155608098498057,-0.07658115017783458,0.0630654122824784,-0.1154053974133369,0.01664806462830068,0.07622742687560811,0.05189279246796225,0.026288746113132026,0.10829198007638217,-0.10527272020824605,-0.0336207173766841
POMC,-0.016984460784996408,0.09504505573208138,-0.03489989574265184,-0.019816718693532485,,-0.003774321157584399,-0.037245714443944256,-0.010773684042940847,0.015746781932653386,0.00815228563427982,0.02779885224083394,0.1133615372037448,-0.006142409180087215,0.1871549580469819,0.15035795629734178,0.050999767457430165,0.014441361671421347,0.06723664253610583,0.009213195750489036,0.023680343671505878,0.04489918407067863,0.03253010035208249,-0.03972322605464929,-0.043618474419778085
CCL18,,-0.015427623284337345,-0.021215188278888412,,,,,,,,,-0.0018594374018321609,,,-0.06453428942158226,,-0.04745472069603141,0.025230547754433178,-0.0023266635738351873,,-0.03371793226412041,,,
CCL17,,,,,,0.014999083980703452,,,,-0.0319457332410441,-0.015263946019111355,,0.07941465571973556,,,,,-0.03205768372561693,-0.038128158407375295,-0.0027732151863284343,,0.12029704014491541,,
VEGFD,,-0.037497311540393694,-0.007160817781078234,-0.015974126205044483,,0.02008101847753931,0.05548076462888581,,0.07089873512713044,-0.016864568474427254,-0.011196288998412855,-0.02072119934110634,0.06375979652381175,,-0.0727050907644415,-0.04834352978024973,,,0.09695680634974026,-0.03460011689931523,,,,
TNFSF13,,,0.032384558117339986,,,-0.026973832213025805,,0.08183520791215508,,,,,,,,,,-0.004732915446794962,0.04336678669818009,-0.02111564900147344,0.005102216411502687,0.061174868058601874,0.09881092593165282,
WNT5A,0.02447364190045849,-0.009025703387864929,0.051635258677937314,-0.02852333138931347,0.060826306382223215,0.008815091375005702,0.14348472588329203,0.12004868179043078,0.15522862579579422,0.022809774305727944,-0.01774251523877176,-0.026173529120508326,-0.010066726785729023,0.02227860698539659,-0.09825631184722723,-0.04194840124069277,0.04559869315572799,0.00953353843530976,-0.03326431107469964,0.01720940907964307,0.0989509279187678,0.04002628463737466,0.06686970636630504,-0.002108970263997784
CXCL8,,0.03918609175110261,-0.003024013418396511,-0.014957224961747777,-0.07133729362062143,0.05248398876147155,-0.08848751497180331,0.054061082406164924,0.09302276916512216,-0.02223434830289843,-0.010426471146152526,0.0643299020984561,-0.02175030978490371,,-0.03935733090680642,-0.014657359770017354,-0.07455658919958906,-0.08270126272510703,-0.11152292035566809,0.03153751506258626,-0.0773504481971522,-0.02397934316136516,0.008708864262916673,-0.024273001784104895
GRN,-0.07507061947774159,-0.02394805365407857,-0.02371321127776025,-0.009108353914119762,0.09801673084614561,0.038655392927389405,0.0013547041274777467,0.04715504450823429,0.05503672050351117,-0.004825262360958848,-0.044500085290008894,0.006684427910901479,-0.01762569863240778,-0.01324022955788399,-0.14626771285307447,0.03246020993380847,0.08130552381588674,-0.005549505748314347,-0.039998020543143525,-0.01313625880311163,0.046925967358703274,0.031147441145422526,-0.028370787911897455,0.04367014384262326
MIA,-0.024392705711736882,-0.07084877885712794,0.01546849430794259,-0.014206270731018456,-0.008831379538801122,0.04195705728610618,-0.03320955805898211,-0.001685479570649502,0.008993628605246943,-0.03330709608531518,0.03247257041373749,,-0.026423090954465392,0.04394574337486072,-0.05674668608311632,0.004705673525885104,-0.012706985708431562,0.15612773495788515,0.12623151279776423,0.03442857645322485,0.03882438262609003,0.10072918741852942,0.15048210905863238,
COL4A4,-0.021582572187071648,-0.004876080426896587,-0.02697467750114186,0.031278264745695096,0.11169241897719039,-0.021235545225889198,0.08047499504298551,0.055509941719143405,0.006276612850392845,-0.01598225432433726,-0.008076795496020889,,0.05781333860705058,,,-0.07028701657126156,-0.004925005247185613,0.042648129331265834,0.09410472043377115,0.0461736792551248,0.03649838262203681,0.06500133264751772,-0.008759314654637852,
TAC1,0.08001667695853418,0.0023812909809636205,0.0522529374316873,0.06152046580755014,0.043317718545816224,-0.026445491866042038,-0.011623409650087936,-0.029492934679084513,-0.05432070403504632,0.004785304124813534,0.02441801274888854,-0.03948019237088002,-0.05172845786908964,,,,,,,,-0.003169922778011641,0.07756539686474444,0.0007802040791279895,0.07987481956893133
RARRES2,0.06041598513362831,0.059208882891428206,0.00283162668402667,0.01010337223862655,-0.023927965793416318,-0.001318023287451571,-0.0739258273008669,0.06748854021209831,0.15925514519381379,0.04976480827078864,-0.0010858896333856805,0.06021841634377832,0.03233776721760103,-0.02551444515643552,0.024021506218854433,0.049093524477907,0.01958181924472917,-0.1022399849948751,-0.04623932599951409,0.007624691790568524,-0.027766247890241978,0.08906508076545436,0.005899157720837953,-0.0565596152535861
