,UKF248,UKF269,UKF334,ZH1007inf,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,0.002635558065364946,,,,-0.01732583647889869,
BMP1,0.04684734142370123,0.028252847678667068,-0.03592432216235013,0.015409694609162757,-0.023681732887928415,0.00030508608702566574,0.019282600884695824
NDP,0.03046468696443472,0.053997116391899525,0.06616160999564563,0.13621682662665432,-0.022932329078226826,0.021717894082575212,0.014953756595625946
TNFSF18,-0.010254032141756618,0.07235799619982644,,-0.027738324989340445,,0.06149344512097014,0.11665880272341378
IL36G,,,0.08139500355762289,,,,
RTN4,-0.01700021835623321,-0.008677743437389125,0.03864835471577625,0.05768593507612507,-0.039667578686449836,-0.020071059134958342,-0.03347704587177513
HEBP1,0.00031254454950006724,-0.015429893356242593,-0.012639541231075217,0.0425799444138337,-0.10500666538280416,-0.029088505305591397,-0.004160160007811136
WNT7B,-0.03674642317934705,0.0650865835506296,-0.018834696356993284,0.01965020193103742,0.09807111444885852,-0.01187268916437257,-0.036653785709032334
PTMA,0.06764933924625484,-0.024076328472371712,-0.006826482262323128,-0.03626539770157008,-0.13117945056552147,0.04981055687602725,0.026238425450804015
FASLG,,,,,,-0.015026692067354304,
CEACAM1,0.06917736578280471,0.02013410133344028,,,0.04410054654373708,-0.00036863533822073676,
PDAP1,0.046218189064266745,0.01989013349093296,-0.029361652980048024,0.0032696947818551345,-0.03838351333028792,0.0550091673195381,-0.01956453511062096
QDPR,-0.017028304607719025,-0.008880634193330034,0.03748877877736829,0.09031610045934468,-0.0038245398876478017,0.01868878992043217,-0.08639332606183261
POMC,0.02203530728237285,0.030911340463566236,0.020161129385808912,0.05241759946726814,-0.03469124767870872,0.04892269905036017,0.10903002146252377
CCL18,-0.019721818518551773,,,,0.06357222242487164,,
CCL17,,,-0.01565443657850972,,,-0.013620008566730015,
VEGFD,-0.019721824781152864,0.008579239573211066,-0.01677734455132481,,-0.03830051439057649,,
TNFSF13,-0.01488272184950288,,,,,-0.022192667143562637,-0.028304844292197345
WNT5A,-0.026514616091081245,0.027867341301952293,0.03865564592951513,-0.00028745022707410623,0.09666057383237979,0.042861771573494314,0.029537734657157238
CXCL8,-0.06665956381103452,0.006308142460338834,-0.021384499938329537,,-0.02029767463953962,0.021363575078261626,0.009253943624702655
GRN,0.05998045986926672,-0.0012927431525885376,0.009605317886388581,0.07094212707704141,0.04521994248291423,0.008238154516345717,0.003270556920405029
MIA,-0.039292679281232826,-0.029297808291007428,-0.02297734222780761,-0.003483662259377316,0.06271958192459678,0.025856989496707262,-0.030699087252291948
COL4A4,-0.023685743805620017,-0.018009745834616186,0.05324245572466235,,,0.042787396903652436,0.048217200819868036
TAC1,-0.03178074234095488,0.01609013158578066,0.03557520978730994,,,-0.017904886201729947,-0.017470840648151194
RARRES2,-0.021459973850573896,-0.022619925212831887,-0.013498972486247358,0.04786948820457228,-0.059430102884122114,0.03747728843275287,0.0688532432437102
FGF7,,0.03943863626613129,0.02285211049044773,0.09236244144170848,0.0533592808252214,0.013857099914480524,0.021633778467386185
HBEGF,0.02059654829967054,0.038217441105653165,-0.027326765971120652,0.04603372274865035,-0.02993322242653577,0.007833125916158498,0.046579356452705445
CSF3,,-0.019053964448461958,,,,0.09954927177915297,0.026541507160300216
PI3,-0.020748184587981264,-0.021455015454077995,,,-0.03440311769964608,-0.031155551696404608,-0.00046077675937523515
PCSK1N,-0.004223246633740034,0.020028208327574064,0.03444622605470692,0.010615443625712258,-0.052453603040751966,0.038579789106395666,-0.000326851790122719
NTS,,-0.0070147484295669,,,,-0.021235240851626383,
SFRP1,0.021243805974686492,-0.005258935888349369,-0.02157764243587596,0.04376930178997153,-0.015319671216697698,-0.020741787652483048,-0.003688506776117392
CXCL13,,,,,,,0.06790187973561661
MICA,-0.0019792237434445147,0.010960275931205507,0.015283262228114118,-0.02934687150020032,0.056922384221728566,0.047627087607248646,-0.03534353928794436
TG,0.06085664842691139,0.010065365768545645,-0.02351517262792794,0.08888141629208554,-0.05371687866648815,0.035714817357907026,-0.029744924521149362
ADA,0.038703920844035414,-0.006605861314362695,-0.012927908853356058,-0.0199106776109391,-0.025383500792872604,0.09157376786672203,0.043441464997719184
LAMC3,0.05752203071074699,0.036149260402766586,-0.02545818667944459,-0.039019557126854905,-0.0014156325222273048,0.02432593803412306,0.011659632049709349
CCL7,-0.012544742632953531,,,,,-0.01502668672404197,0.044890091865116125
NGF,-0.021538700140325016,,,,,-0.035269592057777584,0.015609690646652808
TNFSF15,,,,0.08513938545192408,,-0.01780013737471354,-0.009425132265249186
HMGB1,0.08281336665345046,0.03167731886875984,-0.018589428998214523,-0.04302804871041514,-0.04110334926981725,0.044588244044069594,-0.006410805546114263
ITGB3BP,-0.03946193840350448,0.06803187783225673,0.00018780852710969595,0.039705829145497536,-0.060282835596798236,0.01625265925223248,0.004725796443009321
AANAT,0.07720860471899857,0.028494989970716127,-0.02099892930703867,,-0.022384792594440196,-0.01589886119960387,-0.0203184966038537
RELN,0.0646474674998327,0.060404648977311966,-0.023247627234815826,,,,-0.061451112781471966
