,UKF243,UKF248,UKF260,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,,,,0.028492110798501575,,
BMP1,0.0012314550216560277,-0.01579239277155329,-0.04323129899642021,0.05433164668415022,0.007753131367229001,-0.09036968731452012,-0.011149730675730819,-0.00018865277557018396,-0.005476375243642177,0.016712733169104578,0.05307788804016807,-0.00208521023300735
NDP,-0.01258960196249151,-0.0160326675631754,0.12207645747090866,-0.007756897663385294,-0.02134536853166619,-0.02747560564329746,0.15927500331836253,0.05506551521897691,-0.0019867312678042578,-0.04699877641970881,0.018847418878056427,-0.03832060835489602
TNFSF18,0.04336399008425566,-0.002375978613621757,,,,,0.01837936693391622,,,-0.021770464755277736,,0.04809940816303875
IL36G,,,,,,-0.012063442034225371,,,,,,
RTN4,0.13226882020071004,0.054453573907659626,0.13279321746438869,0.03826630627447775,-0.022626717006074066,0.13174486912622102,0.08378855456811017,0.053523477861298054,-0.004094983829230101,-0.06211095940389464,-0.09536752276749073,0.032026488216274324
HEBP1,0.0023827719488370516,-0.04051460170806356,0.04104406334932698,-0.028589004083101558,0.09251983467328963,-0.015806584369631463,0.026516419426158424,-0.027936715573392692,0.02657246607100018,0.027463364472546496,0.05368681351836128,-0.012454159893156323
WNT7B,0.15770940641655473,0.029085163392669183,0.08341233283694091,0.016094096361106678,,-0.013259113003556314,0.062054522587969195,-0.006876810732806586,0.08263690102775949,0.0024822057842454016,-0.03429026746731684,0.0030195328558476745
PTMA,-0.0013706095279483585,-0.06492857543234884,-0.08174218702382226,-0.017593327328327593,0.07487261981167792,-0.1395102680636489,-0.04269958467009512,0.010266703408795786,0.04267139818805412,-0.00814345828240674,-0.07024372739383396,9.685939569362915e-05
CEACAM1,,0.02152433988509259,-0.014777313660299433,,,,,-0.026928998642797148,0.09208752350317946,-0.03128188498605051,-0.022758949225436486,
PDAP1,-0.000566029522004679,-0.06304726784178778,-0.07614891170948951,-0.020133982469223835,0.028066826671125606,-0.10228806270143934,-0.018127594234701075,-0.0008878625273007358,0.04032457472083029,0.005386722604843833,0.017265362285111795,0.040549541181668994
QDPR,0.07436766235392638,-0.0690788405771982,0.11823796017800772,0.011515650200456197,0.01662316151814812,-0.023299214331004996,0.11850889365922052,0.04580132603019527,0.021997689885253493,-0.031090444172367077,0.02119656080488165,-0.0349219416397725
POMC,0.019560474862599295,0.04972775641625962,0.019364654934688995,0.0724385514072314,-0.04528286196208414,0.08087218977485382,0.07932913313356628,0.0870026891934167,0.045790463635544225,0.012960498938422417,-0.037230651189076154,0.026778523533594036
CCL18,0.024647865449184413,-0.0064705547950818796,,,0.008101390741565828,,,0.08843527995900208,-0.013674379253594885,,0.007975997658891216,
CCL17,,,,-0.02144718202475409,,-0.011020296779268109,,-0.01910482113689261,0.1074209615220987,-0.027832436225996907,,
VEGFD,0.05928854461026756,-0.007057091146184758,0.01113885455559425,-0.015731767385056047,-0.027148965692713623,-0.011810793393704977,,,-0.014947340619390095,-0.029354629755944956,,
