,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.02668685545429274,,,,,,,,,0.006803326119682504
BMP1,0.0274560836583347,-0.024884787946642978,-0.030679364290382243,-0.029275616219750517,0.010670270325293777,0.0065019835866484835,-0.009955577496192395,0.0854831495527342,0.04450979635356555,0.05819012146950154,-0.026715922719017692,0.0868494506883432,0.055768927007351,0.01665693905873557,0.0028675348496844996,-0.0442851871804164,0.0286517174651096
NDP,-0.033938308963670734,-0.09663871623478941,-0.03183117489185546,-0.005854071021282661,-0.016149131180250725,0.031947048239641694,-0.0212780828878326,0.013959901135040267,0.03283404278781855,0.0008302759077982062,-0.04303663008091959,-0.09182700577049151,0.02315191911980199,0.08847228876199505,0.059782788052248896,0.019204975021258678,0.072854677353943
TNFSF18,-0.02115380433574415,0.017533399418485068,0.029183622066505602,,,,-0.014292936145053638,0.0015376016317452574,-0.012246110548415675,,-0.027050321771106996,0.12904063855600328,,,,,0.000758058542909127
IL36G,,,,,,,,,,-0.01596859847421252,,,,,,,
RTN4,0.06805326192965414,0.07852727537256389,0.034377707041218585,0.006765956351993148,-0.038693269880099634,0.05007360343746776,-0.0018486392652629381,-0.07725689306075376,0.030808335375470473,-0.0002612962331128468,0.040463686239799554,-0.03508251798042456,-0.08735816288007077,0.030701291259649956,-0.044842895798540956,0.05480632180086177,-0.03773756148112131
HEBP1,0.04840522835971631,-0.09855046639061604,-0.0261524175326343,0.04045122923672093,0.049054233107558604,-0.05980701329544091,0.037459550556364254,0.09439314424011352,-0.018167472795571304,-0.006870548529413281,-0.03984637013087765,0.02038669709469285,-0.019454365124156485,0.06489467487559634,0.03544501687730996,0.026257775969635293,0.019765166103884176
WNT7B,0.08311649152866056,0.044686604218168606,-0.03674641304732941,0.007196209584588202,-0.020367723506818845,0.019167435237228355,-0.0217443685506651,0.02419535937194527,-0.03770563765224945,0.021642052867373335,-0.029779764012245385,,0.0012344103084631762,-0.008469426872088877,0.10332027335783409,0.03607978005052876,-0.024147318609070385
PTMA,0.08901440746704399,-0.0007306676718559534,-0.07122509840636945,-0.021822735182621185,0.02514366463558052,0.005709865181747285,0.012847963228580105,-0.051220471719370095,0.006426716429583768,0.024085495535765614,-0.06003156626931033,0.18258491076380703,-0.055525154379507086,-0.042352000166884916,-0.04407613061312584,0.03645081775596479,-0.07564804278117987
FASLG,-0.018635844332518463,,,,,,,,,,,,,,,,-0.01483468041454125
