,UKF248,UKF266,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,,,,,,-0.019995955772016443
BMP1,0.15655793593045472,0.043647013060656895,0.1618130625962455,0.04548945403669835,0.19574020919995688,0.14161673408418377,0.09711728681560934,0.12361337747038871
NDP,0.009125475231231993,-0.03190263391453757,-0.04771821410230116,-0.0055233728904126155,0.09226797702899697,-0.05067735661257775,-0.0334948481984697,0.003027734145170144
TNFSF18,0.09659011951305904,0.19791894005440636,,,0.2886296468733246,-0.0380874089958271,,0.028075923180236075
IL36G,,,,0.09185455442472212,,,,
RTN4,-0.04813538012711393,-0.003424329424826299,-0.002274311798162956,0.01792293314657754,-0.11853845761249301,-0.013878494702621388,-0.033098621040228246,-0.024646809970278974
HEBP1,-0.051488599866218204,-0.054210429195317954,0.1345426724808473,-0.022869486794535498,0.04766511553829352,-0.07563945487893829,0.0075312442803152245,0.03638512146975563
WNT7B,-0.024291314327070712,-0.034509789377089525,0.16214482786527207,-0.013983225891902873,-0.013345120379790864,,-0.030935993158896495,0.03067935383141458
PTMA,0.004583411973685856,0.0542972438416565,0.21070173581453364,-0.024200592738022032,0.01412593611008115,0.013039281700527993,-0.03279157168242641,0.05984973988264153
FASLG,,,,,,,,-0.017342485619350975
CEACAM1,-0.018151162570310415,,,,,-0.02678191250477188,0.07365227976152362,0.047884397803460536
PDAP1,0.005182448291595976,0.04707598137308349,-0.038613495330114544,-0.0068087942669195845,0.08325618976695837,-0.01566699024460128,0.024059087204096802,-0.010806416171185535
QDPR,-0.01458731651705112,-0.024121837898936866,0.09979758262262332,-0.0031239635873648334,-0.17681411509309505,-0.03920082372689077,-0.07500717553117339,-0.0034704629417875196
POMC,0.02164502853248684,0.02628250649109499,-0.03444689397329266,-0.0016031646002609445,0.1023759647730624,0.07101238097492542,0.044837510176946385,0.031694951636286814
CCL18,-0.007208626510764799,,0.08867200021016125,,,,-0.01967087712520615,
CCL17,,,,0.04594005075489722,,,,-0.015719015312565733
VEGFD,0.09874210535954424,,-0.006907941753652224,0.09503487899814157,,-0.009873880986629825,,
TNFSF13,0.1216940283060713,-0.011844245516320654,,,,,,-0.025612823438927474
WNT5A,-0.00930192243365849,0.03160695642603773,0.06581956502079798,-0.050399431824457816,0.03304971090461878,-0.0586839379934458,0.05125435368134974,-0.031156313847379078
CXCL8,-0.025335014563483357,0.07096525728261677,-0.11972230334927506,-0.02816574850309086,,0.015130019020405,0.005757835489568568,-0.08563530035873738
GRN,0.15465506465478057,-0.05213572837541623,0.019787137491002738,0.09528047423995156,0.023996005728982653,0.1636877283734321,0.10569804908726087,0.04310500264629912
MIA,-0.04512849353211185,-0.021416680189060525,-0.09072624414420372,0.06268505645880457,0.0022048982159095384,0.057698818033063745,0.051720192278667365,0.06763689977781007
COL4A4,-0.027203589973710845,0.11829973123196678,,0.023989049266103506,,-0.02850929538676792,-0.02487013491617124,0.04016957054449169
TAC1,-0.048901319758349326,0.03691867817356347,,-0.029325936795716396,,,,-0.02066424400512045
RARRES2,-0.09907295153685898,0.012293297895088954,-0.3064139103042926,-0.033437225101359186,-0.021426085599201818,-0.08735269410276804,-0.062488068306487884,-0.08074011995601901
FGF7,,-0.020688880798356023,-0.04844184426282881,0.016675868791390668,0.013871672096453194,-0.05867268921860469,-0.014176588240685833,-0.012039227616493934
HBEGF,0.10919643208496731,0.008593794640769876,-0.007127848776500082,-0.06042607991992364,0.183587539920219,0.08040051032561088,0.08151689336598367,0.06406822373420332
CSF3,,,-0.07276817565548366,,,,,-0.016549698179806505
PI3,-0.023829739562427656,,,,,,,-0.03595699604650074
PCSK1N,-0.11251910813930627,0.01234932410257998,0.04864458230482933,-0.0005726128304416312,-0.03829995486983155,0.004233444507933352,-0.061362997883792215,-0.06949326015898584
NTS,,-0.013757225921192365,,,,,,-0.02450784626730061
SFRP1,-0.05410895837836802,0.039202846604977304,0.10525677381208962,-0.033186363817442895,-0.01608094858007849,0.09727284591531712,0.03825468394986473,-0.023938346009252612
