,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.0012278704833275258,,,,,,,,,,0.07047025837918926,,,0.03285252004929292,
BMP1,0.01249408893059462,0.007005041523312336,-0.01001001231054759,0.0914689242760228,0.009928848665777076,0.011479694841523797,0.11597180067753197,0.028853677431977094,0.00284348668069268,-0.024442432106307074,-0.009488396762364936,0.005731651411639157,-0.0038802994485400417,0.013399964182263186,0.0009722568715475616,0.04196400350897833,0.036100987990591374,0.04985795861009671,-0.045766881398429105,0.01766194745400016,0.0031720915012541247
NDP,0.07325190061671058,0.05689560527140424,-0.035523692905373064,-0.005192271268842156,-0.026400842975963436,0.007955337399455264,-0.02337601159979892,-0.01308675384610895,0.021416128954704305,-0.045760318997993495,-0.027555327164102868,-0.09377878765511988,-0.014790082957997153,0.023977785798438442,0.024833594240694635,0.05327582609937802,0.0273026448963422,0.011942117853824648,0.019939045463432965,0.09057175110251453,0.13410038563933574
TNFSF18,-0.025604034946119694,0.04379437930673634,-0.029448343766773317,-0.024477515684578618,,,0.02450374720386656,-0.02809193124668983,,,,,0.017496246104268528,,,,-0.036861581942536435,,0.11997533869355588,-0.004007559910446848,0.021959368021390063
IL36G,,,,,,,,,,,-0.019846037216558674,,,,,,,,,,
RTN4,0.06025454166045668,-0.047432582445267414,0.046154005919568294,-0.007469705729183645,0.018288140477272615,-0.026345078475886772,-0.17169911221983572,-0.023918527194607374,-0.11443033740796135,0.10556943706712633,0.034886234494634696,0.07232333296354786,0.021998730354707636,0.033901826381385086,-0.02427310038891825,0.038350352875208674,0.03367956542569274,-0.08004495887432382,-0.09885041717502964,0.010360527361159036,0.024963833971069986
HEBP1,0.03307771859622753,0.0021022462251019227,0.010187401505150462,0.012402176632649187,-0.038211378355359586,-0.007415188302102984,0.00040556578993449226,0.0025631710091048848,0.019948265464712324,-0.06635952529781132,-0.006355380972603128,-0.06395848506791146,0.0819050833655395,-0.017101846143462152,0.008675053193743875,0.00020323438440652966,0.09899818090337728,0.025714589956405763,0.017886902002765305,0.07432263226445791,0.059564637976367296
WNT7B,-0.022556352846856628,0.023269040627585565,-0.03586361765858939,0.054085254070639334,0.016284007289266565,-0.03857479493775983,-0.10412781374375184,0.0350908746846056,-0.047620641738865516,,-0.021813081986101053,0.03227547733363578,,0.08490863374097488,0.07699773290931113,0.015168197971136565,0.07327816945992642,0.05057099901798755,-0.033140108120231146,0.027047044412426776,0.14277412807536888
PTMA,0.06022750908368281,-0.09466086793069768,-0.0673165383776664,0.04918251766950645,-0.013859148625377508,0.027848588859519692,-0.07284724973422736,-0.01893597244846521,0.08521061966233541,-0.09905890218955202,-0.029231858653229213,0.05270474032349472,-0.0355442524180145,-0.10989174617517133,-0.08884612674418474,0.00045216984346297924,-0.02225605269252812,0.06074509857622172,-0.015422773282471722,-0.09256773596154928,-0.05305326778680855
FASLG,0.14608690851538403,,,,,,,,,,,,,,,,,,,-0.03508955216698232,
CEACAM1,0.0703975625637042,,-0.01874306375516329,0.023804789390045607,0.04315403007280517,0.043859909411909176,0.06278300943457941,0.008330966554745836,,,,0.14738908162504236,-0.0688413955085856,0.05652757343274539,0.07011090293042449,-0.02176930521195339,-0.052966244850182136,-0.01427955410097144,,-0.002520748681512329,
PDAP1,-0.046680533775191886,0.07638879804104093,-0.015472999378858992,-0.004544317526081815,0.026521540756048782,-0.04444442906210957,0.12616340154061234,-0.008425343295851593,0.0003317994575451281,-0.029176048625009034,-0.0031692877042366033,-0.09809330716704893,0.06979614393288722,-0.015387410700756323,-0.09332968990166732,0.014087523609745694,-0.015940463968138197,0.07648169470994069,-0.026544944881843516,0.022893334187764354,-0.07789685874555641
QDPR,0.06411818318607299,0.012752297226753934,0.014218508454668844,-0.0018541170121407315,-0.01183562565781799,-0.040286832893476315,-0.14819896245437433,-0.08583524112898888,0.0070396018611364455,-0.09358615486109956,0.008281961845311294,-0.0015901240533905993,0.012119043977929279,-0.1508277464371708,0.06669822511205696,0.029505555268875716,0.04357340188187198,0.038878845620603175,0.0057398746241524,0.039927780172161635,0.11073537289878779
POMC,-0.055693092166806006,-0.015170758373560533,-0.02929254309362668,-0.00659822742672425,-0.024747103064788882,0.05495985178288078,-0.04379847755240664,-0.023594021847263478,0.031219801731883767,0.028428281549146138,-0.03414804117442304,0.02062924313811397,-0.029368691173705767,-0.04368277862165062,0.10348590860907145,-0.022685408984589144,-0.011222928391829442,0.10561726189389836,,0.046966091223550964,-0.02446887279217583
CCL18,,0.013180132349076121,0.0971962941354009,,,,,,,-0.011612687685002471,,-0.048337239218891485,,-0.03376320290587236,-0.03483191063337694,0.041173971204643736,,0.06153076290536317,,,
CCL17,,,,,-0.04106083692681475,,,-0.03503610759563977,-0.030198377372785603,,-0.018129918426131895,,,,-0.013503672309608895,0.11568936808704217,0.010813268717090613,,,0.09126835620972379,
VEGFD,,0.013695389937901984,0.03577813859060244,-0.023269728010735978,0.0061710435472922005,0.1088920003198312,0.09021459292836222,0.00021741393570395037,-0.04351193719617373,-0.019515871925014333,-0.019430395121354402,-0.05445730318271258,-0.058806006803330785,,,0.015030913558228266,0.03582180746888777,,,,
TNFSF13,,,-0.01765052769074801,,0.03575098989848623,,,,,,,,,,-0.025911518879440838,-0.007824641628254055,-0.0201933412916237,0.07493307334486406,,0.0264129935411448,0.045876796942923945
WNT5A,0.013969771580758088,0.06918288628282218,0.04857280111971105,0.012128268896163703,0.07697913008251202,-0.043912695706233185,0.21494015106837944,-0.012465041537456893,0.04696147482718961,0.00995208081383698,0.0005061265228401166,0.014113979796746568,-0.004702095675286173,-0.031433993876579795,-0.05700207914556979,-0.01510578570270882,-0.0009170576515208064,0.004049335633733805,-0.018396204382096038,-0.021151504649762825,-0.045218680814103136
CXCL8,,-0.07081283921485525,0.047137403616705494,-0.02178839406848748,0.019243488680314454,-0.051037179479831454,0.022718733853494617,0.008074976480861654,-0.01624656299172304,-0.04447014658975782,0.02143715534560041,0.08385057510099653,0.06124483614083693,-0.005186906652731611,0.04176524714814852,-0.006783161453994053,0.01801230746609164,0.05319603079155999,-0.030067196621540702,-0.03960656800634443,-0.038132679140198605
GRN,0.05930546605200298,-0.05153298450612541,-0.024870273672162633,0.027453633079321256,0.00646330125693278,-0.0028508559101384934,0.104057935050524,0.007926776281686213,-0.021890412691790852,-0.07164728879826562,-0.005868474242097183,-0.10140503655461551,-0.012527615634332192,0.06724861640514601,-0.01023372513121759,-0.006828425254131434,-0.03997200509502516,0.05378220858466664,0.08005978705161186,-0.11589139945340757,0.004622179986486001
MIA,-0.02952432868897975,0.027418394040291286,0.04252575800062226,-0.020694468774967233,0.023608942834483188,0.0378003100377522,0.03300140435314724,0.010633875568611258,-0.032796572859489996,,-0.02661081656629799,0.10345946879393157,0.10385899569704554,0.026271970742490863,0.021586920677784213,0.059045621873362535,-0.03266727774876297,0.04156173269729918,,0.11665220128192486,-0.011830749644895614
COL4A4,0.01162345056359628,0.021599586632879503,-0.02809068671340005,0.051862409280448,-0.017086898606044554,-0.07163501702945158,0.0007960043903812614,-0.021307814586476344,-0.00289691601303109,,0.0004257461914989617,,0.04794226080161742,-0.025081919029344722,0.07722075470416197,0.10029200161257776,0.06669544592492654,-0.0159709176521538,,0.018680986560963918,-0.00782443683173834
TAC1,0.017997951544267327,0.035101985160966666,0.012218119861335915,-0.041358084844770195,0.0157800478704138,0.010251421082446484,-0.1373822900941417,-0.016254942797599575,-0.03948590831670628,0.12172625340209625,0.07574370893293463,,,,,,,-0.02463629881913801,-0.043168966134662985,-0.020496695052311224,0.024836048985331392
RARRES2,-0.061780884776456775,-0.011170017349177195,-0.003480973680623863,0.04731984016816124,0.02896984902373203,0.014417700510320264,0.15665040397884764,-0.050729332297111296,0.012094724718912264,-0.06766706651384435,-0.06960744391131332,-0.029530546770656262,0.052345728327967966,0.0032943767223352362,-0.010502496129998387,0.013339212242663758,0.04086921182070698,0.043374061962906746,-0.05314996569293331,0.03367668876467271,-0.04569804476406579
FGF7,-0.05000859673475971,0.022678510397859442,,-0.0004950413604288839,-0.011655150009608898,-0.022552429349432537,0.019361151114377508,0.07920700727035922,0.0030218679890475753,-0.005304871876903175,0.004573963275572239,0.08043785115660511,0.019008271280730696,0.01731371281634267,-0.01885751241988282,-0.022335385142425033,0.09441253618690848,0.02717940522347994,0.013974363974802973,0.08386137770167962,0.024687871517252095
EFNA2,,,,,,,,,,,,,,,,0.058504484390474655,,,,,
HBEGF,0.023893598663070257,-0.002346269900929992,-0.0022852588125201237,0.021769956085971515,0.01836789134832715,0.02392658672501796,0.06648012133648952,0.0868450679389898,-0.0016494497280080927,-0.007096413310512057,0.04183093259477694,0.0470642041190811,0.012809414524174898,0.0027557550685917264,0.048248031825619486,0.09135328729893784,0.09731206306614974,-0.019335587056108407,-0.019875045536681832,-0.08199406209066373,-0.020506111210636287
CSF3,,-0.04718259273555267,,,-0.04283585877429394,-0.08578918898992359,0.023779011798403644,,,,,,,,-0.00027014382034856114,0.015040104733608823,,0.18079546732294188,-0.029785424015853934,0.1490784349538221,-0.0687849556832057
PI3,,-0.05589481700988648,0.06998949783258633,,-0.06500620794473494,-0.04695185038257774,-0.009608876523896644,,,,,0.18363616889839843,,,-0.026941118901879304,-0.016180518392509884,-0.04004093842629509,0.07784925796074174,,-0.03141410075078979,-0.04305857475138796
PCSK1N,-0.0476905352435953,0.007613588490237742,-0.02337839339123146,0.006372592952601207,0.00069322938657791,-0.010043929510075609,-0.03950115990922938,-0.024066366163100643,-0.08112059330402253,0.12024772711133613,0.0027820118235129267,0.07485488848728614,0.058060472469097506,-0.0743197004666893,-0.06379609059222684,-0.01423338230256712,-0.07856567881695727,-0.023963602123567365,-0.038517247495370804,0.05720451814315098,0.03490399133765355
NTS,,,,,,0.08286379547473147,0.02037124958288636,-7.742718297655511e-05,0.020775348553164968,-0.017570553759397763,,,,,0.08777674505762657,-0.025207164979136134,,0.0018183427479765652,,-0.03272375166916892,
SFRP1,0.08440026368721754,0.03715866591688247,-0.016142576625836114,-0.04796152031550046,0.001069896836601101,0.06775960516586566,0.0006720536014633101,0.05100964557198544,-0.004957250242545735,-0.06909501803433707,0.07045289983079753,-0.04213585080071992,-0.02423296300971683,-0.01540493676043898,0.0025836685192615603,0.018877830468072454,0.007784812554766781,-0.06858544304190961,-0.08698433429785293,-0.0484351470440705,0.06586749985858494
CXCL13,,,,0.0027198194881968563,,0.06216755388544324,,,,,,,,,-0.030332016648127264,0.050523730594814194,,-0.033393588701790634,,,0.007491704149893902
MICA,-0.01929347999427073,-0.03461616083098057,-0.023354854655779158,0.019791789302329242,0.016230356300220822,-0.01657031519245348,0.06787945089980638,-0.020586330489539045,-0.006615761459647907,-0.02167610139715879,0.026450868287294968,0.0434972148647254,-0.020751296044296895,0.030127281964662384,0.05789623283261101,0.09527390933108908,-0.04749970049931118,-0.014450121165447949,0.03441361868077332,0.029681723263703053,-0.008406669938831924
TG,-0.02612300657159944,-0.03761205730793386,-0.00651424459757597,-0.02209184913319976,0.06821329735392746,-0.004510168504158273,-0.03547096123507139,-0.0021961310449224304,0.0029217547969103627,,-0.027233695660820068,0.01752816727489097,0.05298525859903118,-0.04148095042130663,-0.01794300438790171,-0.03104537922899347,,-0.016848516578876722,,0.005653149526201063,0.09584026343907667
ADA,-0.008623130310211441,-0.032137554785772515,-0.053722434427908965,0.01689249743308257,0.024932353297184337,0.02323792976093805,0.10357682732413645,0.03784250510016662,-0.01880346071119998,-0.06606061561115066,-0.028360803544039047,0.02266697036110034,0.03570601735545611,0.03147910952871878,0.05769065775380835,-0.011326612839948404,0.02925343248319594,-0.004787622125671483,-0.08812370140416821,-0.04577994879917493,0.08899900803678791
LAMC3,-0.012838880062316206,0.032097408879865875,-0.0718915199446863,-0.0035767127251397184,0.0481882957544045,0.03542176896979318,0.1340530017759617,-0.03146277607496247,-0.03603173848262661,-0.05110015643186491,-0.006739247243835653,-0.007757368298589542,-0.037087704306484746,0.047977118751385175,0.07419519254784188,0.030515643767886808,-0.03129226534731373,0.016151166997928353,0.13764818655536556,0.0006683584792985414,-0.0057740529162209255
CCL7,,,-0.014877744101872696,,-0.027953424480725433,-0.035691219407676264,,,,,,,,,0.08549938584145317,,,,,0.045968660640657445,-0.04519820793113598
NGF,,-0.02718323291085216,-0.01250055365476362,,-0.03886244528965452,-0.03883567020340813,,,,0.3153152637379461,,,-0.07356917719933183,0.01925769376742512,-0.02337430023043559,-0.020412155727703513,,0.02932847246947093,,-0.046652985903503565,-0.03568432402263182
TNFSF15,,-0.01586102771601613,,,-0.031127505343765717,0.005055455133868319,,,,,,,0.05734224356197136,-0.007385286365098912,0.04559676950175417,,,-0.012712568886300426,,-0.004288924281040341,-0.0026056162589495994
HMGB1,-0.009747372277333044,-0.0018786945391123782,-0.052554746138633555,0.010889981240940748,-0.00011315901388066945,0.030217586081334936,0.13167741301540314,-0.08549076758896126,0.026323170720523703,0.007717226486490497,-0.0413965314942745,-0.02521763234294215,0.06245209425695688,-0.010399412050308296,-0.07260825251911952,0.0018513127387256164,0.048345995412907454,0.03959158862839762,0.02479211329260227,0.04371090614652311,0.035386382858550246
ITGB3BP,0.008983469558859121,0.07255933759809922,0.05218408986196323,0.00978966011014039,0.004529317564210832,-0.030934251031312116,0.13143933947966643,0.058066597258061986,0.0001926063857268358,-0.028921515332090596,-0.05717761758392613,-0.00923810184858448,0.035647164407834706,0.07804085428137893,-0.04053401476081388,0.05383777276199731,-0.013290571343520559,-3.785405932732645e-05,0.14309613744824987,0.008837448432145456,-0.0016116905131864287
AANAT,,0.016642832766208166,-0.02158534320108418,,0.01378670467702968,-0.009906321435468378,-0.026510471238241504,0.03199160080663944,-0.05153277421151188,-0.01651891544494914,-0.02431955142322755,0.05808556276953639,,0.04383227519160774,-0.017755219153749863,0.032436372867380145,0.07069210884467414,,,0.019133931074433314,0.06258513226026896
RELN,-0.02165666502498519,0.017978560139463737,-0.0053402651051160785,-0.012625397760833074,0.11658382777825783,0.015600827452279283,-0.047153332808776524,-0.0013868354735894026,0.07611976168324082,0.0722065765172798,0.06361879320833115,,-0.06659458426154556,,,,0.020170544943456707,-0.015355405523966291,0.12277230435546797,,-0.0225071745282087
