,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,-0.016020369438049683,,,,,,,,,-0.016113802801563167,,-0.01732583988393221
BMP1,0.09309332203960195,0.025346343839843063,-0.03891723121506933,0.03495134148292326,0.039697710418672684,0.04007479415793614,-0.003522902501976826,0.02674175648364118,-0.0016729780271480899,0.04833348857951334,0.046086066382841934,0.0067448119600115874,0.01842238576020781,-0.0017455607243836027,0.048217696755701575,-0.022620530634146877,-0.005749533167112423
NDP,0.08786781440409357,-0.060977453395564395,0.01383769365257808,-0.02640936748172568,-0.044638472714555094,0.019515214568129085,-0.020266886291256496,0.07558332599485706,-0.059147087171499094,0.01431044717777761,0.05803392108423916,0.03060770488824525,-0.06939557703782351,0.04904433702657388,0.032584484564515126,-0.013403952326798066,0.0503504417373813
TNFSF18,-0.005829613912817096,0.0691417031334565,0.027809876587385318,,,0.007686850881506845,-0.01787456511826075,,,,0.014398056544983792,,,,-0.016617880403929756,,0.029871053123015374
IL36G,,,,,,,,,,-0.0022810737262945954,,,,,,,
RTN4,-0.08664554391022672,-0.01831204947120449,0.01886673704004859,0.025060257102674056,0.01313949485303539,-0.025065415844726085,0.038101540220085515,0.010593393567094017,0.06528721535105729,-0.010369352116970274,-0.015117019053414844,0.00971350473925566,0.04200996201574794,0.002844800021010256,-0.01075071615203303,0.014209029972491566,-0.0646981703284536
HEBP1,-0.04182679094984182,-0.024180756068483744,-0.010831389297109268,0.012536923650077024,-0.0011941664000758884,0.01628946593578944,-0.03156933823872857,-0.0020833354819246902,-0.0058859190007172395,-0.018213751855989148,-0.03041075107625183,0.003823755379420717,0.04360184231577618,0.05368447173178891,-0.06247582696108631,-0.0031528428805179384,0.060010538443726294
WNT7B,-0.023622114492055268,0.0020358391354753503,0.051615157178283445,-0.04515699491627672,-0.05551133492195856,-0.004121122009941261,-0.029440874252647003,0.019924365335506306,,0.04056240298955953,,0.031280872821715155,-0.04331625293116826,0.0007640899486346338,0.029692570238027505,0.05664050021029445,0.032784202941052186
PTMA,-0.11087088093154973,0.03233453937392697,-0.004700145328428886,0.056973577097528864,-0.010633374557742914,-0.032049854809016856,-0.05058808659203055,-0.03616499499659088,-0.07421417281767595,0.03055615613227944,-0.01136168630638141,-0.13233110156951533,0.02339415576450407,-0.03910074007141972,-0.06721374770821763,0.032037596640482176,-0.09090994125467586
FASLG,,,,,,,,,,,,,,,,,-0.015026695020538716
CEACAM1,,0.10194036299433708,0.03490101005432077,-0.007031448032249328,-0.005674685094285829,-0.031305979290965194,0.012984878940165144,,,,-0.061893057546716396,0.002634991953587924,0.010560235103081144,0.03834452872340777,-0.0238781592102507,-0.01807973861877562,0.09877681930897145
PDAP1,0.003362275408979085,0.015454568991400224,0.04713933385200271,0.013963193869548514,-0.010783913243242396,-0.0017276186664765723,0.057892699105726045,0.030470715006207058,0.009101619614507275,0.03229300395515193,-0.010909459857994767,0.023611713503003638,-0.08013243296664592,0.006172164511366887,0.028946204912166956,0.0217400075949575,0.09608924603138436
QDPR,0.06548685476272331,-0.05047328372260921,0.03320376028334322,-0.013315520235466881,-0.0517463957059619,-0.02880556891126292,0.016910041162288766,-0.04046145706010558,-0.0332442872468753,-0.031076647432255713,-0.04923464870577693,-0.002842993002922187,0.02825329916033515,0.05640320110182859,-0.051915891223464836,0.033203095447831774,0.02108019197926388
POMC,0.06910158791141716,0.013960617179378406,-0.013908927224679249,0.003906889820993238,-0.01218737280209561,0.027553859005560084,-0.02074023187591589,0.08851105635998488,0.015419595292654312,-0.02588394895997599,-0.02297115168415735,0.028821596417431018,0.007449614226223651,0.08681815919539987,-0.01904790466413685,-0.029576077324035378,0.09072457180988602
CCL18,-0.002381755595335299,0.002017173366058306,,,,,,,0.04044983584550206,,,-0.0254353075000695,-0.04441788857147182,-0.019210653191089767,,-0.02408397777722372,
CCL17,,,,-0.02158461965484096,,,-0.00949049473763991,0.029983784442353355,,0.020136767507246467,,,-0.017219974473037587,-0.0011728156725741787,-0.021245118179734436,,-0.013620011243459983
VEGFD,0.017002190670873323,0.0030777949615195315,0.009282823595866099,0.015713655454056875,-0.021128264859960125,-0.02683841617294248,0.021616850072777243,0.061913831952919794,0.07018225091760924,-0.0018148259743501248,0.0022655956307719677,,,0.10057638935637182,0.0681499305606988,,
TNFSF13,,-0.0007834111619786947,,0.02247807189861407,,,,,,,,,-0.03304254453391174,0.09839076952577153,0.06795664563428919,0.10736550386897066,-0.002641859463585017
WNT5A,-0.03048523891206197,0.017303500177580842,0.007170987267277716,0.006699663612474752,-0.04279848131867632,0.03963641791950562,0.013354886860549812,-0.012978365436072703,0.0508029432629923,-0.028436676168754206,-0.08590848777118607,-0.0033409296955237487,-0.03359064297770075,0.06451539974745799,-0.03170399834017523,0.03518838688468918,0.001199212279140289
CXCL8,-0.02921382097534475,-0.026364329971159395,0.019265265712090283,-0.04383795866717963,0.0697769757608902,-0.013044764883428874,-0.03964834363904166,0.01732120201138546,-0.05169735071578481,-0.0026906406070326713,-0.06240924542298941,-0.04478286347092322,0.005708094029735412,-0.10234900497978817,-0.030163436706264025,-0.00978731817377522,0.01714636494444845
GRN,0.041484349073347145,0.05287725078437614,-0.02063595005446533,0.06610306602288596,0.022959325973224566,0.0445180507361606,-0.002472662510428945,-0.03629549034770072,-0.029571814681549888,0.0006954610859299681,0.062488697631716696,0.0032918868008364344,-0.008672041709344408,0.04739113522310273,0.03338469066416735,-1.0674639921398541e-05,-0.03737402923730309
