,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,-0.016494112695476966,,,,,,,,,0.055357689931076634,,
BMP1,0.03447078326372976,0.019327068139845555,5.52128811368685e-05,-0.04367354022555436,0.06590517486344813,-0.028314113255057605,0.043195558830521,-0.026937992184874977,0.10834376094147866,0.08865079775002391,0.09036567030810252,0.038100703107183526,-0.0161808074614428,-0.061536189926247806,0.02398550740307089,-0.030558123654540064,-0.029569777692446293
NDP,0.019365405671024894,0.04176898543937598,0.04593185563109827,0.06294045569133144,-0.026242866475911678,0.018362734434079757,0.03516607439253359,-0.040117407079309476,0.06585150196975885,0.007751896852664771,0.037977866628973456,0.03435192985580641,-0.022622181392305117,0.08483178098150537,-0.07493048882528769,0.06426904727429605,-0.06538812768664964
TNFSF18,-0.024830504610871256,-0.01957323413569912,,,-0.015383938166206862,-0.009008501097334358,0.038007021513916744,,,0.16200443487993552,,-0.034501605215241926,,,-0.025660714076830776,,-0.0224780455348653
IL36G,,,,,,,,,0.03238053133235885,,,,,,,,
RTN4,0.042581770941113976,-0.04143884226071434,-0.027163752519928166,-0.0020134520781845537,-0.04562189969876417,0.014759362413040414,-0.004113902401881331,0.12859655020179733,-0.10218297894055942,-0.07135440046887478,-0.04029781008976702,-0.015343825584503056,-0.04111480953218613,-0.10018224369640678,0.0018602494713158256,0.1264473699174232,0.1131971653733484
HEBP1,-0.015749534396200512,-0.012654985938328981,0.0301867975781731,0.04282924044845319,0.009859199954308447,0.012295718406759313,0.060989401265715115,-0.05476856154460384,0.05469479395886764,0.07825406098004849,0.06806425991047496,-0.044459090901962754,0.04707818737512307,0.044354519380946866,-0.0032729679318638026,0.09572569099529094,0.04747213574522627
WNT7B,-0.017711096003509435,0.1009484556723602,-0.009435545436963982,-0.01702731764016665,0.036986476676153256,-0.024692264529023355,-0.032607485128269026,,-0.0387932746505776,-0.027101259313451115,-0.06978440857052419,,0.048311351794351524,0.020368554596195833,-0.0536586290324064,0.005220493938167764,-0.048874249668139406
PTMA,0.014335911202096385,0.0481877556341373,0.03990735052306048,-0.01647776784296409,-0.017345056837444237,-0.03043531216182752,-0.02404414481147099,-0.14648541382032904,0.07300327539332369,-0.010546275532195452,0.025289749966912845,0.056960737852720586,-0.08708926483845639,-0.06648136260653392,0.03990066894328684,0.011998184079319624,-0.04756621318970497
CEACAM1,-0.01580393568753256,-0.018000955417092224,0.023483165401433633,-0.017160924829542228,,-0.032231738004807844,0.033688980339588906,,,,0.05688163006776173,-0.04562821108635358,0.004358109153153341,-0.04007888040656768,0.005496412488983235,0.01411471863738199,
