,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.019979105224879855,,,,,,,,,,-0.025709246142164348,,0.01062519046374201,
BMP1,0.030524572423686138,0.003776167280657244,-0.027721623508162808,0.013260021691152458,0.04044662960764496,0.006087392751915329,-0.004411735454073184,0.07970991584761142,0.14964497712388822,0.001826283135527479,-0.011427641402284033,0.027650392866258835,-0.03913498248551886,0.050402970127149185,0.10435468911488285,0.07965497710113782,0.019064559000404588,0.005799802573685888,0.05391808701322734,0.009442911188067235,0.17592417716539493,0.0587309728081507
NDP,0.06866993610276739,0.018634812070170488,0.006125307040085818,-0.023781783433895354,0.1224813832730393,-7.979797576433125e-05,0.08982933766250903,0.045028339009362484,-0.0031188905065362947,-0.022341683970446176,-0.018119795456821387,-0.006272150796585998,-0.03781203468844658,0.05379950107785967,0.01543039738475423,0.04244929272290669,0.07800561975295775,0.060520987722598285,0.08804103595237427,0.03755340054174772,-0.058700410478348966,0.015382428346219666
TNFSF18,0.0021832850055775554,-0.005663609322365099,-0.014994165233036975,-0.007417351359838848,,,,0.014841418507122835,0.016564453312780628,0.03201269988332549,,,,,0.029403544977676343,,,,-0.02651349175157056,,0.0279352571925045,0.011237728910883765
IL36G,,,,,,,,,,,,,,-0.0012556463169511938,,,,,,,,
RTN4,0.04845422591980388,-0.01658041162869354,0.005243068414199312,0.02901789124160409,0.01870762226978803,-0.004253528112712735,-0.0023988817410645633,0.08513956236200214,-0.10471864853440206,0.020925797158694047,0.0066576812453296354,-0.0556808903376787,0.0027467401886954947,-0.027287423454732927,0.058053678507992285,-0.016121551747380405,0.029240688619863967,-0.03407373893844962,-0.08517817466942279,0.04170432107734522,0.006417899494340081,-0.08732859673056595
HEBP1,-0.06215151260868244,-0.017309138207997416,-0.018688558786948528,-0.0023140665392535546,0.09242237714996149,0.03011667726363529,0.033338115892197415,-0.011814970694280624,0.07804907426998173,0.053333242549662034,-0.003960769549205869,-0.031674369203195774,0.019625831853399986,-0.02640729547944339,0.03620285229994061,-0.04795618820676354,-0.027066186203438432,-0.02320489530378221,-0.015138706657473746,0.008580880939440157,0.039417623407763405,-0.0359599525408654
WNT7B,0.04634054738255135,0.056988639320615035,0.025159088660118265,-0.025119146672236893,0.0015038964588464721,-0.062393125930334956,-0.002814112220456535,0.028381230626759086,-0.04185398858093448,-0.01180571118035985,-0.01837983413296426,,0.050897880525531056,0.005175236158771703,,-0.05160289449732449,0.09534809567372578,0.06378006220947217,-0.026430943089737972,0.052679597543814155,0.053487577010932624,0.1331073773787122
PTMA,-0.01669927427042946,-0.014307837747429993,-0.024561006395604507,-0.041958672539073504,-0.04660095837881112,0.048829879297489505,0.018563064179570998,0.018882761059146158,-0.11619006078522749,-0.057336107143986605,0.0028837268732771638,-0.005250007585711474,-0.06816874101945694,0.028138716895488365,-0.033888753757042964,-0.1410251073533293,-0.02455726793432224,-0.004513379678822857,-0.05880023154090326,0.0445110489016305,0.15953152844453644,-0.009999857646211434
FASLG,-0.02560576200508106,,,,,,,,,,,,,,,,,,,,0.03851375527125103,
CEACAM1,-0.03555382463767483,,-0.020526889467750487,-0.0027168865915985245,,0.011388296787261826,-0.017809584948131934,,0.03083818798235851,-0.010494073985680367,,,,,-0.05472430987718673,0.11881557363148343,0.013424128294844986,-0.01977287338774186,0.0011702042003570916,-0.039122111737749474,-0.01970391612415653,
PDAP1,-0.036314357013785124,0.03845087053719333,-0.0055347651004746725,0.04583683637254841,0.04163945947231287,0.042439650193579176,-0.02079018622191697,0.03270772282164565,0.054339791209442344,-0.012710163267290523,-0.015101779023147417,-0.044923889242439445,-0.08435556892833801,0.0004202167814243327,0.056781913559369956,-0.030587820045945603,0.02937704424441076,-0.008419048012580128,0.016718212213408756,0.029655596412445157,0.04324879622160256,-0.0303332077514476
QDPR,0.012306156217593633,-0.004994453775376713,-0.04092448555943161,0.07090596967789414,0.02549907429421261,0.050645579246301156,-0.032783720637979255,-0.03694304490445139,-0.1116185677896175,-0.03344878337247904,0.0228098325166208,-0.05758445978381127,-0.049852414656649115,0.030662547356833506,0.04098619996689793,-0.13711342629478782,0.010963631898632292,-0.012058084787819197,-0.014531999988388717,-0.03262044939572599,0.004358935157187917,-0.02426981945999862
POMC,0.08983786210993262,0.09505739364681362,-0.0017527800334772475,-0.03425292510098121,,-0.02423826945095474,0.0023396402873945925,-0.013157183214019538,0.020973431646791423,0.036928134144513125,0.007261427782263118,0.01324754442218115,-0.0705985468823024,0.0017225027582458109,0.05181411870709428,0.07139814326352663,-0.03666060046201864,0.04308345893200748,-0.01854572124206018,-0.0029682472846218905,0.07420947208424376,0.07646790838596104
CCL18,,0.017483117690226497,-0.021823322991224754,,,,,,,,,-0.016168267192492855,-0.04600758571034678,,,-0.040252996462384234,0.0729131713950541,-0.058034216782951474,,0.021311304913695293,,
CCL17,,,,,,-0.02111796619779695,,,,-0.0032590626271773743,-0.022749082275238735,,,0.029341205248212803,,,0.0008426015154977706,0.007058865585307859,-0.03389615594334925,,-0.026461104963847227,
VEGFD,,-0.055930210270496335,0.016015412528050523,0.04552288779291362,,0.056476547846147813,-0.028597185773113917,,0.06175447503592984,0.044063968876443455,-0.01668672696322028,-0.02450917331988133,0.003430998521550208,0.02240163965197614,0.03376831493602588,,,-0.03296754988276754,-0.0357499824947915,,,
TNFSF13,,,-0.029836541852008586,,,-0.01687360326856657,,-0.02579578315197329,,,,,,,,,0.03872965614470605,-0.03543921761439166,0.14407698337782054,0.14380809748985451,-0.02824619171039824,-0.05009029175069096
