,UKF243,UKF260,UKF266,UKF269,UKF304,UKF313,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.013038941537356668,,,,,,,0.01096235585038459,
BMP1,0.022400480557910857,0.04780391106398942,0.004176374752871972,0.07988301457961917,0.003404834088119416,0.0004362191862891798,0.05392122085408284,0.04146501407183245,-0.04523307796875329,-0.0182129630911838,0.07347209331018933,0.04046364301708514
NDP,0.10156768476149408,0.006454975632672128,-0.06594210176269062,0.013708373325142343,-0.05413883074514151,0.10497972172910656,0.05328616762829677,0.04290906363010753,0.07182342092909116,0.07654935313680912,-0.006538477899004029,0.005015199410087357
TNFSF18,0.03297575902746163,,-0.01538394356461174,0.061804240919274556,,,-0.027738312834767395,,,,-0.029793767388599568,-0.03667363962670914
RTN4,-0.05443313774611106,-0.01719814116502217,-0.08649791070048964,-0.025801164686129373,0.03243927068188831,0.0423715980201493,-0.011726525746981391,-0.015498529537345413,-0.05654413159450326,0.12365121768150693,-0.0013935209788067558,-0.04542709365960121
HEBP1,-0.005669962664321855,0.03098708252368127,0.019636286506799255,0.011376067303192338,0.012789650410388428,-0.021658334802900546,0.05987075610094021,0.0973282373494114,0.02424420823575006,0.07339315933970003,0.04180088775883577,0.05626924862721168
WNT7B,-0.04965488851532987,0.0887821434901584,0.02622129173496475,0.00369930868485215,,-0.048737046784678995,-0.006192556049693764,0.03085580971469014,-0.02613797991837415,0.04424295459812201,0.05871284607828669,-0.0059145038590393785
PTMA,-0.033928991838166556,0.02968726277316388,0.06531681237953037,-0.08088395456369395,-0.03164412386477967,0.005303765119594064,0.055238577486827437,-0.09100569065180575,-0.05214424988263494,0.011435149006374615,0.03055955208164202,0.03460130927835864
FASLG,,,,,,,,,,,-0.021005325436334432,
CEACAM1,,-0.019287657118387473,,-0.025479863952144143,,,,-0.003666167135329911,-0.02912964823173567,0.05862192042185192,-0.014947492379476865,
PDAP1,0.002364404295750639,-0.07104748380083908,0.04748211326021772,0.04212036766083558,0.03207901416126554,-0.0026451952185305087,0.03666805156595124,-0.07330844482152613,-0.08177325991208198,0.033446689042347676,-0.017439291257195347,0.018522610901626428
QDPR,-0.01856637079457836,0.029757334811981985,-0.027434169210470066,-0.04949616043303556,-0.034146975027273985,0.005757878438056259,-0.11664290022290351,0.034209737927758214,0.08646610727777562,0.015546339683221288,0.013920106906307595,-0.051238855885731606
POMC,-0.04016978137220246,0.0020204910270076423,-0.0022064410545608428,0.0148043190709955,-0.01284504766948942,-0.028311557095388545,0.08965303144124959,0.0254328522811579,0.05721018929839235,0.03153032687037193,0.0722234126740853,-0.011715023055620827
CCL18,0.05347153365454431,,,,-0.056536393637658444,0.014695485677797977,,0.015129163645155779,0.03229413861509301,-0.02724765326003744,,
CCL17,,,,,,,,-0.022574406924708083,-0.04205047596533592,,-0.019038968197888823,
VEGFD,-0.032145913022525605,-0.030400710337325745,,0.051456980415381985,-0.021300074266726893,0.041080497239789356,,,0.025677650179734595,,,
TNFSF13,,,-0.014919215986010759,,,,,0.026522351577370408,-0.009012124103572263,-0.04145971438246774,0.06525645209811648,-0.014006692520032558
WNT5A,0.035060350832794636,0.07238975159309578,0.05842997682357024,0.016809056844551567,-0.052208862710813576,0.008271071382499483,0.03444405281281554,0.026136132695592926,0.018141532189545673,-0.0033140222203328685,0.04717785814781554,0.09063696118124058
CXCL8,-0.030560258049791747,-0.10471993191022459,0.013276367426873449,0.03614612961261935,-0.048535747142303375,-0.012777457426072565,,-0.07209923287150521,-0.12123209577808321,-0.0014421594474411637,-0.04561065009700849,-0.009158011052746688
GRN,0.03083937830262345,0.016237981064808615,0.010390298367299336,0.03969669824247692,-0.06757608749708578,-0.048372982775530225,0.005765781468951618,0.06750760902090704,-0.07902919700578476,-0.01720483091540898,0.03985585743099484,0.0010680865515109435
MIA,-0.03249964711700445,-0.026502788255702882,0.028104489042902924,-0.014163171429448972,,0.01773694643577368,0.0022663362327213594,0.13436936718087925,0.13881431326102256,0.013659547165634554,0.041643136112583,0.011101876401449426
COL4A4,-0.03236047159289359,0.06064560700563214,-0.01419497487352273,-0.012848909067450173,,,,0.04182909044455843,-0.046641121499132895,0.012313365245264468,-0.0017084691431544872,0.07961029953933256
TAC1,-0.040528967816500984,0.0012507822663832722,-0.05794579356517776,-0.01948874976204856,0.05670866041577383,,,,,-0.024644992294421735,0.06006002575612065,-0.016889404653749947
RARRES2,-0.005101819900613037,-0.05601911735935717,0.08274858429878866,0.05171338480793021,0.019779422212242388,0.06428818163971332,0.028022901490380697,-0.03498277305249651,-0.023685206304424652,-0.0031999014127159736,-0.016519203058796006,0.009434613275302326
FGF7,-0.052733320055797984,0.005192507625865492,-0.0006576024867908782,0.06682177096730722,-0.03826115644285175,0.0073860906003208925,-0.0018780860699109865,0.1038772971115434,0.05882780653918125,0.11594394527718582,-0.019675328996924313,0.041149173300181974
EFNA2,,,,,,,,,-0.02768578119856799,,,
HBEGF,0.02178222638486377,-0.01724638400912891,0.03303222771949466,0.043828262504761864,0.02114199907584561,0.062401790698883366,-0.025483003743203943,0.011351453680768482,-0.049091457554316445,-0.011353997884286085,0.015579486927673835,0.07158440341901205
CSF3,-0.014104017242821355,-0.05896132869726817,,-0.013593898482573096,,0.052015055678750505,,0.009412571420750462,-0.1016017872928979,-0.05293117675031153,-0.020045096404869154,0.08695352867090737
PI3,0.024434130810480976,-0.018080643928703583,,-0.015306909111416748,,,,-0.03965305531187035,-0.15079432465025192,-0.06534404123267884,-0.04355133515734203,-0.012863647678865605
PCSK1N,-0.04634803700307469,0.03677404540469875,-0.016654976878668015,-0.010566592023019914,0.022575690685720358,0.010468965626074984,0.0077408870889422035,0.0046827412905485165,0.07328076336825298,0.04542225737416767,0.03091625187557002,-0.05965349570718135
NTS,,0.036428152648604495,0.0667543653434194,-0.016708536463683702,-0.01917690900107784,,,-0.05266374144618705,0.06634163049775721,-0.01708960202624392,-0.029684054401860824,
SFRP1,-0.01121162103142535,-0.03468194579630579,0.09221321455339004,0.014326254669556377,-0.053543090728427056,-0.0005048043951308864,0.007099060904436259,0.03527234587479451,0.021982102545948106,0.007072317569729138,0.11589374551326256,0.015445570196920897
CXCL13,,0.058100187642251465,,,,-0.01506573131683057,,0.04219490335214587,-0.016145918357986816,0.03035533406166671,,0.04125109318051976
