,MGH258,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.06519868085677773,,,,,,,,-0.0216841795411463,,-0.025175755843958886,
BMP1,0.06351045718563372,-0.024500331150387918,-0.00961260821597743,0.03985349264108544,-0.05531674818380121,-0.0252250561218046,-0.00564265758049856,0.16212016596348006,-0.04902328656261849,0.018935823522999704,0.06242896785457179,-0.021350597979502763,-0.0409499355655385,0.02932810956456484,-0.004207756810350774,0.028683931790237684,0.018129795066290706,0.04006244755418822,0.027214816253242027
NDP,0.05148338669581077,0.10908728309812923,-0.01562533077613076,0.03193700151504573,-0.027909264760998122,0.057806871188908905,0.010814956543876294,0.0345708033097706,0.06592559262662445,0.03813355205605806,0.059870989863021154,0.0737060961224122,-0.036426268378494726,0.07621409575821157,0.03183258085820832,0.03998447935248762,-0.0561202110461935,0.09653447571922996,0.005395801603537401
TNFSF18,0.02583780044230117,-0.027957798430632664,0.017522566088632452,,,,-0.01668936184827577,-0.019779072714784674,-0.010212929267037372,,,,0.048415534567506205,,,0.022059077844137742,,-0.011765717473827295,0.025614694080543173
IL36G,,,,,,,,,,,,-0.025146503910196887,,,,,,,
RTN4,-0.04871053730801915,0.029557577488176806,-0.0012962323441935305,-0.10580720944940894,0.0066248808902775605,-0.011395400726751369,-0.02880964413919038,-0.1705408800326778,0.04335651256808397,0.019884548332639435,-0.0388147692674512,0.04122544471165673,-0.013084160942921596,-0.016660144082794138,0.04298752776173175,-0.05892124133143448,0.06204853562948303,-0.054593626432702436,-0.06373864167422162
HEBP1,0.03725812319539426,-0.004782490463979188,0.007099618167072384,-0.048550931353027835,0.008275561238023562,-0.019657751759153595,0.0951551129480749,0.08429626591079746,0.000379625718580676,-0.009062597251860522,0.030157154734685616,0.00696577960051373,-0.05565633116897486,0.06097341450308325,-0.019433938605416055,-0.04296471562534893,0.021007545529364274,0.11704614357900875,0.04689138350597618
WNT7B,0.0841338919046836,0.007386049798742487,-0.023141892342770923,0.0016457820387953289,0.09100238555801037,-0.02250894990476606,-0.004738252193545909,-0.04062497261500528,0.0012997186042391124,-0.011878755079050698,0.012019543536561383,0.048109648944175944,,-0.014743698935044857,-0.03580675253799425,-0.046761820861934304,-0.027014741742912365,0.041955725442106954,0.03705078960692075
PTMA,-0.03046136995176529,-0.029601218646374876,0.0006684021567289343,0.04673838004159385,-0.004215604836591433,-0.030435262128512282,0.04089429995735807,-0.06915862103830127,-0.005753233194115778,-0.07964364350893072,0.0674467546119993,-0.0276979716515099,0.009126393674091127,-0.04172229742779159,-0.027125897728170558,-0.03628404123260022,-0.06956526984938434,-0.060263309724504464,0.06984072030757438
FASLG,-0.01817844633190608,,,,,,,,,,,,,,,,,-0.02183492445463233,
