,UKF259,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.016423468048692172
BMP1,-0.032485077647148704,0.0016529309182287924,-0.006457093867046207,-0.0012214502266195812,-0.02011876202289081,0.0004789069470075754,-0.017884053542199487
NDP,0.012077266794974926,0.0006842428288373467,0.0011596770764127262,-0.010686909906977673,0.054265120645669865,-0.050797961698439635,0.07250758767262638
TNFSF18,,-0.011245536591958545,,,,,0.03643434618444529
IL36G,,,-0.015263924219490852,,,,
RTN4,0.002441777090575256,0.0015822480760857985,0.02829539724789684,-0.035695711657011645,-0.019429437817319446,0.0817673508017917,-0.06409732948949223
HEBP1,0.01778879408992633,-0.017823989338061806,0.006809775523677226,0.07092297733320013,0.04548096639136839,0.054441546644189244,0.056701355737400934
WNT7B,-0.022753995280856167,-0.0046047323665371126,0.12629549576350113,-0.04015017949166518,0.02979657440940561,0.046256486338825606,0.012253405728193176
PTMA,-0.016770016542648924,-0.0538360072005896,0.03248566602455026,0.0267384035221976,-0.02271708907918557,-0.0446256715225277,-0.10678817695992758
FASLG,,,,,,,-0.014244068235683633
CEACAM1,-0.015080054776300993,-0.017686549989565536,,-0.02249812585098755,6.417293944738143e-05,0.026135745205138453,-0.01981852887713342
PDAP1,-0.03303546234703341,0.01997870879516372,-0.0141484577827751,0.016941513351137916,0.0011259490504329733,0.06723228489190283,0.02618040271333584
QDPR,-0.022264651836900247,-0.037652964277689036,0.05785963737954249,-0.011510074658341224,0.059207304109809615,-0.0012446342499995132,0.04028161679459582
POMC,0.024361776420998384,-0.013048431385222511,-0.021930622411009904,0.15015232159050362,0.04415795996784477,-0.028077923904103734,0.11477640644085806
CCL18,,,,-0.04117129433192822,-0.007917840784631687,-0.021663412061707438,
CCL17,-0.015228933061595151,-0.014025373568895876,0.033405288183688785,-0.01596133135137515,-0.029251738033224495,,0.11313709786673386
VEGFD,-0.01696671315743807,-0.014942849255240835,-0.014944246826246068,,0.059122886954542285,,
TNFSF13,-0.01050457719230214,,,-0.030627397434538805,0.021065762831096912,0.01903717763214751,0.018599522232695943
WNT5A,0.0896070081054834,0.005638470358301194,0.027010707909978695,0.020209162772314396,-0.011260603025097873,-0.00831294497331049,0.029626536935191527
