,MGH258,UKF243,UKF248,UKF251,UKF259,UKF269,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH916T1
IGFL3,,,,,,-0.018417509734835972,,,,-0.017996410725033826,-0.024541692994924248
BMP1,-0.0007746854213494354,-0.000411272416777217,-0.059960986851447344,0.08427038223857958,-0.03007801862998217,0.1090490572028224,-0.1486224829995531,0.007720898676097217,0.013539964063781726,-0.05782243568373324,0.03906861023965789
NDP,0.005487059458724916,-0.07710470599740635,-0.04027156740877937,0.010332691209357476,-0.04786545497538241,0.019399491041735013,-0.08434789824940622,0.03798337292876186,-0.024630535840665404,0.037355187864951504,-0.010984212743183066
TNFSF18,0.022458687859022573,0.07632470877859855,-0.00407351561494113,0.05646404927029355,,0.09899845365741405,,,,-0.018559380725423767,0.020768215825037534
RTN4,0.02377164554660237,0.053076182834246935,-0.0372523314789634,-0.07033454523610667,-0.05572802613067855,-0.09309524017567097,0.018474855642515355,-0.09362894814270324,0.06790138725191576,-0.030954127181744458,0.0039685158676840806
HEBP1,-0.07878351964399434,0.018628311334066464,-0.03428934540883487,0.03342472643569056,-0.010174779840102495,0.022190435612036905,-0.054840628377014214,-0.022286824432291213,-0.0085841704152158,-0.004739461267538504,-0.026342490240799946
WNT7B,0.08708040467192059,0.04734926606244467,-0.038073748971312264,0.01118206163508123,-0.012372755895623918,-0.07116552851177814,-0.02265473979026841,0.0810722545013852,-0.04055825231703388,0.0011131572594381151,-0.001921324995893183
PTMA,0.05840464495320732,0.11996353520514341,0.004741638490202998,0.030883342568616228,0.05674983046503029,-0.037504367579002405,0.16003087842482072,-0.09663019749447002,0.0038842437016495643,-0.037863775868124526,0.0010594147966248122
FASLG,0.01855831708415436,,,,,,,,,,0.057642232283445415
CEACAM1,0.041221257940440736,,-0.0024588185565361455,-0.029528422724264234,0.05599056013869028,-0.013606501643384596,-0.04706687516724486,-0.029370499336751614,-0.0227267891819552,-0.02666789247686055,-0.029614954032341573
PDAP1,-0.07110004765563117,-0.05113528446104675,-0.04044241372778933,0.050328125810774005,0.0038325593614164503,0.03712589691095576,-0.038558779019162145,0.05049598951887804,0.04817479088829354,0.0544484389449468,0.016934277208881302
QDPR,0.18130519011111884,0.005877746623192576,0.011702188671790917,-0.029261708812479383,0.030902397866098653,-0.03814490925451927,-0.1107772470032965,-0.14789774189393443,-0.08659785177763163,0.017272146576055244,-0.00358474526895269
POMC,0.05741853092353249,-0.04362862836734472,0.03497594897348122,-0.00833953433321589,-0.0031360654984783844,0.05184156047842881,-0.03068015914109426,-0.0699441101787347,-0.004928187998266545,-0.04691252930653994,0.013841024455659406
CCL18,,0.08559653460204446,0.07486757830665464,,,,-0.013642092986484302,0.15235428677239296,0.011305121106278883,,
CCL17,,,,,-0.01629190572389072,,,,-0.016123556917080374,-0.02372722797794784,-0.019292463555224165
VEGFD,,-0.0006286061725499366,0.066017758794028,-0.032333357012250125,-0.018150982087009302,0.019453774809062786,-0.04546710518726617,,,-0.004891272888586676,
TNFSF13,,,-0.00020633918639037787,,-0.011237791944722958,,,,0.024307287234960503,0.1133642572894901,-0.004926524967851349
WNT5A,-0.07583629022272895,-0.005034792258575509,0.032562892046397215,0.014369684233323798,0.0041703707496406036,0.03360194068613692,0.029276045733286266,-0.06560853927162508,0.007136913844788287,0.017696331096946613,0.04625569266317589
CXCL8,,0.09172666694276307,0.14680447735977697,0.00014987409189681802,0.2012058928338833,0.09494214507638267,0.12726879130830016,-0.016359744012125695,0.10279964428852942,0.07252122095280181,-0.013665417922860726
GRN,0.10365199165312673,0.07118062578914391,-0.03798599707247202,0.019087194308280542,0.0004864015058805867,0.11333748678085474,-0.03905059160485117,-0.0026679701162993213,-0.021961670896359198,-0.055087643970246354,0.05217780976402582
MIA,0.01001677656726845,0.017809266408208464,0.058974696987907166,-0.006623140762874072,0.10387706207100729,0.05241709675813367,0.09948932410636002,-0.01756025802725085,-0.09694864314455257,-0.03767247782216029,-0.022286239071560854
COL4A4,0.02318962114644013,-0.03514689253189133,-0.016657222430022312,-0.047379646139238514,-0.02455195405381912,-0.018149088800942643,,-0.026328253574922078,-0.042602997772133014,-0.00822344205309239,0.0697685647137845
TAC1,-0.02913927343078366,-0.030333171669525143,-0.05948975162175594,-0.046130854903044596,-0.02840092937775144,-0.0633036043222616,,,,,0.02352259699911566
RARRES2,-0.08417738006045511,0.02721883308677674,0.03592704381587141,0.020247718185812964,-0.0626093633842707,0.09614894058105336,-0.1092168427492652,0.056630396754539326,-0.012465859092489368,-0.0317752960846385,0.029790972455464207
FGF7,0.11534734952256116,-0.01242286385978303,,0.00489456545897333,-0.009218291881193757,0.01159096940967966,-0.03918089162758875,0.03774724398513489,-0.03193355415832589,0.005162085787920656,0.07595572673982379
HBEGF,0.034531163713643544,-0.08557337649409809,-0.012918642817960256,0.047281873509444516,0.04069292055670206,0.0751485811111513,-0.19560267442650833,0.06324412142903571,0.02498220128886491,-0.0255787109845634,-0.06349861191856496
CSF3,,-0.03514686470599152,,,0.15878577381878184,0.04234900703676618,,,0.05963798229279378,,-0.020311987909868736
PI3,,0.02895907085030166,0.060705401165751044,,0.15743654166509277,0.10402874464614527,0.06480200589260038,,0.10977579915734448,-0.020160149990722995,0.005983482342892888
PCSK1N,-0.1498209005009491,0.00238115898028306,-0.015677735070497516,-0.089906546952776,-0.09563537724571826,-0.06654650973796,0.018371065143011095,-0.049717667080906566,0.004207156642998924,0.013452115392043499,0.0011001421354789266
NTS,,,,,,0.010318213532155842,,,-0.037614579887129504,,-0.030079284327114642
SFRP1,0.05080006921844336,-0.042122279707709806,0.10644453884313394,0.0107611016351935,-0.01421531748474679,0.03724619015344134,-0.12751050914308,-0.0638348978447102,-0.03092035361636807,0.11940549146335172,0.058893814924540336
CXCL13,,,,-0.03884683889811069,,,,,-0.03621681462811459,,
MICA,0.03153846585302331,-0.01077261574825972,0.023041087762093668,0.015104969309735778,0.09539904480874381,0.057806684837202006,-0.0768771289845816,0.08245925638538922,-0.03318403367615673,0.05038376320497261,0.012305669967294154
