,MGH258,UKF248,UKF260,UKF266,UKF269,UKF296,UKF313,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.0188359533529546,,,,,,-0.016190500893370822,
BMP1,0.007445377926915001,0.039748852947445165,-0.006446873955516852,0.06891366389667361,0.16049476596982765,-0.036341420733527835,0.05871862957872762,0.0367979608030164,-0.04090089661363855,0.017515687481289136,-0.038205968316101284,0.04539951504604332
NDP,-0.021208490226625736,0.014366720604339248,-0.018123660207393248,-0.04507988527957945,0.033795553491239694,0.043873697439591706,-0.0423463197031909,-0.012107370050183081,0.012067684949697512,0.03650652634348482,0.05753457443352143,-0.02783734745970483
TNFSF18,0.02179301107292024,-0.03747927560959054,,-0.012763183061625182,0.01252802073106807,,,,-0.04222229445318471,,0.0047614120278132,-0.02359243843697046
RTN4,-0.01536872419867973,0.029231755953128727,-0.023762106208738813,-0.07231264536741173,-0.117628827924851,0.04423991686625979,-0.024025614522378905,-0.11392785503453821,-0.09727928466547835,-0.022333151471878462,0.031984086740545835,-0.04554986966810079
HEBP1,0.03769754715995323,-0.04685506603415618,-0.05462815142518608,-0.010165792848016228,0.06275634633908456,0.019823755320201343,-0.011481756030043547,0.05489891310932782,0.006514611868221384,-0.05526401853017556,0.02205477863192672,-0.027381361988577976
WNT7B,0.05492958852969021,-0.04904129354746092,-0.033628596021262794,-0.013318289218084804,-0.021165360604388558,-0.010049709722938857,0.028955194069461582,-0.003957615063865809,,0.009874796164068918,0.01856227253309555,-0.0025612722908699976
PTMA,0.0017559504868966459,-0.04143999742356632,-0.03647386083469837,0.04253458523026158,-0.012501164395893537,0.04924290030290792,-0.0010902680416564898,-0.14259369907882216,0.06859267054319285,-0.0424496999022027,-0.04595942981288214,-0.024667150577423993
FASLG,-0.018635846273504803,,,,,,,,,,-0.01404201590135132,
CEACAM1,-0.007428431550921028,0.042908003522547415,-0.018590621190170138,,0.04065462702956678,,,-0.023651232514554994,-0.029689438730783682,-0.020833084127636566,-0.019537402729996222,
