,UKF248,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,0.18507919631255496,,,,,,,,,
BMP1,0.06513596214077202,0.10320659249775231,0.1045958432098148,0.059144246347997496,-0.04015036899850817,0.06931552629835157,-0.09166901279250765,0.03213939663226555,0.06963544229285004,-0.02352800750650438,-0.00028318135865151465,0.008900333188128055
NDP,0.040098801245509415,0.0460201393320239,-0.03914529432145642,-0.007309779041982203,0.009067662571950495,0.007589149079932823,-0.05525379798045423,-0.044606871261077624,-0.021508396478209187,0.03150095043204118,0.11136118406350784,0.006166559201638573
TNFSF18,-0.041988255985369934,-0.013800791913507663,0.08285137791365105,-0.011390333515494821,,,,0.05946776312271145,,,,
RTN4,0.03312452744640686,-0.0637999760989752,-0.030678860635265707,-0.0809307368361945,-0.007897791003885844,-0.08854822332997807,-0.11228777145806722,0.06056084436054332,-0.005892893046611777,-0.040031056332225125,-0.07805773428251761,-0.019283093520066134
HEBP1,-0.02593179033170397,0.04991597872010831,0.019844367891280044,-0.03287870928719175,0.006417136283260013,0.01739951700824297,-0.08975340720021435,-0.02592691185783611,-0.023583051576091706,0.04221572684457639,0.021573110053562872,0.015267901266331175
WNT7B,0.028331988700389336,-0.011524700383285362,-0.05040829046179463,-0.03264933072262808,-0.012332311640997632,0.02534154206812048,0.03434587045311514,,0.05241724227447275,-0.001360778543940486,0.08612957754294512,-0.007165247712757396
PTMA,-0.03554109806645728,0.06976747715031663,-0.037374992674007415,-0.05163905028572874,0.015516167260151521,0.14032153152838123,0.018583300406655016,-0.022057482907409737,-0.07981926780620027,-0.028743638623765156,-0.022396016911542083,0.052997462276862424
CEACAM1,0.0256447573592965,,0.02408410935510457,-0.017914281054732403,,,-0.04449318874528668,0.05123302897340974,-0.029370504760535963,0.07344517244495687,-0.004488120599825778,-0.015698625087130106
PDAP1,-0.013052155373608494,0.013384987024728368,0.026203197057343988,0.023704122149948006,0.0167579817410809,0.07775031577580348,-0.1241874026577686,-0.07591179039825735,0.06568499877578446,-0.030370148024512034,-0.07569913646499692,0.060639542218698245
QDPR,0.0016521357744125299,-0.009092915396574471,-0.03829594510573334,0.027795998790731073,0.03909429688848593,0.0742594352382973,-0.10271068823910096,-0.029597125471262427,-0.14831619158869594,0.041641980984870555,0.03422796472785535,0.032428276180337785
POMC,0.037221852563692544,0.004928734462433211,-0.038289991514013876,-0.013216442285023012,-0.014208161797749797,0.027073697931038473,-0.04124750980777352,0.01975805687852115,-0.049837856342696225,-0.013934278212035855,0.12709415801741364,0.06389614965220565
CCL18,-0.03334949399664678,,,,,0.16816099185225122,-0.038150583250902204,,-0.020824170772640763,-0.013643092786343522,-0.016031970538067822,0.019464223488033457
CCL17,,,,-0.014205963523640707,-0.015263944719815228,,,,,-0.024542811505906197,-0.0066620672257724405,
