,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.18967124884158873,,,,,,,,-0.02149433076000236,,,-0.020753586306854557,
BMP1,0.0037012096882204095,0.07017272012694668,0.01701149632217584,0.041601586955278685,0.03225772660296888,-0.02611794249013766,0.0665106831322758,0.107224203909955,0.0208559321857807,0.027606078117355007,0.03801563489029707,-0.021766588405107937,0.05840171393796193,0.027795791734307882,-0.039197932349766054,0.045730673515119766,0.004400130938727626,0.0061049828569458365,-0.062313322300507776,-0.014637595639138926
NDP,0.08641036859433728,0.02377023541554279,0.0260350531154167,-0.016118039823672624,-0.015897487620840277,0.01740631622972892,-0.009295946546651543,0.0184035577224256,-0.015270005530664682,0.06732876766765486,-0.05756490239260341,-0.010326684792198126,0.02962957459570777,0.017751365502262154,0.03999240945997291,0.0043213812340379175,0.011775483752336375,-0.1125145760491801,0.08653895810550973,0.11929631322380374
TNFSF18,0.07348807098157739,0.02559056498352221,-0.012615322850019525,,,,-0.014130677372736856,0.015669566374474753,0.10584274215764897,,,0.024803987565035927,,,,-0.022166723915572402,,0.23205637049198918,0.0274544541293407,0.08381868862707886
IL36G,,,,,,,,,,,0.028498372460411887,,,,,,,,,
RTN4,0.0450699852902394,-0.0005153832361989352,0.05186389574350182,0.09196837485078581,-0.025320728737408132,0.007823031800785998,-0.100456543004589,-0.08835728634060336,-0.011574487081151417,0.0005673069617059699,0.05378350537413475,-0.0969849551049176,-0.11450273486603323,0.050324160281986864,-0.06693134249109145,-0.08690432688320571,0.026431956749871865,0.07359788306422818,-0.0316783502100558,0.07173232315201396
HEBP1,0.014910329135600532,0.09896904734159016,0.04345888103068155,-0.013642025991721976,-0.015317617068030635,0.006984441888575789,0.04217559517491232,0.030906504688093826,-0.004823747403512084,0.003841108648195823,0.011391703712228076,-0.09813664412398261,-0.03885529056166458,0.08233141783723201,0.03243175769343672,0.0023522012472580304,0.007228961778057557,-0.026476229002114555,0.03553819250103005,0.01771593825692944
WNT7B,-0.004136407554767625,0.053108392012091714,-0.01570923790960861,0.0036080578395187995,-0.03841579999670516,0.07691249060432014,0.027484410846304007,-0.05143176807315239,-0.007678777346336134,-0.01888587580189017,0.036252584879213644,,0.059416683023516076,-0.03298014611859384,0.09877782158658449,-0.024880364321202966,-0.03595822022216466,0.04798702092135178,-0.006540501369022492,0.04243071748780303
PTMA,-0.06252289001861365,-0.05047506314203061,-0.009720720930087997,-0.11115692609532578,-0.017867482641871702,0.0004099561990708166,0.14136326905461652,-0.0635509704956793,-0.04569036116381197,0.04524024407165699,0.060169768143410386,0.1815864797470074,-0.06744171932115009,0.0012614133571146155,-0.0690218418052997,-0.14881607633950356,0.009006673086062351,-0.09144743073979218,-0.1351857623095208,-0.14571417904915065
FASLG,,,,,,,,,,,,,,,,,,,-0.017999578323746677,
