,MGH258,UKF243,UKF248,UKF259,UKF269,UKF275,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.013231777659706068,,,,,,,,,0.05840501400638202,-0.014590135280284479,
BMP1,-0.00417341372230416,0.03896896748264626,-0.011521293183833912,0.040937027312035836,0.06776636173839644,-0.04911430797248288,-0.04100708532736249,-0.05552954829019798,0.0372708733262232,-0.007712180703215155,-0.041913982042579144,0.07424694272011771,-0.04322060589415452,0.027678025349269428,0.08028593868122419,0.1039705623424953
NDP,-0.0642828361618188,0.024935370101242457,0.043153164824573945,0.040133186981289065,-0.01473645034592018,-0.019523583247066788,-0.06032968083257595,0.05724901795393914,0.10568650973653601,0.08187310851549952,0.014068685852099033,0.02789783224169189,0.02396057145959674,-0.03249125561340184,-0.009147445460458248,-0.03462418247532906
TNFSF18,-0.02516931104934397,0.009486636473560524,0.05958435720346638,,0.19803257000113614,0.012100905399739913,,,-0.028411541786741552,,-0.0745500152652853,,,-0.019900350613532562,0.1137834389892784,0.0028330841342440877
RTN4,0.003877775921739019,-0.03406581300885454,0.018012216165679718,0.03643992977444765,-0.029985325726395503,-0.01537601384574718,0.026005616874842544,0.005307340284608998,-0.015109163203813985,-0.07824508790309792,0.00746914034406855,-0.012348950703711182,-0.06293460808450507,0.0017295347449110708,-0.026730788562728057,-0.04825066338846804
HEBP1,0.05758199857274372,0.035910111294228664,0.020414507437025192,-0.01879316513367557,0.007567617946722478,0.0509430741240691,0.009131150058857123,0.013770357073859056,0.06263572920243002,-0.032543589300372426,-0.00304986989138803,0.01740431976705589,-0.0081918081354404,0.07145128758421049,-0.0021559615476115165,-0.007509829538310917
WNT7B,-0.022173374709728293,-0.01792874794256764,0.0015420087657433733,-0.018452508215453602,-0.021484134277846217,-0.023934263698916408,,-0.02258622275405005,0.07023437535197603,-0.02600588898430621,,0.036620735734680505,-0.022115775422546214,-0.016440900584780267,0.0463400570707145,-0.01694171469685614
PTMA,-0.0518267584203158,-0.03184741204377684,0.026746865263194496,0.012533737928660327,-0.06289405266486814,-0.002153770815782643,-0.04028314861837705,-0.027314544113270587,0.1164903041542697,-0.012414205532181538,-0.012070707429399205,-0.0936876355957796,0.05126205412681254,0.0316738939235005,0.02755468263809275,0.07979941192854045
FASLG,-0.022173380978084523,,,,,,,,,,,,,,-0.025275106419932372,
CEACAM1,0.13947327364490505,,-0.005093435333553209,0.0108017820939018,0.09528369411158247,-0.02913673931828123,,,,-0.06312114956435552,0.0255054335948188,-0.03382840993004417,-0.016479388828097113,0.07599741161780446,-0.023077296176415855,
PDAP1,0.032761842381008294,-0.0026820657816178212,-0.015704682869055412,0.03583812275963032,0.05408228775137697,-0.011625614020626944,0.030087696303399657,0.04212062564991134,0.03939646485921007,0.017320102884000543,0.1518043419897874,0.09935889543810579,-0.027572015935891293,-0.010778133468103681,-0.00330247231005597,-0.0525933631883301
QDPR,-0.05471857819028923,0.02283821492056574,-0.04622023886117102,-0.02650858914347889,-0.04535349523805428,0.006168003604008585,-0.066110030098848,-0.0006382703540249975,-0.0004768421341388241,0.05018092126614094,0.030651909478886272,-0.10910618191829853,0.035642983679854565,-0.045379014349229425,0.007117289545571036,-0.09897560821610071
POMC,0.008977381652601138,-0.037522772775315495,0.007139848049783722,0.04467163019248888,-0.03333070940490792,-0.021495924530674775,0.01727927184305577,-0.0059064402685639434,0.07539044148841334,-0.03446849005152668,-0.08137544528829513,-0.05425222417612283,0.05412087429043511,0.1061429839035472,0.056452254520209875,-0.005903634513644697
CCL18,,0.05883117738911085,-0.02658320788670192,,,,-0.021645291781476356,0.02599482664239749,,-0.03312831809832574,,-0.023984898832813982,-0.040241576259226704,,,
CCL17,,,,-0.019320483845945265,,-0.023105334492002257,,,,,,,-0.02378903234005971,-0.025441590041932825,-0.022909045079347396,
