,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.014974387021340527,
BMP1,0.09329051254788788,-0.0703140673619971,0.013228370611443748,-0.03925599986544297,-0.04727027322286037,8.413280322219037e-05
NDP,-0.021482053193513168,-0.054049584056351366,0.04463158693845453,0.039197503033909814,0.049184541154265585,-0.02051710495417741
TNFSF18,,,,,-0.007718494130003715,0.03317783935507378
RTN4,-0.12365066316031637,-0.019923240544379404,-0.006168817777322875,0.035976305594269516,0.0044667042101074255,6.773735348920539e-05
HEBP1,0.028587478638685798,0.07148864407850304,0.04582699747603262,0.006478385532929739,0.049998064449253934,-0.015793290101906776
WNT7B,-0.06496694241722006,0.006560533693820721,-0.011713006180293015,0.061136782419432635,0.0547449639316773,0.03249368618247457
PTMA,0.021326813465445273,-0.013710602813065225,0.0032174595589434985,0.0016507064508099836,-0.055682724268828254,0.05579745768602689
FASLG,,,,,-0.012987280755022689,
CEACAM1,0.024286606088394475,0.044177263856703175,-0.02008999140347773,-0.014646430543019532,0.004460406194094711,
PDAP1,-0.009420924915048682,0.051185212528326085,0.0035237817302806273,-0.018813861767441178,-0.006362581968114281,0.009386666369279628
QDPR,-0.07542597511853916,0.016446180928903206,0.027101482023262877,-0.018361609384228005,0.09874927359076584,0.012990559052319786
POMC,0.143934371987758,0.006055718178135932,0.008209520571772861,-0.023959636330782026,0.02565141827138775,0.0031926905454428257
CCL18,-0.04194783168902428,-0.031306228955872234,0.01978416358434182,-0.00757919446577777,,
CCL17,,-0.02134624470313765,-0.029001163829207317,,-0.011771511278002831,
VEGFD,0.1016995335633391,,-0.02008999140347773,,,
TNFSF13,,-0.04096023733017666,0.035145410601874365,-0.016446959858903556,0.00340309675608824,-0.03453645507263647
WNT5A,0.046695255256264424,0.06704858335456343,-0.003509042449402468,0.0030683536112810915,-0.06025145506831798,-0.017701739913062647
CXCL8,-0.08552442257111502,0.028170763772483624,-0.03139285401697268,-0.021756304786282973,0.022555002560084626,0.009918402295746035
GRN,0.18198639773337866,-0.021988440947530198,0.01481805000983693,-0.01918355889787523,-0.12204716033552315,0.01746862252508721
MIA,-0.05320439235967515,-0.029675236467210403,0.0363559012790123,-0.05768985221112953,0.13097339152255255,-0.031119623106750524
COL4A4,,0.00628143552063537,0.08155366174534548,-0.029517619819120815,-0.03456922809288965,-0.03859971797935139
TAC1,,,,-0.025269265198346175,-0.015474848552582358,-0.00816081639616759
RARRES2,0.04045632251193953,-0.03754025764779047,-0.007722032185574489,0.04609477016768804,0.022657438332172947,-0.009487505195578817
FGF7,-0.013885197700181958,-0.03355121045264721,-0.0015839509016673209,0.03874238606540086,0.07046093497635574,0.055518114056490236
EFNA2,,,-0.01909419234496039,,,
HBEGF,-0.08339217365194497,-0.0004091881714772078,0.028362272726019034,-0.0492990704401953,-0.05916969767828588,0.04572401826326767
CSF3,,-0.02179316471984308,-0.014750135844767205,-0.0032006157255024276,-0.012393585405785609,0.008875922790794922
PI3,-0.034909736111775044,0.020796768321026116,-0.047120794783275646,0.020357282226751112,-0.026927143721663487,0.02979638891438693
PCSK1N,0.04393454874368842,-0.020235998808487185,-0.07125914896436698,0.00628086232843837,0.0827995382563064,-0.012174949825834757
NTS,,0.06262869236723127,-0.023262649993019628,0.01830632478324694,0.0735150581833721,
SFRP1,-0.006362228202957794,0.029269598567035957,-0.043954230634747384,0.022516535574159273,-0.01792672787839253,0.0027669094314091798
CXCL13,,-0.03885227926369469,-0.04905842331661852,-0.034251551136996995,,-0.03293413226859428
MICA,-0.11929783421047097,0.04753154084484099,0.005423835100163494,0.014553064386317913,-0.06529554680649727,0.009193307852026532
TG,0.09740595663912505,-0.028363822343428574,0.07396488664942778,0.003819542477149863,-0.02416985552325273,0.022435691482681038
ADA,0.10462720256492447,-0.0022742616387117684,-0.0033524158774240432,0.04600849628045098,-0.04212122274025069,-0.03123996617715915
LAMC3,0.08308441365777777,-0.010644996520240044,0.02030751676350038,0.07073203198441132,-0.06886113825378064,-0.04680341524124664
CCL7,,0.008463533638885471,,,-0.01298727613690067,-0.03115659265877954
NGF,,0.010008862069834371,0.025006255476855883,-0.014280451204375445,-0.03888351332359046,-0.023109614032855497
TNFSF15,,0.07908979145295292,,0.015830892185259512,-0.034314632081777055,0.02516329817903279
HMGB1,0.06205361292683762,0.010031074647967219,-0.01191746515323116,-0.020100539360417693,0.09200669176878931,-0.005774539139739542
ITGB3BP,0.05387853973210739,-0.024969264424352905,-0.014014847839331369,-0.023104143533859478,-0.019407474223122334,0.07770675411288225
AANAT,-0.018108670917019815,-0.012393334665019533,0.03674590864634396,,-0.013741079750544652,0.017049903428031983
RELN,,,,-0.01574992320323018,,-0.07822112534320336
IL15,0.12430426110878864,0.019144637321665013,-0.028186694661654722,0.01773455493837491,-0.003291513469547499,-0.027145720988444536
UTS2,-0.05261108486653233,0.04787004315997497,,,,
BSG,-0.1021748023019107,-0.03911824218474171,-0.010931730262227475,-0.05098569931678857,0.011213351493816274,-0.08128290959868333
