,UKF243,UKF259,UKF275,UKF296,UKF334,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.018219026666235132,,0.10320581894437894
BMP1,0.07003122464847503,0.04158099429991233,-0.02628201909803299,-0.03775006859727813,0.06398925365384374,-0.017675129764759337,-0.006958842551520762,-0.013187404411750262,0.05178280920975277
NDP,0.005648083726476203,0.01978300295179617,0.011061091888924388,0.0063215080841937075,0.0652766796411127,-0.014302064988350799,-0.011574182042094382,-0.003434219949207652,0.0070630522564953556
TNFSF18,0.0741259744894487,,0.09603375750445924,,,,0.034498017664450445,,-0.033729636215330386
IL36G,,,,,-0.01853672743421497,,,,
RTN4,-0.08673822432733036,0.0033334920608567445,-0.024016061455119288,0.054152312912623825,-0.03930103910818443,0.05269133411279898,0.0004165758036090917,0.038424806781861665,0.012207924918001567
HEBP1,0.0012882627026887471,-0.01788579038539664,0.026675480855839567,-0.022016351597915585,0.015238520275620605,0.02816071841499213,0.004060248387019382,-0.04939717550950967,0.032183545354006096
WNT7B,-0.04360309693975961,-0.028604349206876965,-0.01816556618761262,-0.012626035838173389,-0.020373999648613646,0.0003054854659043651,0.06810159217265917,0.002185764964632287,-0.004691035661895278
PTMA,-0.009522096126778996,-0.035085966090466394,0.031490856089211955,0.03302372713479173,0.0665753918364637,0.018794777326005263,0.02709662289176747,-0.02432949344652983,0.009569229491814907
FASLG,,,,,,,,,0.1493278636034237
CEACAM1,,0.07597351568831161,0.015336153502121986,,,-0.017297487056361048,-0.026997774811415926,-0.017627283270623982,0.009625794976121873
PDAP1,0.011857592413628102,-0.016992541695518268,0.019377269072436955,-0.006084263313702495,0.023297671918908025,-0.0898137814965852,-0.04428753113576007,-0.022141249819335893,0.010137153338534497
QDPR,0.13065263861296764,0.0014238835642747633,0.030164867103753344,0.021070308634902824,0.025108842156650164,0.012410926364615804,0.09363285421748045,-0.0186077576775487,0.07319895222875886
POMC,-0.03527400672101696,-0.030758710934877937,-0.02007223466178774,0.04320525382369434,0.06462022578369718,0.03620298842131982,-0.058390673682722244,-0.028835919811541853,-0.008063362773415182
CCL18,-0.025053581716932168,,,,,-0.031162381475986798,,-0.0607038811386114,
CCL17,,-0.0038030375250855874,0.01679154824639119,-0.015627492936814404,-0.0169338267686688,0.05845212572434483,0.019376803772185817,,-0.01571903103543603
VEGFD,-0.028228063815016562,0.032797091525828714,-0.022986393376493924,-0.011462955059075621,-0.018148506645101502,-0.017297487056361048,0.016041657596607077,,
TNFSF13,,-0.013205443288986188,,,,0.018828178370177404,-0.025759131033126253,-0.01979425768769634,-0.02561284905803229
WNT5A,0.059614784936527165,-0.02313761793707619,0.0074260044875771244,-0.01499650187909521,0.03603859652943424,-0.01738773915570659,-0.05770289395170453,0.02457040473556332,0.026249166236397517
CXCL8,-0.07714228765403354,-0.05125601984307371,-0.05673131560591269,-0.01067480217686749,0.017461754332623744,0.004552278414080236,-0.018837231965753893,-0.020837882336594008,0.07401205781084139
GRN,-0.021672945725978,0.018120782138333624,0.016983209981041726,-0.006330649745834444,-0.07714145500474251,-0.05484724386109921,-0.0282426067353842,0.0014405487981467287,0.038400710867951514
MIA,0.0043063707823730165,-0.040311881037367756,0.026697699079201026,-0.013036697303841195,-0.02485521155224826,0.034244825670306095,-0.012708778722173037,0.021537035542416094,0.04024040237188698
COL4A4,-0.028416472618716188,-0.009654169037546198,-0.022525022098652852,0.02964857007359571,0.0036307385944683245,-0.027695981393502166,-0.03700199937543603,0.0075510948622102385,-0.028007352509944888
TAC1,-0.03558941657931038,0.02002226096847574,-0.030968254470953995,0.03164521896359534,-0.04272881169124018,,,-0.03041208534621829,-0.020664264674432224
RARRES2,0.03617198400737225,0.04725146623161965,0.015324585753794471,-0.006751798170716916,0.07913127175992965,0.044632639699751175,0.04146494176102459,-0.023038235133989695,0.007001178354745879
FGF7,-0.014643347348128031,-0.01544121852732258,-0.0016761331651895422,-0.009832262908897495,0.04024760802708325,0.018854893812679827,-0.013039590103772166,0.003291384874492746,0.035311268552681165
EFNA2,,,,,,-0.016440103846009926,,,
HBEGF,0.019033272500087926,-0.06530783804800276,-0.023616309184244413,0.002375144122195415,0.06464879054864633,0.023528026205306144,-0.027191377179277377,-0.013519335358404142,0.013235319504726827
CSF3,-0.028416450121309934,-0.022818567225827913,,,,-0.015579918006354786,,-0.025271118431817455,0.08437649560049765
PI3,-0.03366352265767619,-0.031911115086645625,,,,-0.02276993949352606,0.0049457385529623095,-0.05995447705398254,-0.011843953237156755
PCSK1N,-0.006310654745491248,0.02149517763056453,0.04762636077496765,0.021801889938616963,-0.0022539916717506077,-0.024525260569100853,0.02623053185464858,0.020973936049852808,0.0401573235177712
NTS,,,0.0475470172287546,0.04653244535841274,,-0.020029146805969192,,-0.011013366335468733,-0.024507870781157265
SFRP1,0.1093307667088712,0.07007815312069014,-0.02320388977842355,-0.015627493094196095,-0.04137067483197865,-0.025198799290671727,0.038856030753397455,-0.04369520376814701,-0.023938369953469343
CXCL13,,,,,,0.03095597594011934,,0.014077743334944449,
MICA,-0.010652363570707712,0.00880482889144431,0.03427938771047777,-0.03153863886529355,-0.00804783939169308,-0.007721846748737983,-0.06514498175853389,0.022095355067568025,0.07378759859109849
TG,-0.022652446346921467,0.014030457599880695,0.0572095210865825,0.06252121679736203,0.002492380722253297,-0.024668083806297477,,-0.020798518800069533,-0.03227510046241688
